Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
SP20245,A05,24L2_B20_03,24L2_B20_03,-1,m,5,1
SP20245,A06,24L2_B20_23,24L2_B20_23,-1,m,6,1
SP20245,A07,24L_B20_0_413,24L_B20_0_413,-1,m,7,1
SP20245,A08,24L_B20_0_103.25,24L_B20_0_103.25,-1,m,8,1
SP20245,A09,24L2_B20_04,24L2_B20_04,-1,m,9,1
SP20245,A10,24L2_B20_24,24L2_B20_24,-1,m,10,1
SP20245,A11,24L_B20_5_200,24L_B20_5_200,-1,m,11,1
SP20245,A12,24L_B20_5_50,24L_B20_5_50,-1,m,12,1
SP20245,A13,24L2_B20_05,24L2_B20_05,-1,m,13,1
SP20245,A14,24L2_B20_25,24L2_B20_25,-1,m,14,1
SP20245,A15,24L_B20_10_200,24L_B20_10_200,-1,m,15,1
SP20245,A16,24L_B20_10_50,24L_B20_10_50,-1,m,16,1
SP20245,A17,24L2_B20_06,24L2_B20_06,-1,m,17,1
SP20245,A18,24L2_B20_26,24L2_B20_26,-1,m,18,1
SP20245,A19,24L_B20_20_200,24L_B20_20_200,-1,m,19,1
SP20245,A20,24L_B20_20_50,24L_B20_20_50,-1,m,20,1
SP20245,A21,24L2_B20_07,24L2_B20_07,-1,m,21,1
SP20245,A22,24L2_B20_27,24L2_B20_27,-1,m,22,1
SP20245,A23,24L_B20_30_200,24L_B20_30_200,-1,m,23,1
SP20245,A24,24L_B20_30_50,24L_B20_30_50,-1,m,24,1
SP20245,B05,24L2_B20_43,24L2_B20_43,-1,m,5,2
SP20245,B06,24L2_B20_63,24L2_B20_63,-1,m,6,2
SP20245,B07,24L_B20_0_25.8125,24L_B20_0_25.8125,-1,m,7,2
SP20245,B08,24L_B20_0_6.453125,24L_B20_0_6.453125,-1,m,8,2
SP20245,B09,24L2_B20_44,24L2_B20_44,-1,m,9,2
SP20245,B10,24L2_B20_64,24L2_B20_64,-1,m,10,2
SP20245,B11,24L_B20_5_12.5,24L_B20_5_12.5,-1,m,11,2
SP20245,B12,24L_B20_5_3.125,24L_B20_5_3.125,-1,m,12,2
SP20245,B13,24L2_B20_45,24L2_B20_45,-1,m,13,2
SP20245,B14,24L2_B20_65,24L2_B20_65,-1,m,14,2
SP20245,B15,24L_B20_10_12.5,24L_B20_10_12.5,-1,m,15,2
SP20245,B16,24L_B20_10_3.125,24L_B20_10_3.125,-1,m,16,2
SP20245,B17,24L2_B20_46,24L2_B20_46,-1,m,17,2
SP20245,B18,24L2_B20_66,24L2_B20_66,-1,m,18,2
SP20245,B19,24L_B20_20_12.5,24L_B20_20_12.5,-1,m,19,2
SP20245,B20,24L_B20_20_3.125,24L_B20_20_3.125,-1,m,20,2
SP20245,B21,24L2_B20_47,24L2_B20_47,-1,m,21,2
SP20245,B22,24L2_B20_67,24L2_B20_67,-1,m,22,2
SP20245,B23,24L_B20_30_12.5,24L_B20_30_12.5,-1,m,23,2
SP20245,B24,24L_B20_30_3.125,24L_B20_30_3.125,-1,m,24,2
SP20245,C01,24L2_B20_08,24L2_B20_08,-1,m,1,3
