96 plate ID,96 plate number,96 well,384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
,Plate 1,A02,AMAGATA Dilutions2,SP90105,A03,1301115_20,1301115_20,50,m,3,1
,Plate 2,A02,AMAGATA Dilutions2,SP90105,A04,1301115_40,1301115_40,50,m,4,1
,Plate 3,A02,AMAGATA Dilutions2,SP90105,B03,1301115_20,1301115_20,25,m,3,2
,Plate 4,A02,AMAGATA Dilutions2,SP90105,B04,1301115_40,1301115_40,25,m,4,2
,Plate 1,B02,AMAGATA Dilutions2,SP90105,C03,1301115_20,1301115_20,12.5,m,3,3
,Plate 2,B02,AMAGATA Dilutions2,SP90105,C04,1301115_40,1301115_40,12.5,m,4,3
,Plate 3,B02,AMAGATA Dilutions2,SP90105,D03,1301115_20,1301115_20,6.25,m,3,4
,Plate 4,B02,AMAGATA Dilutions2,SP90105,D04,1301115_40,1301115_40,6.25,m,4,4
,Plate 1,C02,AMAGATA Dilutions2,SP90105,E03,1301115_20,1301115_20,3.125,m,3,5
,Plate 2,C02,AMAGATA Dilutions2,SP90105,E04,1301115_40,1301115_40,3.125,m,4,5
,Plate 3,C02,AMAGATA Dilutions2,SP90105,F03,1301115_20,1301115_20,1.5625,m,3,6
,Plate 4,C02,AMAGATA Dilutions2,SP90105,F04,1301115_40,1301115_40,1.5625,m,4,6
,Plate 1,D02,AMAGATA Dilutions2,SP90105,G03,1301115_20,1301115_20,0.78125,m,3,7
,Plate 2,D02,AMAGATA Dilutions2,SP90105,G04,1301115_40,1301115_40,0.78125,m,4,7
,Plate 3,D02,AMAGATA Dilutions2,SP90105,H03,1301115_20,1301115_20,0.390625,m,3,8
,Plate 4,D02,AMAGATA Dilutions2,SP90105,H04,1301115_40,1301115_40,0.390625,m,4,8
,Plate 1,E02,AMAGATA Dilutions2,SP90105,I03,1301115_20,1301115_20,0.1953125,m,3,9
,Plate 2,E02,AMAGATA Dilutions2,SP90105,I04,1301115_40,1301115_40,0.1953125,m,4,9
,Plate 3,E02,AMAGATA Dilutions2,SP90105,J03,1301115_20,1301115_20,0.09765625,m,3,10
,Plate 4,E02,AMAGATA Dilutions2,SP90105,J04,1301115_40,1301115_40,0.09765625,m,4,10
,Plate 1,F02,AMAGATA Dilutions2,SP90105,K03,1301115_20,1301115_20,0.048828125,m,3,11
,Plate 2,F02,AMAGATA Dilutions2,SP90105,K04,1301115_40,1301115_40,0.048828125,m,4,11
,Plate 3,F02,AMAGATA Dilutions2,SP90105,L03,1301115_20,1301115_20,0.024414063,m,3,12
,Plate 4,F02,AMAGATA Dilutions2,SP90105,L04,1301115_40,1301115_40,0.024414063,m,4,12
,Plate 1,G02,AMAGATA Dilutions2,SP90105,M03,1301115_20,1301115_20,0.012207031,m,3,13
,Plate 2,G02,AMAGATA Dilutions2,SP90105,M04,1301115_40,1301115_40,0.012207031,m,4,13
,Plate 3,G02,AMAGATA Dilutions2,SP90105,N03,1301115_20,1301115_20,0.006103516,m,3,14
,Plate 4,G02,AMAGATA Dilutions2,SP90105,N04,1301115_40,1301115_40,0.006103516,m,4,14
,Plate 1,H02,AMAGATA Dilutions2,SP90105,O03,1301115_20,1301115_20,0.003051758,m,3,15
,Plate 2,H02,AMAGATA Dilutions2,SP90105,O04,1301115_40,1301115_40,0.003051758,m,4,15
,Plate 3,H02,AMAGATA Dilutions2,SP90105,P03,1301115_20,1301115_20,0.001525879,m,3,16
,Plate 4,H02,AMAGATA Dilutions2,SP90105,P04,1301115_40,1301115_40,0.001525879,m,4,16
