Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
SP90087,A03,C-1747-B-01,C-1747-B-01,12.7,m,3,1
SP90087,A04,V-21970-W-01-P-2,V-21970-W-01-P-2,4.5,m,4,1
SP90087,A05,C-1747-B-09,C-1747-B-09,12.7,m,5,1
SP90087,A06,C-1860-F,C-1860-F,4.5,m,6,1
SP90087,A07,C-1747-B-17,C-1747-B-17,12.7,m,7,1
SP90087,A08,C-1862-E,C-1862-E,4.5,m,8,1
SP90087,A09,C-1747-B-25,C-1747-B-25,12.7,m,9,1
SP90087,A10,C-1867-D,C-1867-D,4.5,m,10,1
SP90087,A11,C-1748-B-04,C-1748-B-04,12.7,m,11,1
SP90087,A12,C-1862-D-03,C-1862-D-03,4.5,m,12,1
SP90087,A13,C-1748-B-12,C-1748-B-12,12.7,m,13,1
SP90087,A14,C-1862-D-11,C-1862-D-11,4.5,m,14,1
SP90087,A15,C-1748-B-20,C-1748-B-20,12.7,m,15,1
SP90087,A16,C-1862-D-19,C-1862-D-19,4.5,m,16,1
SP90087,A17,C-1748-B-28,C-1748-B-28,12.7,m,17,1
SP90087,A18,C-1862-D-27,C-1862-D-27,4.5,m,18,1
SP90087,A19,C-1748-B-36,C-1748-B-36,12.7,m,19,1
SP90087,A20,C-1862-D-35,C-1862-D-35,4.5,m,20,1
SP90087,A21,C-1748-B-44,C-1748-B-44,12.7,m,21,1
SP90087,A22,C-1862-E-08,C-1862-E-08,4.5,m,22,1
SP90087,A23,C-1748-B-52,C-1748-B-52,12.7,m,23,1
SP90087,B03,C-1862-E-16,C-1862-E-16,4.5,m,3,2
SP90087,B04,C-1867-F-21,C-1867-F-21,4.5,m,4,2
SP90087,B05,C-1862-E-24,C-1862-E-24,4.5,m,5,2
SP90087,B06,C-1867-F-29,C-1867-F-29,4.5,m,6,2
SP90087,B07,C-1862-E-32,C-1862-E-32,4.5,m,7,2
SP90087,B08,C-1867-F-37,C-1867-F-37,4.5,m,8,2
SP90087,B09,C-1867-E-06,C-1867-E-06,4.5,m,9,2
SP90087,B10,C-1867-F-45,C-1867-F-45,4.5,m,10,2
SP90087,B11,C-1867-E-14,C-1867-E-14,4.5,m,11,2
SP90087,B12,C-1867-G-03,C-1867-G-03,4.5,m,12,2
SP90087,B13,C-1867-E-22,C-1867-E-22,4.5,m,13,2
SP90087,B14,C-1867-G-11,C-1867-G-11,4.5,m,14,2
SP90087,B15,C-1867-E-30,C-1867-E-30,4.5,m,15,2
SP90087,B16,C-1867-G-19,C-1867-G-19,4.5,m,16,2
SP90087,B17,C-1867-E-38,C-1867-E-38,4.5,m,17,2
