Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP90059,A01,DMSOA01,DMSOA01
SP90059,A03,C-1748-B-54 HPLC Subfractions 2,C-1748-B-54 HPLC Subfractions 2,-95,m
SP90059,A04,C-1748-B-54 HPLC Subfractions 3,C-1748-B-54 HPLC Subfractions 3,-10,m
SP90059,A05,C-1748-B-54 HPLC Subfractions 4,C-1748-B-54 HPLC Subfractions 4,-25,m
SP90059,A06,C-1748-B-54 HPLC Subfractions 5,C-1748-B-54 HPLC Subfractions 5,-20,m
SP90059,A07,C-1748-B-54 HPLC Subfractions 6,C-1748-B-54 HPLC Subfractions 6,-20,m
SP90059,A08,C-1748-B-54 HPLC Subfractions 7,C-1748-B-54 HPLC Subfractions 7,-20,m
SP90059,A09,C-1748-B-54 HPLC Subfractions 8,C-1748-B-54 HPLC Subfractions 8,-20,m
SP90059,A10,C-1748-B-54 HPLC Subfractions 9,C-1748-B-54 HPLC Subfractions 9,-25,m
SP90059,A11,C-1748-B-54 HPLC Subfractions 10,C-1748-B-54 HPLC Subfractions 10,-35,m
SP90059,A12,C-1748-B-54 HPLC Subfractions 11,C-1748-B-54 HPLC Subfractions 11,-30,m
SP90059,A13,C-1748-B-54 HPLC Subfractions 12,C-1748-B-54 HPLC Subfractions 12,-40,m
SP90059,A14,C-1748-B-54 HPLC Subfractions 13,C-1748-B-54 HPLC Subfractions 13,-35,m
SP90059,A15,C-1748-B-54 HPLC Subfractions 14,C-1748-B-54 HPLC Subfractions 14,-35,m
SP90059,A16,C-1748-B-54 HPLC Subfractions 15,C-1748-B-54 HPLC Subfractions 15,-45,m
SP90059,A17,C-1748-B-54 HPLC Subfractions 16,C-1748-B-54 HPLC Subfractions 16,-45,m
SP90059,A18,C-1748-B-54 HPLC Subfractions 17,C-1748-B-54 HPLC Subfractions 17,-40,m
SP90059,A19,C-1748-B-54 HPLC Subfractions 18,C-1748-B-54 HPLC Subfractions 18,-60,m
SP90059,A20,C-1748-B-54 HPLC Subfractions 19,C-1748-B-54 HPLC Subfractions 19,-15,m
SP90059,A21,DMSO,DMSO,-1,m
SP90059,A22,DMSO,DMSO,-1,m
SP90059,A23,DMSOA23,DMSOA23
SP90059,B02,DMSOB02,DMSOB02
SP90059,B03,C-1748-B-54 HPLC Subfractions 2,C-1748-B-54 HPLC Subfractions 2,-47.5,m
SP90059,B04,C-1748-B-54 HPLC Subfractions 3,C-1748-B-54 HPLC Subfractions 3,-5,m
SP90059,B05,C-1748-B-54 HPLC Subfractions 4,C-1748-B-54 HPLC Subfractions 4,-12.5,m
SP90059,B06,C-1748-B-54 HPLC Subfractions 5,C-1748-B-54 HPLC Subfractions 5,-10,m
SP90059,B07,C-1748-B-54 HPLC Subfractions 6,C-1748-B-54 HPLC Subfractions 6,-10,m
SP90059,B08,C-1748-B-54 HPLC Subfractions 7,C-1748-B-54 HPLC Subfractions 7,-10,m
SP90059,B09,C-1748-B-54 HPLC Subfractions 8,C-1748-B-54 HPLC Subfractions 8,-10,m
SP90059,B10,C-1748-B-54 HPLC Subfractions 9,C-1748-B-54 HPLC Subfractions 9,-12.5,m
SP90059,B11,C-1748-B-54 HPLC Subfractions 10,C-1748-B-54 HPLC Subfractions 10,-17.5,m
SP90059,B12,C-1748-B-54 HPLC Subfractions 11,C-1748-B-54 HPLC Subfractions 11,-15,m
SP90059,B13,C-1748-B-54 HPLC Subfractions 12,C-1748-B-54 HPLC Subfractions 12,-20,m
SP90059,B14,C-1748-B-54 HPLC Subfractions 13,C-1748-B-54 HPLC Subfractions 13,-17.5,m
SP90059,B15,C-1748-B-54 HPLC Subfractions 14,C-1748-B-54 HPLC Subfractions 14,-17.5,m
SP90059,B16,C-1748-B-54 HPLC Subfractions 15,C-1748-B-54 HPLC Subfractions 15,-22.5,m
SP90059,B17,C-1748-B-54 HPLC Subfractions 16,C-1748-B-54 HPLC Subfractions 16,-22.5,m
SP90059,B18,C-1748-B-54 HPLC Subfractions 17,C-1748-B-54 HPLC Subfractions 17,-20,m
SP90059,B19,C-1748-B-54 HPLC Subfractions 18,C-1748-B-54 HPLC Subfractions 18,-30,m
SP90059,B20,C-1748-B-54 HPLC Subfractions 19,C-1748-B-54 HPLC Subfractions 19,-7.5,m
SP90059,B21,DMSO,DMSO,-1,m
