HIFAN Plate Map,384 plate ID,Plate Map,Well,Human Readable Name,SWID,MoleculeID,Concentration,Concentration units,Volume,Preparer,Date Prepared,Notes
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C08,SW330105-1,SW330105-1,RLCA-1120A,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C09,SW330106-1,SW330106-1,RLCA-1107B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C10,SW330107-1,SW330107-1,RLCA-1120B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C11,SW330108-1,SW330108-1,RLCA-1107C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C12,SW330109-1,SW330109-1,RLCA-1120C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C13,SW330110-1,SW330110-1,RLCA-1107D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C14,SW330111-1,SW330111-1,RLCA-1120D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C15,SW330112-1,SW330112-1,RLCA-1107E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C16,SW330113-1,SW330113-1,RLCA-1120E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C17,SW330114-1,SW330114-1,RLCA-1107F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C18,SW330115-1,SW330115-1,RLCA-1120F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C19,SW330116-1,SW330116-1,RLCA-1108A,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C20,SW330117-1,SW330117-1,RLCA-1121A,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C21,SW330118-1,SW330118-1,RLCA-1108B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,C22,SW330119-1,SW330119-1,RLCA-1121B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D03,SW330120-1,SW330120-1,RLCA-1132E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D04,SW330121-1,SW330121-1,RLCA-1145E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D05,SW330122-1,SW330122-1,RLCA-1132F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D06,SW330123-1,SW330123-1,RLCA-1145F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D07,SW330124-1,SW330124-1,RLCA-1133A,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D08,SW330125-1,SW330125-1,RLCA-1146A,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D09,SW330126-1,SW330126-1,RLCA-1133B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D10,SW330127-1,SW330127-1,RLCA-1146B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D11,SW330128-1,SW330128-1,RLCA-1133C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D12,SW330129-1,SW330129-1,RLCA-1146C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D13,SW330130-1,SW330130-1,RLCA-1133D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D14,SW330131-1,SW330131-1,RLCA-1146D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D15,SW330132-1,SW330132-1,RLCA-1133E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D16,SW330133-1,SW330133-1,RLCA-1146E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D17,SW330134-1,SW330134-1,RLCA-1133F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D18,SW330135-1,SW330135-1,RLCA-1146F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D19,SW330136-1,SW330136-1,RLCA-1134A,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D20,SW330137-1,SW330137-1,RLCA-1147A,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D21,SW330138-1,SW330138-1,RLCA-1134B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,D22,SW330139-1,SW330139-1,RLCA-1147B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E03,SW330140-1,SW330140-1,RLCA-1108C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E04,SW330141-1,SW330141-1,RLCA-1121C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E05,SW330142-1,SW330142-1,RLCA-1108D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E06,SW330143-1,SW330143-1,RLCA-1121D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E07,SW330144-1,SW330144-1,RLCA-1108E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E08,SW330145-1,SW330145-1,RLCA-1121E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E09,SW330146-1,SW330146-1,RLCA-1108F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E10,SW330147-1,SW330147-1,RLCA-1121F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E11,SW330148-1,SW330148-1,RLCA-1109A,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E12,SW330149-1,SW330149-1,RLCA-1122A,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E13,SW330150-1,SW330150-1,RLCA-1109B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E14,SW330151-1,SW330151-1,RLCA-1122B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E15,SW330152-1,SW330152-1,RLCA-1109C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E16,SW330153-1,SW330153-1,RLCA-1122C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E17,SW330154-1,SW330154-1,RLCA-1109D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E18,SW330155-1,SW330155-1,RLCA-1122D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E19,SW330156-1,SW330156-1,RLCA-1109E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E20,SW330157-1,SW330157-1,RLCA-1122E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E21,SW330158-1,SW330158-1,RLCA-1109F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,E22,SW330159-1,SW330159-1,RLCA-1122F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F03,SW330160-1,SW330160-1,RLCA-1134C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F04,SW330161-1,SW330161-1,RLCA-1147C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F05,SW330162-1,SW330162-1,RLCA-1134D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F06,SW330163-1,SW330163-1,RLCA-1147D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F07,SW330164-1,SW330164-1,RLCA-1134E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F08,SW330165-1,SW330165-1,RLCA-1147E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F09,SW330166-1,SW330166-1,RLCA-1134F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F10,SW330167-1,SW330167-1,RLCA-1147F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F11,SW330168-1,SW330168-1,RLCA-1135A,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F12,SW330169-1,SW330169-1,RLCA-1148A,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F13,SW330170-1,SW330170-1,RLCA-1135B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F14,SW330171-1,SW330171-1,RLCA-1148B,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F15,SW330172-1,SW330172-1,RLCA-1135C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F16,SW330173-1,SW330173-1,RLCA-1148C,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F17,SW330174-1,SW330174-1,RLCA-1135D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F18,SW330175-1,SW330175-1,RLCA-1148D,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F19,SW330176-1,SW330176-1,RLCA-1135E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F20,SW330177-1,SW330177-1,RLCA-1148E,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F21,SW330178-1,SW330178-1,RLCA-1135F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,F22,SW330179-1,SW330179-1,RLCA-1148F,-5,m
HIFAN_RL_004,RLCA_384_1105_1156,SP20295,G03,SW330180-1,SW330180-1,RLCA-1110A,-5,m
