384_plate_ID,Plate Map,Well,Human_Readable_Name,MoleculeID,Concentration,Unit,Well_X,Well_Y
HIFAN2.0_Botanical-ImmunoCP,SP20302,K07,SN-A-005-10L-14,SN-A-005-10L-14-rep1,10.0,mg/ml,7,11
HIFAN2.0_Botanical-ImmunoCP,SP20302,K08,HC01B,HC01B-rep1,2.0,mg/ml,8,11
HIFAN2.0_Botanical-ImmunoCP,SP20302,K09,Y-320,SW220077-1-rep1,2.0,m,9,11
HIFAN2.0_Botanical-ImmunoCP,SP20302,K10,SW203055-1,SW203055-1-rep1,2.0,mg/ml,10,11
HIFAN2.0_Botanical-ImmunoCP,SP20302,K11,SN-C-010-10,SN-C-010-10-rep1,2.0,mg/ml,11,11
HIFAN2.0_Botanical-ImmunoCP,SP20302,K12,SN-A-005-10L-14,SN-A-005-10L-14-rep1,2.0,mg/ml,12,11
HIFAN2.0_Botanical-ImmunoCP,SP20302,K23,LPS_K23,LPS_K23,,,23,11
HIFAN2.0_Botanical-ImmunoCP,SP20302,K24,LPS_K24,LPS_K24,,,24,11
HIFAN2.0_Botanical-ImmunoCP,SP20302,L03,HC01C,HC01C-rep1,10.0,mg/ml,3,12
HIFAN2.0_Botanical-ImmunoCP,SP20302,L04,Tak242,Tak242-rep1,10.0,m,4,12
HIFAN2.0_Botanical-ImmunoCP,SP20302,L05,SW203056-1,SW203056-1-rep1,10.0,mg/ml,5,12
HIFAN2.0_Botanical-ImmunoCP,SP20302,L06,SN-C-010-11,SN-C-010-11-rep1,10.0,mg/ml,6,12
HIFAN2.0_Botanical-ImmunoCP,SP20302,L07,SN-A-005-10L-15,SN-A-005-10L-15-rep1,10.0,mg/ml,7,12
HIFAN2.0_Botanical-ImmunoCP,SP20302,L08,HC01C,HC01C-rep1,2.0,mg/ml,8,12
HIFAN2.0_Botanical-ImmunoCP,SP20302,L09,Tak242,Tak242-rep1,2.0,m,9,12
HIFAN2.0_Botanical-ImmunoCP,SP20302,L10,SW203056-1,SW203056-1-rep1,2.0,mg/ml,10,12
HIFAN2.0_Botanical-ImmunoCP,SP20302,L11,SN-C-010-11,SN-C-010-11-rep1,2.0,mg/ml,11,12
HIFAN2.0_Botanical-ImmunoCP,SP20302,L12,SN-A-005-10L-15,SN-A-005-10L-15-rep1,2.0,mg/ml,12,12
