96 plate ID,96 plate number,96 well,384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
,Plate 1,A02,Ctownsend Library 02,SP40208,A03,LBL,LBL,9,,3,1
,Plate 1,A03,Ctownsend Library 02,SP40208,A05,DBL,DBL,9,,5,1
,Plate 1,A04,Ctownsend Library 02,SP40208,A07,LPL,LPL,9,,7,1
,Plate 1,A05,Ctownsend Library 02,SP40208,A09,DPL,DPL,9,,9,1
,Plate 1,A06,Ctownsend Library 02,SP40208,A11,LAL,LAL,9,,11,1
,Plate 1,A07,Ctownsend Library 02,SP40208,A13,DAL,DAL,9,,13,1
,Plate 1,A08,Ctownsend Library 02,SP40208,A15,LaL,LaL,9,,15,1
,Plate 1,A09,Ctownsend Library 02,SP40208,A17,DaL,DaL,9,,17,1
,Plate 1,A10,Ctownsend Library 02,SP40208,A19,LMAL,LMAL,9,,19,1
,Plate 1,A11,Ctownsend Library 02,SP40208,A21,DMAL,DMAL,9,,21,1
,Plate 1,B02,Ctownsend Library 02,SP40208,C03,LMaL,LMaL,9,,3,3
,Plate 1,B03,Ctownsend Library 02,SP40208,C05,DMaL,DMaL,9,,5,3
,Plate 1,B04,Ctownsend Library 02,SP40208,C07,LBD,LBD,9,,7,3
,Plate 1,B05,Ctownsend Library 02,SP40208,C09,DBD,DBD,9,,9,3
,Plate 1,B06,Ctownsend Library 02,SP40208,C11,LPD,LPD,9,,11,3
,Plate 1,B07,Ctownsend Library 02,SP40208,C13,DPD,DPD,9,,13,3
,Plate 1,B08,Ctownsend Library 02,SP40208,C15,LAD,LAD,9,,15,3
,Plate 1,B09,Ctownsend Library 02,SP40208,C17,DAD,DAD,9,,17,3
,Plate 1,B10,Ctownsend Library 02,SP40208,C19,LaD,LaD,9,,19,3
,Plate 1,B11,Ctownsend Library 02,SP40208,C21,DaD,DaD,9,,21,3
,Plate 1,C02,Ctownsend Library 02,SP40208,E03,LMAD,LMAD,9,,3,5
,Plate 1,C03,Ctownsend Library 02,SP40208,E05,DMAD,DMAD,9,,5,5
,Plate 1,C04,Ctownsend Library 02,SP40208,E07,LMaD,LMaD,9,,7,5
,Plate 1,C05,Ctownsend Library 02,SP40208,E09,DMaD,DMaD,9,,9,5
,Plate 1,C06,Ctownsend Library 02,SP40208,E11,LMAD,LMAD,1,,11,5
,Plate 1,C07,Ctownsend Library 02,SP40208,E13,DMAD,DMAD,1,,13,5
,Plate 1,C08,Ctownsend Library 02,SP40208,E15,LMaD,LMaD,1,,15,5
,Plate 1,C09,Ctownsend Library 02,SP40208,E17,DMaD,DMaD,1,,17,5
,Plate 1,C10,Ctownsend Library 02,SP40208,E19,DMSOE19,DMSOE19,,,19,5
,Plate 1,C11,Ctownsend Library 02,SP40208,E21,DMSOE21,DMSOE21,,,21,5
,Plate 1,D02,Ctownsend Library 02,SP40208,G03,LBL,LBL,3,,3,7
,Plate 1,D03,Ctownsend Library 02,SP40208,G05,DBL,DBL,3,,5,7
,Plate 1,D04,Ctownsend Library 02,SP40208,G07,LPL,LPL,3,,7,7
,Plate 1,D05,Ctownsend Library 02,SP40208,G09,DPL,DPL,3,,9,7
,Plate 1,D06,Ctownsend Library 02,SP40208,G11,LAL,LAL,3,,11,7
,Plate 1,D07,Ctownsend Library 02,SP40208,G13,DAL,DAL,3,,13,7
,Plate 1,D08,Ctownsend Library 02,SP40208,G15,LaL,LaL,3,,15,7
