Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP20135,A01,DOXY,DOXY,-1,m
SP20135,A03,RLFI-1001A,RLFI-1001A,-1,m
SP20135,A04,RLFI-1022A,RLFI-1022A,-1,m
SP20135,A05,RLFI-1001B,RLFI-1001B,-1,m
SP20135,A06,RLFI-1022B,RLFI-1022B,-1,m
SP20135,A07,RLFI-1001C,RLFI-1001C,-1,m
SP20135,A08,RLFI-1022C,RLFI-1022C,-1,m
SP20135,A09,RLFI-1001D,RLFI-1001D,-1,m
SP20135,A10,RLFI-1022D,RLFI-1022D,-1,m
SP20135,A11,RLFI-1001E,RLFI-1001E,-1,m
SP20135,A12,RLFI-1022E,RLFI-1022E,-1,m
SP20135,A13,RLFI-1001F,RLFI-1001F,-1,m
SP20135,A14,RLFI-1022F,RLFI-1022F,-1,m
SP20135,A15,RLFI-1001G,RLFI-1001G,-1,m
SP20135,A16,RLFI-1022G,RLFI-1022G,-1,m
SP20135,A17,RLFI-1002A,RLFI-1002A,-1,m
SP20135,A18,RLFI-1023A,RLFI-1023A,-1,m
SP20135,A19,RLFI-1002B,RLFI-1002B,-1,m
SP20135,A20,RLFI-1023B,RLFI-1023B,-1,m
SP20135,A21,RLFI-1002C,RLFI-1002C,-1,m
SP20135,A22,RLFI-1023C,RLFI-1023C,-1,m
SP20135,A23,DMSO,DMSO,-1,m
SP20135,B02,DMSOB02,DMSOB02
SP20135,B03,RLFI-1012A,RLFI-1012A,-1,m
SP20135,B05,RLFI-1012B,RLFI-1012B,-1,m
SP20135,B07,RLFI-1012C,RLFI-1012C,-1,m
SP20135,B09,RLFI-1012D,RLFI-1012D,-1,m
SP20135,B11,RLFI-1012E,RLFI-1012E,-1,m
SP20135,B13,RLFI-1012F,RLFI-1012F,-1,m
SP20135,B15,RLFI-1012G,RLFI-1012G,-1,m
SP20135,B17,RLFI-1013A,RLFI-1013A,-1,m
SP20135,B19,RLFI-1013B,RLFI-1013B,-1,m
SP20135,B21,RLFI-1013C,RLFI-1013C,-1,m
SP20135,B24,DMSOB24,DMSOB24
SP20135,C01,DOXY,DOXY,-1,m
SP20135,C03,RLFI-1002D,RLFI-1002D,-1,m
SP20135,C04,RLFI-1023D,RLFI-1023D,-1,m
SP20135,C05,RLFI-1002E,RLFI-1002E,-1,m
SP20135,C06,RLFI-1023E,RLFI-1023E,-1,m
SP20135,C07,RLFI-1002F,RLFI-1002F,-1,m
SP20135,C08,RLFI-1023F,RLFI-1023F,-1,m
SP20135,C09,RLFI-1002G,RLFI-1002G,-1,m
SP20135,C10,RLFI-1023G,RLFI-1023G,-1,m
SP20135,C11,RLFI-1003A,RLFI-1003A,-1,m
SP20135,C12,RLFI-1024B,RLFI-1024B,-1,m
SP20135,C13,RLFI-1003B,RLFI-1003B,-1,m
SP20135,C14,RLFI-1024C,RLFI-1024C,-1,m
SP20135,C15,RLFI-1003C,RLFI-1003C,-1,m
SP20135,C16,RLFI-1024D,RLFI-1024D,-1,m
SP20135,C17,RLFI-1003D,RLFI-1003D,-1,m
SP20135,C18,RLFI-1024E,RLFI-1024E,-1,m
SP20135,C19,RLFI-1003E,RLFI-1003E,-1,m
SP20135,C20,RLFI-1024F,RLFI-1024F,-1,m
SP20135,C21,RLFI-1003F,RLFI-1003F,-1,m
SP20135,C22,RLFI-1024G,RLFI-1024G,-1,m
SP20135,C23,DMSO,DMSO,-1,m
SP20135,D02,DMSOD02,DMSOD02
SP20135,D03,RLFI-1013D,RLFI-1013D,-1,m
SP20135,D05,RLFI-1013E,RLFI-1013E,-1,m
SP20135,D07,RLFI-1013F,RLFI-1013F,-1,m
SP20135,D09,RLFI-1013G,RLFI-1013G,-1,m
SP20135,D11,RLFI-1014A,RLFI-1014A,-1,m
SP20135,D13,RLFI-1014B,RLFI-1014B,-1,m
SP20135,D15,RLFI-1014C,RLFI-1014C,-1,m
SP20135,D17,RLFI-1014D,RLFI-1014D,-1,m
SP20135,D19,RLFI-1014E,RLFI-1014E,-1,m
SP20135,D21,RLFI-1014F,RLFI-1014F,-1,m
SP20135,D24,DMSOD24,DMSOD24
SP20135,E01,DOXY,DOXY,-1,m
SP20135,E03,RLFI-1003G,RLFI-1003G,-1,m
SP20135,E04,RLFI-1025B,RLFI-1025B,-1,m
SP20135,E05,RLFI-1004A,RLFI-1004A,-1,m
SP20135,E06,RLFI-1025C,RLFI-1025C,-1,m
SP20135,E07,RLFI-1004B,RLFI-1004B,-1,m
SP20135,E08,RLFI-1025D,RLFI-1025D,-1,m
SP20135,E09,RLFI-1004C,RLFI-1004C,-1,m
SP20135,E10,RLFI-1025E,RLFI-1025E,-1,m
SP20135,E11,RLFI-1004D,RLFI-1004D,-1,m
SP20135,E12,RLFI-1025F,RLFI-1025F,-1,m
SP20135,E13,RLFI-1004E,RLFI-1004E,-1,m
SP20135,E14,RLFI-1025G,RLFI-1025G,-1,m
SP20135,E15,RLFI-1004F,RLFI-1004F,-1,m
SP20135,E16,DMSO,DMSO,-1,m
SP20135,E17,RLFI-1004G,RLFI-1004G,-1,m
SP20135,E18,RLFI-1026B,RLFI-1026B,-1,m
SP20135,E19,RLFI-1005A,RLFI-1005A,-1,m
SP20135,E20,RLFI-1026C,RLFI-1026C,-1,m
SP20135,E21,RLFI-1005B,RLFI-1005B,-1,m
SP20135,E22,RLFI-1026D,RLFI-1026D,-1,m
SP20135,E23,DMSO,DMSO,-1,m
SP20135,F02,DMSOF02,DMSOF02
SP20135,F03,RLFI-1014G,RLFI-1014G,-1,m
SP20135,F05,RLFI-1015A,RLFI-1015A,-1,m
SP20135,F07,RLFI-1015B,RLFI-1015B,-1,m
SP20135,F09,RLFI-1015C,RLFI-1015C,-1,m
SP20135,F11,RLFI-1015D,RLFI-1015D,-1,m
SP20135,F13,RLFI-1015E,RLFI-1015E,-1,m
SP20135,F15,RLFI-1015F,RLFI-1015F,-1,m
SP20135,F17,RLFI-1015G,RLFI-1015G,-1,m
SP20135,F19,RLFI-1016A,RLFI-1016A,-1,m
SP20135,F21,RLFI-1016B,RLFI-1016B,-1,m
SP20135,F24,DMSOF24,DMSOF24
SP20135,G01,DOXY,DOXY,-1,m
SP20135,G03,RLFI-1005C,RLFI-1005C,-1,m
SP20135,G04,RLFI-1026E,RLFI-1026E,-1,m
SP20135,G05,RLFI-1005D,RLFI-1005D,-1,m
SP20135,G06,RLFI-1026F,RLFI-1026F,-1,m
SP20135,G07,RLFI-1005E,RLFI-1005E,-1,m
SP20135,G08,RLFI-1026G,RLFI-1026G,-1,m
SP20135,G09,RLFI-1005F,RLFI-1005F,-1,m
SP20135,G10,RLFI-1027B,RLFI-1027B,-1,m
SP20135,G11,RLFI-1005G,RLFI-1005G,-1,m
SP20135,G12,RLFI-1027C,RLFI-1027C,-1,m
SP20135,G13,RLFI-1006A,RLFI-1006A,-1,m
SP20135,G14,RLFI-1027D,RLFI-1027D,-1,m
SP20135,G15,RLFI-1006B,RLFI-1006B,-1,m
SP20135,G16,RLFI-1027E,RLFI-1027E,-1,m
SP20135,G17,RLFI-1006C,RLFI-1006C,-1,m
SP20135,G18,RLFI-1027F,RLFI-1027F,-1,m
SP20135,G19,RLFI-1006D,RLFI-1006D,-1,m
SP20135,G20,RLFI-1027G,RLFI-1027G,-1,m
SP20135,G21,RLFI-1006E,RLFI-1006E,-1,m
SP20135,G22,RLFI-1028B,RLFI-1028B,-1,m
SP20135,G23,DMSO,DMSO,-1,m
SP20135,H02,DMSOH02,DMSOH02
SP20135,H03,RLFI-1016C,RLFI-1016C,-1,m
SP20135,H05,RLFI-1016D,RLFI-1016D,-1,m
SP20135,H07,RLFI-1016E,RLFI-1016E,-1,m
SP20135,H09,RLFI-1016F,RLFI-1016F,-1,m
SP20135,H11,RLFI-1016G,RLFI-1016G,-1,m
SP20135,H13,RLFI-1017A,RLFI-1017A,-1,m
SP20135,H15,RLFI-1017B,RLFI-1017B,-1,m
SP20135,H17,RLFI-1017C,RLFI-1017C,-1,m
SP20135,H19,RLFI-1017D,RLFI-1017D,-1,m
SP20135,H21,RLFI-1017E,RLFI-1017E,-1,m
SP20135,H24,DMSOH24,DMSOH24
SP20135,I01,DOXY,DOXY,-1,m
SP20135,I03,RLFI-1006F,RLFI-1006F,-1,m
SP20135,I04,RLFI-1028C,RLFI-1028C,-1,m
SP20135,I05,RLFI-1006G,RLFI-1006G,-1,m
SP20135,I06,RLFI-1028D,RLFI-1028D,-1,m
SP20135,I07,RLFI-1007A,RLFI-1007A,-1,m
SP20135,I08,RLFI-1028E,RLFI-1028E,-1,m
SP20135,I09,RLFI-1007B,RLFI-1007B,-1,m
SP20135,I10,RLFI-1028F,RLFI-1028F,-1,m
SP20135,I11,RLFI-1007C,RLFI-1007C,-1,m
SP20135,I12,RLFI-1028G,RLFI-1028G,-1,m
SP20135,I13,RLFI-1009D,RLFI-1009D,-1,m
SP20135,I14,RLFI-1029B,RLFI-1029B,-1,m
SP20135,I15,RLFI-1007E,RLFI-1007E,-1,m
SP20135,I16,RLFI-1029C,RLFI-1029C,-1,m
SP20135,I17,RLFI-1007F,RLFI-1007F,-1,m
SP20135,I18,RLFI-1029D,RLFI-1029D,-1,m
SP20135,I19,RLFI-1007G,RLFI-1007G,-1,m
SP20135,I20,RLFI-1029E,RLFI-1029E,-1,m
SP20135,I21,RLFI-1008A,RLFI-1008A,-1,m
SP20135,I22,RLFI-1029F,RLFI-1029F,-1,m
SP20135,I23,DMSO,DMSO,-1,m
SP20135,J02,DMSOJ02,DMSOJ02
SP20135,J03,RLFI-1017F,RLFI-1017F,-1,m
SP20135,J05,RLFI-1017G,RLFI-1017G,-1,m
SP20135,J07,RLFI-1018A,RLFI-1018A,-1,m
SP20135,J09,RLFI-1018B,RLFI-1018B,-1,m
SP20135,J11,RLFI-1018C,RLFI-1018C,-1,m
SP20135,J13,RLFI-1018D,RLFI-1018D,-1,m
SP20135,J15,RLFI-1018E,RLFI-1018E,-1,m
SP20135,J17,RLFI-1018F,RLFI-1018F,-1,m
SP20135,J19,RLFI-1018G,RLFI-1018G,-1,m
SP20135,J21,RLFI-1019A,RLFI-1019A,-1,m
SP20135,J24,DMSOJ24,DMSOJ24
SP20135,K01,DOXY,DOXY,-1,m
SP20135,K03,RLFI-1008B,RLFI-1008B,-1,m
SP20135,K04,RLFI-1029G,RLFI-1029G,-1,m
SP20135,K05,RLFI-1008C,RLFI-1008C,-1,m
SP20135,K06,RLFI-1030B,RLFI-1030B,-1,m
SP20135,K07,RLFI-1008D,RLFI-1008D,-1,m
SP20135,K08,RLFI-1030C,RLFI-1030C,-1,m
SP20135,K09,RLFI-1008E,RLFI-1008E,-1,m
SP20135,K10,RLFI-1030D,RLFI-1030D,-1,m
SP20135,K11,RLFI-1008F,RLFI-1008F,-1,m
SP20135,K12,RLFI-1030E,RLFI-1030E,-1,m
SP20135,K13,RLFI-1008G,RLFI-1008G,-1,m
SP20135,K14,RLFI-1030F,RLFI-1030F,-1,m
SP20135,K15,RLFI-1009A,RLFI-1009A,-1,m
SP20135,K16,RLFI-1030G,RLFI-1030G,-1,m
SP20135,K17,RLFI-1009B,RLFI-1009B,-1,m
SP20135,K18,RLFI-1031B,RLFI-1031B,-1,m
SP20135,K19,RLFI-1009C,RLFI-1009C,-1,m
SP20135,K20,RLFI-1031C,RLFI-1031C,-1,m
SP20135,K21,RLFI-1007D,RLFI-1007D,-1,m
SP20135,K22,RLFI-1031D,RLFI-1031D,-1,m
SP20135,K23,DMSO,DMSO,-1,m
SP20135,L02,DMSOL02,DMSOL02
SP20135,L03,RLFI-1019B,RLFI-1019B,-1,m
SP20135,L05,RLFI-1019C,RLFI-1019C,-1,m
SP20135,L07,RLFI-1019D,RLFI-1019D,-1,m
SP20135,L09,RLFI-1019E,RLFI-1019E,-1,m
SP20135,L11,RLFI-1019F,RLFI-1019F,-1,m
SP20135,L13,RLFI-1019G,RLFI-1019G,-1,m
SP20135,L15,RLFI-1020A,RLFI-1020A,-1,m
SP20135,L17,RLFI-1020B,RLFI-1020B,-1,m
SP20135,L19,RLFI-1020C,RLFI-1020C,-1,m
SP20135,L21,RLFI-1020D,RLFI-1020D,-1,m
SP20135,L24,DMSOL24,DMSOL24
SP20135,M01,DOXY,DOXY,-1,m
SP20135,M03,RLFI-1009E,RLFI-1009E,-1,m
SP20135,M04,RLFI-1031E,RLFI-1031E,-1,m
SP20135,M05,RLFI-1009F,RLFI-1009F,-1,m
SP20135,M06,RLFI-1031F,RLFI-1031F,-1,m
SP20135,M07,RLFI-1009G,RLFI-1009G,-1,m
SP20135,M08,RLFI-1031G,RLFI-1031G,-1,m
SP20135,M09,RLFI-1010A,RLFI-1010A,-1,m
SP20135,M10,RLFI-1032B,RLFI-1032B,-1,m
SP20135,M11,RLFI-1010B,RLFI-1010B,-1,m
SP20135,M12,RLFI-1032C,RLFI-1032C,-1,m
SP20135,M13,RLFI-1010C,RLFI-1010C,-1,m
SP20135,M14,RLFI-1032D,RLFI-1032D,-1,m
SP20135,M15,RLFI-1010D,RLFI-1010D,-1,m
SP20135,M16,RLFI-1032E,RLFI-1032E,-1,m
SP20135,M17,RLFI-1010E,RLFI-1010E,-1,m
SP20135,M18,RLFI-1032F,RLFI-1032F,-1,m
SP20135,M19,RLFI-1010F,RLFI-1010F,-1,m
SP20135,M20,RLFI-1032G,RLFI-1032G,-1,m
