Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP90080,A03,Spliceostatin A,Spliceostatin A,0.000003,m
SP90080,A04,PladienolideB,PladienolideB,0.0003,m
SP90080,A05,PladienolideB C3 epimer,PladienolideB C3 epimer,0.0003,m
SP90080,A06,PladienolideB C11 epimer,PladienolideB C11 epimer,0.0003,m
SP90080,A07,PladienolideB C18-C19 deoxy,PladienolideB C18-C19 deoxy,0.0003,m
SP90080,A08,PladienolideB C11 C18-19,PladienolideB C11 C18-19,0.0003,m
SP90080,A09,PladienolideB_derivative006,PladienolideB_derivative006,0.0003,m
SP90080,A10,PladienolideB_derivative007,PladienolideB_derivative007,0.0003,m
SP90080,A11,PladienolideB_derivative008,PladienolideB_derivative008,0.0003,m
SP90080,A12,PladienolideB_derivative009,PladienolideB_derivative009,0.0003,m
SP90080,A13,PB010,PB010,0.0003,m
SP90080,A14,PB011,PB011,0.0003,m
SP90080,A15,HB,HB,0.0003,m
SP90080,B03,Spliceostatin A,Spliceostatin A,0.0000015,m
SP90080,B04,PladienolideB,PladienolideB,0.00015,m
SP90080,B05,PladienolideB C3 epimer,PladienolideB C3 epimer,0.00015,m
SP90080,B06,PladienolideB C11 epimer,PladienolideB C11 epimer,0.00015,m
SP90080,B07,PladienolideB C18-C19 deoxy,PladienolideB C18-C19 deoxy,0.00015,m
SP90080,B08,PladienolideB C11 C18-19,PladienolideB C11 C18-19,0.00015,m
SP90080,B09,PladienolideB_derivative006,PladienolideB_derivative006,0.00015,m
SP90080,B10,PladienolideB_derivative007,PladienolideB_derivative007,0.00015,m
SP90080,B11,PladienolideB_derivative008,PladienolideB_derivative008,0.00015,m
SP90080,B12,PladienolideB_derivative009,PladienolideB_derivative009,0.00015,m
SP90080,B13,PB010,PB010,0.00015,m
SP90080,B14,PB011,PB011,0.00015,m
SP90080,B15,HB,HB,0.00015,m
SP90080,C03,Spliceostatin A,Spliceostatin A,0.00000075,m
SP90080,C04,PladienolideB,PladienolideB,0.000075,m
SP90080,C05,PladienolideB C3 epimer,PladienolideB C3 epimer,0.000075,m
SP90080,C06,PladienolideB C11 epimer,PladienolideB C11 epimer,0.000075,m
SP90080,C07,PladienolideB C18-C19 deoxy,PladienolideB C18-C19 deoxy,0.000075,m
SP90080,C08,PladienolideB C11 C18-19,PladienolideB C11 C18-19,0.000075,m
SP90080,C09,PladienolideB_derivative006,PladienolideB_derivative006,0.000075,m
SP90080,C10,PladienolideB_derivative007,PladienolideB_derivative007,0.000075,m
SP90080,C11,PladienolideB_derivative008,PladienolideB_derivative008,0.000075,m
SP90080,C12,PladienolideB_derivative009,PladienolideB_derivative009,0.000075,m
SP90080,C13,PB010,PB010,0.000075,m
SP90080,C14,PB011,PB011,0.000075,m
SP90080,C15,HB,HB,0.000075,m
SP90080,D03,Spliceostatin A,Spliceostatin A,0.000000375,m
SP90080,D04,PladienolideB,PladienolideB,0.0000375,m
SP90080,D05,PladienolideB C3 epimer,PladienolideB C3 epimer,0.0000375,m
SP90080,D06,PladienolideB C11 epimer,PladienolideB C11 epimer,0.0000375,m
SP90080,D07,PladienolideB C18-C19 deoxy,PladienolideB C18-C19 deoxy,0.0000375,m
SP90080,D08,PladienolideB C11 C18-19,PladienolideB C11 C18-19,0.0000375,m
SP90080,D09,PladienolideB_derivative006,PladienolideB_derivative006,0.0000375,m
SP90080,D10,PladienolideB_derivative007,PladienolideB_derivative007,0.0000375,m
SP90080,D11,PladienolideB_derivative008,PladienolideB_derivative008,0.0000375,m
SP90080,D12,PladienolideB_derivative009,PladienolideB_derivative009,0.0000375,m
SP90080,D13,PB010,PB010,0.0000375,m
SP90080,D14,PB011,PB011,0.0000375,m
SP90080,D15,HB,HB,0.0000375,m
SP90080,E03,Spliceostatin A,Spliceostatin A,1.88E-07,m
SP90080,E04,PladienolideB,PladienolideB,0.00001875,m
SP90080,E05,PladienolideB C3 epimer,PladienolideB C3 epimer,0.00001875,m
SP90080,E06,PladienolideB C11 epimer,PladienolideB C11 epimer,0.00001875,m
SP90080,E07,PladienolideB C18-C19 deoxy,PladienolideB C18-C19 deoxy,0.00001875,m
SP90080,E08,PladienolideB C11 C18-19,PladienolideB C11 C18-19,0.00001875,m
SP90080,E09,PladienolideB_derivative006,PladienolideB_derivative006,0.00001875,m
SP90080,E10,PladienolideB_derivative007,PladienolideB_derivative007,0.00001875,m
SP90080,E11,PladienolideB_derivative008,PladienolideB_derivative008,0.00001875,m
SP90080,E12,PladienolideB_derivative009,PladienolideB_derivative009,0.00001875,m
SP90080,E13,PB010,PB010,0.00001875,m
SP90080,E14,PB011,PB011,0.00001875,m
SP90080,E15,HB,HB,0.00001875,m
SP90080,F03,Spliceostatin A,Spliceostatin A,9.38E-08,m
SP90080,F04,PladienolideB,PladienolideB,0.000009375,m
SP90080,F05,PladienolideB C3 epimer,PladienolideB C3 epimer,0.000009375,m
SP90080,F06,PladienolideB C11 epimer,PladienolideB C11 epimer,0.000009375,m
SP90080,F07,PladienolideB C18-C19 deoxy,PladienolideB C18-C19 deoxy,0.000009375,m
SP90080,F08,PladienolideB C11 C18-19,PladienolideB C11 C18-19,0.000009375,m
SP90080,F09,PladienolideB_derivative006,PladienolideB_derivative006,0.000009375,m
SP90080,F10,PladienolideB_derivative007,PladienolideB_derivative007,0.000009375,m
SP90080,F11,PladienolideB_derivative008,PladienolideB_derivative008,0.000009375,m
