Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP10062,A01,DMSOA01,DMSOA01
SP10062,A03,99138 DM,99138 DM,100,m
SP10062,A04,113102A ZA,113102A ZA,100,m
SP10062,A05,02100 XFD,02100 XFD,100,m
SP10062,A06,113102A MA,113102A MA,100,m
SP10062,A07,97263 FD,97263 FD,100,m
SP10062,A08,113102A OMA,113102A OMA,100,m
SP10062,A09,97261 FD,97261 FD,100,m
SP10062,A10,113102A CMA,113102A CMA,100,m
SP10062,A11,97281 FD,97281 FD,100,m
SP10062,A12,113103A ZA,113103A ZA,100,m
SP10062,A13,03117 FD,03117 FD,100,m
SP10062,A14,113103A MA,113103A MA,100,m
SP10062,A15,97262 FD,97262 FD,100,m
SP10062,A16,113103A OMA,113103A OMA,100,m
SP10062,A17,87036 FD,87036 FD,100,m
SP10062,A18,113103A CMA,113103A CMA,100,m
SP10062,A19,97213 FD,97213 FD,100,m
SP10062,A20,113104A ZA,113104A ZA,100,m
SP10062,A21,00375 FD,00375 FD,100,m
SP10062,A22,113104A MA,113104A MA,100,m
SP10062,A23,DMSOA23,DMSOA23
SP10062,B02,DMSOB02,DMSOB02
SP10062,B03,118521A ZA,118521A ZA,100,m
SP10062,B04,118500A ZA,118500A ZA,100,m
SP10062,B05,118521A MA,118521A MA,100,m
SP10062,B06,118500A MA,118500A MA,100,m
SP10062,B07,118521A OMA,118521A OMA,100,m
SP10062,B08,118500A OMA,118500A OMA,100,m
SP10062,B09,118521A CMA,118521A CMA,100,m
SP10062,B10,118500A CMA,118500A CMA,100,m
SP10062,B11,118522A ZA,118522A ZA,100,m
SP10062,B12,118501A ZA,118501A ZA,100,m
SP10062,B13,118522A MA,118522A MA,100,m
SP10062,B14,118501A MA,118501A MA,100,m
SP10062,B15,118522A OMA,118522A OMA,100,m
SP10062,B16,118501A OMA,118501A OMA,100,m
SP10062,B17,118522A CMA,118522A CMA,100,m
SP10062,B18,118501A CMA,118501A CMA,100,m
SP10062,B19,118522B ZA,118522B ZA,100,m
SP10062,B20,118508A ZA,118508A ZA,100,m
SP10062,B21,118522B MA,118522B MA,100,m
SP10062,B22,118508A MA,118508A MA,100,m
SP10062,B24,DMSOB24,DMSOB24
SP10062,C01,DMSOC01,DMSOC01
SP10062,C03,89701 FD,89701 FD,100,m
SP10062,C04,113104A OMA,113104A OMA,100,m
SP10062,C05,00364 DMH,00364 DMH,100,m
SP10062,C06,113104A CMA,113104A CMA,100,m
SP10062,C07,02100 FH,02100 FH,100,m
SP10062,C08,117307A ZA,117307A ZA,100,m
SP10062,C09,97263 FH,97263 FH,100,m
SP10062,C10,117307A MA,117307A MA,100,m
SP10062,C11,97263 DMH,97263 DMH,100,m
SP10062,C12,117307A OMA,117307A OMA,100,m
SP10062,C13,97261 FH,97261 FH,100,m
SP10062,C14,117307A CMA,117307A CMA,100,m
SP10062,C15,97261 DMH,97261 DMH,100,m
SP10062,C16,117401 ZA,117401 ZA,100,m
SP10062,C17,97291 FH,97291 FH,100,m
SP10062,C18,117401 MA,117401 MA,100,m
SP10062,C19,97291 DMH,97291 DMH,100,m
SP10062,C20,117401 OMA,117401 OMA,100,m
SP10062,C21,89701 FH,89701 FH,100,m
SP10062,C22,117401 CMA,117401 CMA,100,m
SP10062,C23,DMSOC23,DMSOC23
SP10062,D02,DMSOD02,DMSOD02
SP10062,D03,118522B OMA,118522B OMA,100,m
SP10062,D04,118508A OMA,118508A OMA,100,m
SP10062,D05,118522B CMA,118522B CMA,100,m
SP10062,D06,118508A CMA,118508A CMA,100,m
SP10062,D07,118523A ZA,118523A ZA,100,m
SP10062,D08,118533B ZA,118533B ZA,100,m
SP10062,D09,118523A MA,118523A MA,100,m
SP10062,D10,118533B MA,118533B MA,100,m
SP10062,D11,118523A OMA,118523A OMA,100,m
SP10062,D12,118533B OMA,118533B OMA,100,m
SP10062,D13,118523A CMA,118523A CMA,100,m
SP10062,D14,118533B CMA,118533B CMA,100,m
SP10062,D15,118523B ZA,118523B ZA,100,m
SP10062,D16,118534A ZA,118534A ZA,100,m
SP10062,D17,118523B MA,118523B MA,100,m
SP10062,D18,118534A MA,118534A MA,100,m
SP10062,D19,118523B OMA,118523B OMA,100,m
SP10062,D20,118534A OMA,118534A OMA,100,m
SP10062,D21,118523B CMA,118523B CMA,100,m
SP10062,D22,118534A CMA,118534A CMA,100,m
SP10062,D24,DMSOD24,DMSOD24
SP10062,E01,DMSOE01,DMSOE01
SP10062,E03,89701 DMH,89701 DMH,100,m
SP10062,E04,118102A ZA,118102A ZA,100,m
SP10062,E05,03117 FH,03117 FH,100,m
