Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
SP30032,A03,M125SB 035A WB,M125SB 035A WB,1,m,3,1
SP30032,A04,M125SB_125AX_M_F2,M125SB_125AX_M_F2,0.5,m,4,1
SP30032,A05,M125SB 035A FH,M125SB 035A FH,1,m,5,1
SP30032,A06,M125SB_125AX_M_F3,M125SB_125AX_M_F3,0.5,m,6,1
SP30032,A07,M125SB 035A FD,M125SB 035A FD,1,m,7,1
SP30032,A08,M125SB_125AX_A_F,M125SB_125AX_A_F,1,m,8,1
SP30032,A09,M125SB 035A FM,M125SB 035A FM,1,m,9,1
SP30032,A10,M125SB_125AX_A_F1,M125SB_125AX_A_F1,0.5,m,10,1
SP30032,A11,M123SB 081A W,M123SB 081A W,1,m,11,1
SP30032,A12,M125SB_125AX_A_F2,M125SB_125AX_A_F2,0.5,m,12,1
SP30032,A13,M123SB 081A F,M123SB 081A F,1,m,13,1
SP30032,A14,M125SB_125AX_A_F3,M125SB_125AX_A_F3,0.5,m,14,1
SP30032,A15,M123SB 081A F1,M123SB 081A F1,0.5,m,15,1
SP30032,A16,M125SB_171AX_W,M125SB_171AX_W,1,m,16,1
SP30032,A17,M123SB 081A F2,M123SB 081A F2,0.5,m,17,1
SP30032,A18,M125SB_171AX_F,M125SB_171AX_F,1,m,18,1
SP30032,A19,M123SB 081A F3,M123SB 081A F3,0.5,m,19,1
SP30032,A20,M125SB_171AX_F1,M125SB_171AX_F1,0.5,m,20,1
SP30032,A21,M123SB 081A F4,M123SB 081A F4,0.5,m,21,1
SP30032,A22,M125SB_171AX_F2,M125SB_171AX_F2,0.5,m,22,1
SP30032,B03,M128SB 304Ax TPE ,M128SB 304Ax TPE ,1,m,3,2
SP30032,B04,M128SB 374Ax TPE,M128SB 374Ax TPE,1,m,4,2
SP30032,B05,M128SB 304Ax TNE ,M128SB 304Ax TNE ,1,m,5,2
SP30032,B06,M128SB 374Ax TNE,M128SB 374Ax TNE,0.2,m,6,2
SP30032,B07,M128SB 161Ax (F),M128SB 161Ax (F),1,m,7,2
SP30032,B08,M123SB 081A TPE,M123SB 081A TPE,1,m,8,2
SP30032,B09,M128SB 031Ax TPE ,M128SB 031Ax TPE ,1,m,9,2
