96 plate ID,96 plate number,96 well,384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
0908154 PL plate,Plate 1,A02,Taro Batch007a,SP90101,A03,0908154_CE_4M,0908154_CE_4M,-1,m,3,1
0908154 PL plate,Plate 1,A03,Taro Batch007a,SP90101,A05,0908154_CE_5M,0908154_CE_5M,-1,m,5,1
0908154 PL plate,Plate 1,A04,Taro Batch007a,SP90101,A07,0908154_CE_6M,0908154_CE_6M,-1,m,7,1
0908154 PL plate,Plate 1,A05,Taro Batch007a,SP90101,A09,0908154_CE_7M,0908154_CE_7M,-1,m,9,1
0908154 PL plate,Plate 1,A06,Taro Batch007a,SP90101,A11,0908154_CE_8M,0908154_CE_8M,-1,m,11,1
0908154 PL plate,Plate 1,A07,Taro Batch007a,SP90101,A13,0908154_CE_9M,0908154_CE_9M,-1,m,13,1
0908154 PL plate,Plate 1,A08,Taro Batch007a,SP90101,A15,0908154_CE_10M,0908154_CE_10M,-1,m,15,1
0908154 PL plate,Plate 1,A09,Taro Batch007a,SP90101,A17,0908154_CE_11M,0908154_CE_11M,-1,m,17,1
0908154 PL plate,Plate 1,A10,Taro Batch007a,SP90101,A19,0908154_CE_12M,0908154_CE_12M,-1,m,19,1
0908154 PL plate,Plate 1,A11,Taro Batch007a,SP90101,A21,0908154_CE_13M,0908154_CE_13M,-1,m,21,1
0908154 PL plate,Plate 1,B02,Taro Batch007a,SP90101,C03,0908154_CE_14M,0908154_CE_14M,-1,m,3,3
UCSC 110546PL,Plate 2,B02,Taro Batch007a,SP90101,C04,110546CE_3M,110546CE_3M,-1,m,4,3
0908154 PL plate,Plate 1,B03,Taro Batch007a,SP90101,C05,0908154_CE_15M,0908154_CE_15M,-1,m,5,3
UCSC 110546PL,Plate 2,B03,Taro Batch007a,SP90101,C06,110546CE_4M,110546CE_4M,-1,m,6,3
0908154 PL plate,Plate 1,B04,Taro Batch007a,SP90101,C07,0908154_CE_16M,0908154_CE_16M,-1,m,7,3
UCSC 110546PL,Plate 2,B04,Taro Batch007a,SP90101,C08,110546CE_5M,110546CE_5M,-1,m,8,3
0908154 PL plate,Plate 1,B05,Taro Batch007a,SP90101,C09,0908154_CE_17M,0908154_CE_17M,-1,m,9,3
UCSC 110546PL,Plate 2,B05,Taro Batch007a,SP90101,C10,110546CE_6M,110546CE_6M,-1,m,10,3
0908154 PL plate,Plate 1,B06,Taro Batch007a,SP90101,C11,0908154_CE_18M,0908154_CE_18M,-1,m,11,3
UCSC 110546PL,Plate 2,B06,Taro Batch007a,SP90101,C12,110546CE_7M,110546CE_7M,-1,m,12,3
0908154 PL plate,Plate 1,B07,Taro Batch007a,SP90101,C13,0908154_CE_19M,0908154_CE_19M,-1,m,13,3
UCSC 110546PL,Plate 2,B07,Taro Batch007a,SP90101,C14,110546CE_8M,110546CE_8M,-1,m,14,3
0908154 PL plate,Plate 1,B08,Taro Batch007a,SP90101,C15,0908154_CE_20M,0908154_CE_20M,-1,m,15,3
UCSC 110546PL,Plate 2,B08,Taro Batch007a,SP90101,C16,110546CE_9M,110546CE_9M,-1,m,16,3
0908154 PL plate,Plate 1,B09,Taro Batch007a,SP90101,C17,0908154_CE_21M,0908154_CE_21M,-1,m,17,3
UCSC 110546PL,Plate 2,B09,Taro Batch007a,SP90101,C18,110546CE_10M,110546CE_10M,-1,m,18,3
0908154 PL plate,Plate 1,B10,Taro Batch007a,SP90101,C19,0908154_CE_22M,0908154_CE_22M,-1,m,19,3
UCSC 110546PL,Plate 2,B10,Taro Batch007a,SP90101,C20,110546CE_11M,110546CE_11M,-1,m,20,3
0908154 PL plate,Plate 1,B11,Taro Batch007a,SP90101,C21,0908154_CE_23M,0908154_CE_23M,-1,m,21,3
UCSC 110546PL,Plate 2,B11,Taro Batch007a,SP90101,C22,110546CE_12M,110546CE_12M,-1,m,22,3
110627S Peak Lib 071718,Plate 4,B01,Taro Batch007a,SP90101,D02,110627S 60%_10M,110627S 60%_10M,-1,m,2,4
UCSC Peak Lib 071718 1,Plate 3,B02,Taro Batch007a,SP90101,D03,110627S 20%_3M,110627S 20%_3M,-1,m,3,4
110627S Peak Lib 071718,Plate 4,B02,Taro Batch007a,SP90101,D04,110627S 60%_11M,110627S 60%_11M,-1,m,4,4
UCSC Peak Lib 071718 1,Plate 3,B03,Taro Batch007a,SP90101,D05,110627S 20%_4M,110627S 20%_4M,-1,m,5,4
110627S Peak Lib 071718,Plate 4,B03,Taro Batch007a,SP90101,D06,110627S 60%_12M,110627S 60%_12M,-1,m,6,4
UCSC Peak Lib 071718 1,Plate 3,B04,Taro Batch007a,SP90101,D07,110627S 20%_5M,110627S 20%_5M,-1,m,7,4
110627S Peak Lib 071718,Plate 4,B04,Taro Batch007a,SP90101,D08,110627S 60%_13M,110627S 60%_13M,-1,m,8,4
UCSC Peak Lib 071718 1,Plate 3,B05,Taro Batch007a,SP90101,D09,110627 20%_6M,110627 20%_6M,-1,m,9,4
110627S Peak Lib 071718,Plate 4,B05,Taro Batch007a,SP90101,D10,110627S 60%_14M,110627S 60%_14M,-1,m,10,4
UCSC Peak Lib 071718 1,Plate 3,B06,Taro Batch007a,SP90101,D11,110627 20%_7M,110627 20%_7M,-1,m,11,4
110627S Peak Lib 071718,Plate 4,B06,Taro Batch007a,SP90101,D12,110627S 60%_15M,110627S 60%_15M,-1,m,12,4
