96 plate ID,96 plate number,96 well,384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
,Plate 4,B03,Amagata Dilution 01,SP90104,D06,130111_80%_21M,130111_80%_21M,6.25,m,6,4
,Plate 3,B04,Amagata Dilution 01,SP90104,D07,130111_80%_22M,130111_80%_22M,6.25,m,7,4
,Plate 4,B04,Amagata Dilution 01,SP90104,D08,130111_100%_21M,130111_100%_21M,6.25,m,8,4
,Plate 3,B05,Amagata Dilution 01,SP90104,D09,130111_100%_22M,130111_100%_22M,6.25,m,9,4
,Plate 4,B05,Amagata Dilution 01,SP90104,D10,130111_40%_19M,130111_40%_19M,6.25,m,10,4
,Plate 3,B06,Amagata Dilution 01,SP90104,D11,130111_40%_20M,130111_40%_20M,6.25,m,11,4
,Plate 4,B06,Amagata Dilution 01,SP90104,D12,110962A,110962A,6.25,m,12,4
,Plate 4,B07,Amagata Dilution 01,SP90104,D14,110921,110921,6.25,m,14,4
,Plate 3,B09,Amagata Dilution 01,SP90104,D17,130123,130123,6.25,m,17,4
,Plate 4,B09,Amagata Dilution 01,SP90104,D18,111617,111617,6.25,m,18,4
,Plate 3,B10,Amagata Dilution 01,SP90104,D19,110208,110208,6.25,m,19,4
,Plate 4,B10,Amagata Dilution 01,SP90104,D20,908169,908169,6.25,m,20,4
,Plate 3,B11,Amagata Dilution 01,SP90104,D21,130208,130208,6.25,m,21,4
,Plate 4,B11,Amagata Dilution 01,SP90104,D22,90934,90934,6.25,m,22,4
,Plate 1,C02,Amagata Dilution 01,SP90104,E03,130111_20%_15M,130111_20%_15M,3.125,m,3,5
,Plate 2,C02,Amagata Dilution 01,SP90104,E04,130111_20%_16M,130111_20%_16M,3.125,m,4,5
,Plate 1,C03,Amagata Dilution 01,SP90104,E05,130111_20%_17M,130111_20%_17M,3.125,m,5,5
,Plate 2,C03,Amagata Dilution 01,SP90104,E06,130111_80%_21M,130111_80%_21M,3.125,m,6,5
,Plate 1,C04,Amagata Dilution 01,SP90104,E07,130111_80%_22M,130111_80%_22M,3.125,m,7,5
,Plate 2,C04,Amagata Dilution 01,SP90104,E08,130111_100%_21M,130111_100%_21M,3.125,m,8,5
,Plate 1,C05,Amagata Dilution 01,SP90104,E09,130111_100%_22M,130111_100%_22M,3.125,m,9,5
,Plate 2,C05,Amagata Dilution 01,SP90104,E10,130111_40%_19M,130111_40%_19M,3.125,m,10,5
,Plate 1,C06,Amagata Dilution 01,SP90104,E11,130111_40%_20M,130111_40%_20M,3.125,m,11,5
,Plate 2,C06,Amagata Dilution 01,SP90104,E12,110962A,110962A,3.125,m,12,5
,Plate 2,C07,Amagata Dilution 01,SP90104,E14,110921,110921,3.125,m,14,5
,Plate 1,C09,Amagata Dilution 01,SP90104,E17,130123,130123,3.125,m,17,5
,Plate 2,C09,Amagata Dilution 01,SP90104,E18,111617,111617,3.125,m,18,5
,Plate 1,C10,Amagata Dilution 01,SP90104,E19,110208,110208,3.125,m,19,5
,Plate 2,C10,Amagata Dilution 01,SP90104,E20,908169,908169,3.125,m,20,5
,Plate 1,C11,Amagata Dilution 01,SP90104,E21,130208,130208,3.125,m,21,5
,Plate 2,C11,Amagata Dilution 01,SP90104,E22,90934,90934,3.125,m,22,5
,Plate 3,C02,Amagata Dilution 01,SP90104,F03,130111_20%_15M,130111_20%_15M,1.5625,m,3,6
,Plate 4,C02,Amagata Dilution 01,SP90104,F04,130111_20%_16M,130111_20%_16M,1.5625,m,4,6
,Plate 3,C03,Amagata Dilution 01,SP90104,F05,130111_20%_17M,130111_20%_17M,1.5625,m,5,6
,Plate 4,C03,Amagata Dilution 01,SP90104,F06,130111_80%_21M,130111_80%_21M,1.5625,m,6,6
,Plate 3,C04,Amagata Dilution 01,SP90104,F07,130111_80%_22M,130111_80%_22M,1.5625,m,7,6
,Plate 4,C04,Amagata Dilution 01,SP90104,F08,130111_100%_21M,130111_100%_21M,1.5625,m,8,6
,Plate 3,C05,Amagata Dilution 01,SP90104,F09,130111_100%_22M,130111_100%_22M,1.5625,m,9,6
,Plate 4,C05,Amagata Dilution 01,SP90104,F10,130111_40%_19M,130111_40%_19M,1.5625,m,10,6
,Plate 3,C06,Amagata Dilution 01,SP90104,F11,130111_40%_20M,130111_40%_20M,1.5625,m,11,6
,Plate 4,C06,Amagata Dilution 01,SP90104,F12,110962A,110962A,1.5625,m,12,6
,Plate 4,C07,Amagata Dilution 01,SP90104,F14,110921,110921,1.5625,m,14,6
,Plate 3,C09,Amagata Dilution 01,SP90104,F17,130123,130123,1.5625,m,17,6
,Plate 4,C09,Amagata Dilution 01,SP90104,F18,111617,111617,1.5625,m,18,6
