Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP20192,A01,DMSOA01,DMSOA01
SP20192,A03,RLUS-2111A,RLUS-2111A,-5,m
SP20192,A04,RLUS-2124A,RLUS-2124A,-5,m
SP20192,A05,RLUS-2111B,RLUS-2111B,-5,m
SP20192,A06,RLUS-2124B,RLUS-2124B,-5,m
SP20192,A07,RLUS-2111C,RLUS-2111C,-5,m
SP20192,A08,RLUS-2124C,RLUS-2124C,-5,m
SP20192,A09,RLUS-2111D,RLUS-2111D,-5,m
SP20192,A10,RLUS-2124D,RLUS-2124D,-5,m
SP20192,A11,RLUS-2111E,RLUS-2111E,-5,m
SP20192,A12,RLUS-2124E,RLUS-2124E,-5,m
SP20192,A13,RLUS-2111F,RLUS-2111F,-5,m
SP20192,A14,RLUS-2124F,RLUS-2124F,-5,m
SP20192,A15,RLUS-2112A,RLUS-2112A,-5,m
SP20192,A16,RLUS-2125A,RLUS-2125A,-5,m
SP20192,A17,RLUS-2112B,RLUS-2112B,-5,m
SP20192,A18,RLUS-2125B,RLUS-2125B,-5,m
SP20192,A19,RLUS-2112C,RLUS-2112C,-5,m
SP20192,A20,RLUS-2125C,RLUS-2125C,-5,m
SP20192,A21,RLUS-2112D,RLUS-2112D,-5,m
SP20192,A22,RLUS-2125D,RLUS-2125D,-5,m
SP20192,A23,DMSOA23,DMSOA23
SP20192,B02,DMSOB02,DMSOB02
SP20192,B03,RLUS-2137A,RLUS-2137A,-5,m
SP20192,B04,RLUS-2150A,RLUS-2150A,-5,m
SP20192,B05,RLUS-2137B,RLUS-2137B,-5,m
SP20192,B06,RLUS-2150B,RLUS-2150B,-5,m
SP20192,B07,RLUS-2137C,RLUS-2137C,-5,m
SP20192,B08,RLUS-2150C,RLUS-2150C,-5,m
SP20192,B09,RLUS-2137D,RLUS-2137D,-5,m
SP20192,B10,RLUS-2150D,RLUS-2150D,-5,m
SP20192,B11,RLUS-2137E,RLUS-2137E,-5,m
SP20192,B12,RLUS-2150E,RLUS-2150E,-5,m
SP20192,B13,RLUS-2137F,RLUS-2137F,-5,m
SP20192,B14,RLUS-2150F,RLUS-2150F,-5,m
SP20192,B15,RLUS-2138A,RLUS-2138A,-5,m
SP20192,B16,RLUS-2151A,RLUS-2151A,-5,m
SP20192,B17,RLUS-2138B,RLUS-2138B,-5,m
SP20192,B18,RLUS-2151B,RLUS-2151B,-5,m
SP20192,B19,RLUS-2138C,RLUS-2138C,-5,m
SP20192,B20,RLUS-2151C,RLUS-2151C,-5,m
SP20192,B21,RLUS-2138D,RLUS-2138D,-5,m
SP20192,B22,RLUS-2151D,RLUS-2151D,-5,m
SP20192,B24,DMSOB24,DMSOB24
SP20192,C01,DMSOC01,DMSOC01
SP20192,C03,RLUS-2112E,RLUS-2112E,-5,m
SP20192,C04,RLUS-2125E,RLUS-2125E,-5,m
SP20192,C05,RLUS-2112F,RLUS-2112F,-5,m
SP20192,C06,RLUS-2125F,RLUS-2125F,-5,m
SP20192,C07,RLUS-2113A,RLUS-2113A,-5,m
SP20192,C08,RLUS-2126A,RLUS-2126A,-5,m
SP20192,C09,RLUS-2113B,RLUS-2113B,-5,m
SP20192,C10,RLUS-2126B,RLUS-2126B,-5,m
SP20192,C11,RLUS-2113C,RLUS-2113C,-5,m
SP20192,C12,RLUS-2126C,RLUS-2126C,-5,m
SP20192,C13,RLUS-2113D,RLUS-2113D,-5,m
SP20192,C14,RLUS-2126D,RLUS-2126D,-5,m
SP20192,C15,RLUS-2113E,RLUS-2113E,-5,m
SP20192,C16,RLUS-2126E,RLUS-2126E,-5,m
SP20192,C17,RLUS-2113F,RLUS-2113F,-5,m
SP20192,C18,RLUS-2126F,RLUS-2126F,-5,m
SP20192,C19,RLUS-2114A,RLUS-2114A,-5,m
SP20192,C20,RLUS-2127A,RLUS-2127A,-5,m
SP20192,C21,RLUS-2114B,RLUS-2114B,-5,m
SP20192,C22,RLUS-2127B,RLUS-2127B,-5,m
SP20192,C23,DMSOC23,DMSOC23
SP20192,D02,DMSOD02,DMSOD02
SP20192,D03,RLUS-2138E,RLUS-2138E,-5,m
SP20192,D04,RLUS-2151E,RLUS-2151E,-5,m
SP20192,D05,RLUS-2140D,RLUS-2140D,-5,m
SP20192,D06,RLUS-2151F,RLUS-2151F,-5,m
SP20192,D07,RLUS-2139A,RLUS-2139A,-5,m
SP20192,D08,RLUS-2152A,RLUS-2152A,-5,m
SP20192,D09,RLUS-2139B,RLUS-2139B,-5,m
SP20192,D10,RLUS-2152B,RLUS-2152B,-5,m
SP20192,D11,RLUS-2139C,RLUS-2139C,-5,m
SP20192,D12,RLUS-2152C,RLUS-2152C,-5,m
SP20192,D13,RLUS-2139D,RLUS-2139D,-5,m
SP20192,D14,RLUS-2152D,RLUS-2152D,-5,m
SP20192,D15,RLUS-2139E,RLUS-2139E,-5,m
SP20192,D16,RLUS-2152E,RLUS-2152E,-5,m
SP20192,D17,RLUS-2139F,RLUS-2139F,-5,m
SP20192,D18,RLUS-2152F,RLUS-2152F,-5,m
SP20192,D19,RLUS-2140A,RLUS-2140A,-5,m
SP20192,D20,RLUS-2153A,RLUS-2153A,-5,m
SP20192,D21,RLUS-2140B,RLUS-2140B,-5,m
SP20192,D22,RLUS-2153B,RLUS-2153B,-5,m
SP20192,D24,DMSOD24,DMSOD24
SP20192,E01,DMSOE01,DMSOE01
SP20192,E03,RLUS-2114C,RLUS-2114C,-5,m
SP20192,E04,RLUS-2127C,RLUS-2127C,-5,m
SP20192,E05,RLUS-2114D,RLUS-2114D,-5,m
SP20192,E06,RLUS-2127D,RLUS-2127D,-5,m
SP20192,E07,RLUS-2114E,RLUS-2114E,-5,m
SP20192,E08,RLUS-2127E,RLUS-2127E,-5,m
SP20192,E09,RLUS-2114F,RLUS-2114F,-5,m
SP20192,E10,RLUS-2127F,RLUS-2127F,-5,m
SP20192,E11,RLUS-2115A,RLUS-2115A,-5,m
SP20192,E12,RLUS-2128A,RLUS-2128A,-5,m
SP20192,E13,RLUS-2115B,RLUS-2115B,-5,m
SP20192,E14,RLUS-2128B,RLUS-2128B,-5,m
SP20192,E15,RLUS-2115C,RLUS-2115C,-5,m
SP20192,E16,RLUS-2128C,RLUS-2128C,-5,m
SP20192,E17,RLUS-2115D,RLUS-2115D,-5,m
SP20192,E18,RLUS-2128D,RLUS-2128D,-5,m
SP20192,E19,RLUS-2115E,RLUS-2115E,-5,m
SP20192,E20,RLUS-2128E,RLUS-2128E,-5,m
SP20192,E21,RLUS-2115F,RLUS-2115F,-5,m
SP20192,E22,RLUS-2128F,RLUS-2128F,-5,m
SP20192,E23,DMSOE23,DMSOE23
SP20192,F02,DMSOF02,DMSOF02
SP20192,F03,RLUS-2140C,RLUS-2140C,-5,m
SP20192,F04,RLUS-2153C,RLUS-2153C,-5,m
SP20192,F05,RLUS-2138F,RLUS-2138F,-5,m
SP20192,F06,RLUS-2153D,RLUS-2153D,-5,m
SP20192,F07,RLUS-2140E,RLUS-2140E,-5,m
SP20192,F08,RLUS-2153E,RLUS-2153E,-5,m
SP20192,F09,RLUS-2140F,RLUS-2140F,-5,m
SP20192,F10,RLUS-2153F,RLUS-2153F,-5,m
SP20192,F11,RLUS-2141A,RLUS-2141A,-5,m
SP20192,F12,RLUS-2154A,RLUS-2154A,-5,m
SP20192,F13,RLUS-2141B,RLUS-2141B,-5,m
SP20192,F14,RLUS-2154B,RLUS-2154B,-5,m
SP20192,F15,RLUS-2141C,RLUS-2141C,-5,m
SP20192,F16,RLUS-2154C,RLUS-2154C,-5,m
SP20192,F17,RLUS-2141D,RLUS-2141D,-5,m
SP20192,F18,RLUS-2154D,RLUS-2154D,-5,m
SP20192,F19,RLUS-2141E,RLUS-2141E,-5,m
SP20192,F20,RLUS-2154E,RLUS-2154E,-5,m
SP20192,F21,RLUS-2141F,RLUS-2141F,-5,m
SP20192,F22,RLUS-2154F,RLUS-2154F,-5,m
SP20192,F24,DMSOF24,DMSOF24
SP20192,G01,DMSOG01,DMSOG01
SP20192,G03,RLUS-2116A,RLUS-2116A,-5,m
SP20192,G04,RLUS-2129A,RLUS-2129A,-5,m
SP20192,G05,RLUS-2116B,RLUS-2116B,-5,m
SP20192,G06,RLUS-2129B,RLUS-2129B,-5,m
SP20192,G07,RLUS-2116C,RLUS-2116C,-5,m
SP20192,G08,RLUS-2129C,RLUS-2129C,-5,m
SP20192,G09,RLUS-2116D,RLUS-2116D,-5,m
SP20192,G10,RLUS-2129D,RLUS-2129D,-5,m
SP20192,G11,RLUS-2116E,RLUS-2116E,-5,m
SP20192,G12,RLUS-2129E,RLUS-2129E,-5,m
