384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,well_x,well_y
SFU002,SP20259,A03,SYC7-096B,SYC7-096B,20,m,3,1
SFU002,SP20259,B03,SYC7-096B,SYC7-096B,10,m,3,2
SFU002,SP20259,C03,SYC7-096B,SYC7-096B,5,m,3,3
SFU002,SP20259,D03,SYC7-096B,SYC7-096B,2.5,m,3,4
SFU002,SP20259,E03,SYC7-096B,SYC7-096B,1.25,m,3,5
SFU002,SP20259,F03,SYC7-096B,SYC7-096B,0.625,m,3,6
SFU002,SP20259,G03,SYC7-096B,SYC7-096B,0.3125,m,3,7
SFU002,SP20259,H03,SYC7-096B,SYC7-096B,0.15625,m,3,8
SFU002,SP20259,I03,SYC7-096B,SYC7-096B,0.078125,m,3,9
SFU002,SP20259,J03,SYC7-096B,SYC7-096B,0.0390625,m,3,10
SFU002,SP20259,K03,SYC7-096B,SYC7-096B,0.01953125,m,3,11
SFU002,SP20259,L03,SYC7-096B,SYC7-096B,0.009765625,m,3,12
SFU002,SP20259,M03,SYC7-096B,SYC7-096B,0.004882813,m,3,13
SFU002,SP20259,N03,SYC7-096B,SYC7-096B,0.002441406,m,3,14
SFU002,SP20259,O03,SYC7-096B,SYC7-096B,0.001220703,m,3,15
SFU002,SP20259,P03,SYC7-096B,SYC7-096B,0.000610352,m,3,16
SFU002,SP20259,A04,SYC7-102,SYC7-102,20,m,4,1
SFU002,SP20259,B04,SYC7-102,SYC7-102,10,m,4,2
SFU002,SP20259,C04,SYC7-102,SYC7-102,5,m,4,3
SFU002,SP20259,D04,SYC7-102,SYC7-102,2.5,m,4,4
SFU002,SP20259,E04,SYC7-102,SYC7-102,1.25,m,4,5
SFU002,SP20259,F04,SYC7-102,SYC7-102,0.625,m,4,6
SFU002,SP20259,G04,SYC7-102,SYC7-102,0.3125,m,4,7
SFU002,SP20259,H04,SYC7-102,SYC7-102,0.15625,m,4,8
SFU002,SP20259,I04,SYC7-102,SYC7-102,0.078125,m,4,9
SFU002,SP20259,J04,SYC7-102,SYC7-102,0.0390625,m,4,10
SFU002,SP20259,K04,SYC7-102,SYC7-102,0.01953125,m,4,11
SFU002,SP20259,L04,SYC7-102,SYC7-102,0.009765625,m,4,12
SFU002,SP20259,M04,SYC7-102,SYC7-102,0.004882813,m,4,13
SFU002,SP20259,N04,SYC7-102,SYC7-102,0.002441406,m,4,14
SFU002,SP20259,O04,SYC7-102,SYC7-102,0.001220703,m,4,15
SFU002,SP20259,P04,SYC7-102,SYC7-102,0.000610352,m,4,16
SFU002,SP20259,A05,SYC7-097,SYC7-097,20,m,5,1
SFU002,SP20259,B05,SYC7-097,SYC7-097,10,m,5,2
SFU002,SP20259,C05,SYC7-097,SYC7-097,5,m,5,3
SFU002,SP20259,D05,SYC7-097,SYC7-097,2.5,m,5,4
SFU002,SP20259,E05,SYC7-097,SYC7-097,1.25,m,5,5
SFU002,SP20259,F05,SYC7-097,SYC7-097,0.625,m,5,6
SFU002,SP20259,G05,SYC7-097,SYC7-097,0.3125,m,5,7
SFU002,SP20259,H05,SYC7-097,SYC7-097,0.15625,m,5,8
SFU002,SP20259,I05,SYC7-097,SYC7-097,0.078125,m,5,9
SFU002,SP20259,J05,SYC7-097,SYC7-097,0.0390625,m,5,10
SFU002,SP20259,K05,SYC7-097,SYC7-097,0.01953125,m,5,11
SFU002,SP20259,L05,SYC7-097,SYC7-097,0.009765625,m,5,12
SFU002,SP20259,M05,SYC7-097,SYC7-097,0.004882813,m,5,13
SFU002,SP20259,N05,SYC7-097,SYC7-097,0.002441406,m,5,14
SFU002,SP20259,O05,SYC7-097,SYC7-097,0.001220703,m,5,15
SFU002,SP20259,P05,SYC7-097,SYC7-097,0.000610352,m,5,16
SFU002,SP20259,A06,SYC7-098,SYC7-098,20,m,6,1
SFU002,SP20259,B06,SYC7-098,SYC7-098,10,m,6,2
SFU002,SP20259,C06,SYC7-098,SYC7-098,5,m,6,3
SFU002,SP20259,D06,SYC7-098,SYC7-098,2.5,m,6,4
SFU002,SP20259,E06,SYC7-098,SYC7-098,1.25,m,6,5
SFU002,SP20259,F06,SYC7-098,SYC7-098,0.625,m,6,6
SFU002,SP20259,G06,SYC7-098,SYC7-098,0.3125,m,6,7
SFU002,SP20259,H06,SYC7-098,SYC7-098,0.15625,m,6,8
SFU002,SP20259,I06,SYC7-098,SYC7-098,0.078125,m,6,9
SFU002,SP20259,J06,SYC7-098,SYC7-098,0.0390625,m,6,10
SFU002,SP20259,K06,SYC7-098,SYC7-098,0.01953125,m,6,11
SFU002,SP20259,L06,SYC7-098,SYC7-098,0.009765625,m,6,12
SFU002,SP20259,M06,SYC7-098,SYC7-098,0.004882813,m,6,13
SFU002,SP20259,N06,SYC7-098,SYC7-098,0.002441406,m,6,14
SFU002,SP20259,O06,SYC7-098,SYC7-098,0.001220703,m,6,15
SFU002,SP20259,P06,SYC7-098,SYC7-098,0.000610352,m,6,16
SFU002,SP20259,A07,SYC7-112,SYC7-112,20,m,7,1
SFU002,SP20259,B07,SYC7-112,SYC7-112,10,m,7,2
SFU002,SP20259,C07,SYC7-112,SYC7-112,5,m,7,3
SFU002,SP20259,D07,SYC7-112,SYC7-112,2.5,m,7,4
SFU002,SP20259,E07,SYC7-112,SYC7-112,1.25,m,7,5
SFU002,SP20259,F07,SYC7-112,SYC7-112,0.625,m,7,6
