384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
RLPA_384_1010_2032 Dilution,SP20250,A04,RLPA-1014A,RLPA-1014A,-5,m
RLPA_384_1010_2032 Dilution,SP20250,A06,RLPA-1014B,RLPA-1014B,-5,m
RLPA_384_1010_2032 Dilution,SP20250,A08,RLPA-1014C,RLPA-1014C,-5,m
RLPA_384_1010_2032 Dilution,SP20250,A10,RLPA-1014D,RLPA-1014D,-5,m
RLPA_384_1010_2032 Dilution,SP20250,A12,RLPA-1014E,RLPA-1014E,-5,m
RLPA_384_1010_2032 Dilution,SP20250,A14,RLPA-1014F,RLPA-1014F,-5,m
RLPA_384_1010_2032 Dilution,SP20250,A16,RLPA-1011A,RLPA-1011A,-5,m
RLPA_384_1010_2032 Dilution,SP20250,A18,RLPA-1011B,RLPA-1011B,-5,m
RLPA_384_1010_2032 Dilution,SP20250,A20,RLPA-1011C,RLPA-1011C,-5,m
RLPA_384_1010_2032 Dilution,SP20250,A22,RLPA-1011D,RLPA-1011D,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B03,RLPA-2008A,RLPA-2008A,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B04,RLPA-2021A,RLPA-2021A,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B05,RLPA-2008B,RLPA-2008B,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B06,RLPA-2021B,RLPA-2021B,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B07,RLPA-2008C,RLPA-2008C,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B08,RLPA-2021C,RLPA-2021C,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B09,RLPA-2008D,RLPA-2008D,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B10,RLPA-2021D,RLPA-2021D,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B11,RLPA-2008E,RLPA-2008E,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B12,RLPA-2021E,RLPA-2021E,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B13,RLPA-2008F,RLPA-2008F,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B14,RLPA-2021F,RLPA-2021F,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B15,RLPA-2009A,RLPA-2009A,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B16,RLPA-2022A,RLPA-2022A,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B17,RLPA-2009B,RLPA-2009B,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B18,RLPA-2022B,RLPA-2022B,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B19,RLPA-2009C,RLPA-2009C,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B20,RLPA-2022C,RLPA-2022C,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B21,RLPA-2009D,RLPA-2009D,-5,m
RLPA_384_1010_2032 Dilution,SP20250,B22,RLPA-2022D,RLPA-2022D,-5,m
RLPA_384_1010_2032 Dilution,SP20250,C04,RLPA-1011E,RLPA-1011E,-5,m
RLPA_384_1010_2032 Dilution,SP20250,C06,RLPA-1011F,RLPA-1011F,-5,m
RLPA_384_1010_2032 Dilution,SP20250,C08,RLPA-1012A,RLPA-1012A,-5,m
RLPA_384_1010_2032 Dilution,SP20250,C10,RLPA-1012B,RLPA-1012B,-5,m
RLPA_384_1010_2032 Dilution,SP20250,C12,RLPA-1012C,RLPA-1012C,-5,m
RLPA_384_1010_2032 Dilution,SP20250,C14,RLPA-1012D,RLPA-1012D,-5,m
RLPA_384_1010_2032 Dilution,SP20250,C16,RLPA-1012E,RLPA-1012E,-5,m
RLPA_384_1010_2032 Dilution,SP20250,C18,RLPA-1012F,RLPA-1012F,-5,m
RLPA_384_1010_2032 Dilution,SP20250,C20,RLPA-1020A,RLPA-1020A,-5,m
RLPA_384_1010_2032 Dilution,SP20250,C22,RLPA-1020B,RLPA-1020B,-5,m
RLPA_384_1010_2032 Dilution,SP20250,D03,RLPA-2009E,RLPA-2009E,-5,m
RLPA_384_1010_2032 Dilution,SP20250,D04,RLPA-2022E,RLPA-2022E,-5,m
