Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP10068,A01,DMSOA01,DMSOA01
SP10068,A03,127501 OMA,127501 OMA,62.5,m
SP10068,A05,127501 OMA,127501 OMA,6.25,m
SP10068,A07,127501 OMA,127501 OMA,0.625,m
SP10068,A09,127501 CMA,127501 CMA,125,m
SP10068,A11,127501 CMA,127501 CMA,12.5,m
SP10068,A13,127501 CMA,127501 CMA,1.25,m
SP10068,A15,127501 ZA,127501 ZA,125,m
SP10068,A17,127501 ZA,127501 ZA,12.5,m
SP10068,A19,127501 ZA,127501 ZA,1.25,m
SP10068,A21, , 
SP10068,A23,DMSOA23,DMSOA23
SP10068,B02,DMSOB02,DMSOB02
SP10068,B04,EVA_INDO_03,EVA_INDO_03,-1,m
SP10068,B06,EVA_INDO_04,EVA_INDO_04,-1,m
SP10068,B08,EVA_INDO_05,EVA_INDO_05,-1,m
SP10068,B10,EVA_INDO_06,EVA_INDO_06,-1,m
SP10068,B12,EVA_INDO_07,EVA_INDO_07,-1,m
SP10068,B14,EVA_INDO_08,EVA_INDO_08,-1,m
SP10068,B16,EVA_INDO_09,EVA_INDO_09,-1,m
SP10068,B18,EVA_INDO_10,EVA_INDO_10,-1,m
SP10068,B20,EVA_INDO_11,EVA_INDO_11,-1,m
SP10068,B22,EVA_INDO_12,EVA_INDO_12,-1,m
SP10068,B24,DMSOB24,DMSOB24
SP10068,C01,DMSOC01,DMSOC01
SP10068,C03,127501 MA,127501 MA,125,m
SP10068,C05,127501 MA,127501 MA,12.5,m
SP10068,C07,127501 MA,127501 MA,1.25,m
SP10068,C09,127502 OMA,127502 OMA,125,m
SP10068,C11,127502 OMA,127502 OMA,12.5,m
SP10068,C13,127502 OMA,127502 OMA,1.25,m
SP10068,C15,127502 CMA,127502 CMA,125,m
SP10068,C17,127502 CMA,127502 CMA,12.5,m
SP10068,C19,127502 CMA,127502 CMA,1.25,m
SP10068,C21, , 
SP10068,C23,DMSOC23,DMSOC23
SP10068,D02,DMSOD02,DMSOD02
SP10068,D04,EVA_INDO_13,EVA_INDO_13,-1,m
SP10068,D06,EVA_INDO_14,EVA_INDO_14,-1,m
SP10068,D08,EVA_INDO_15,EVA_INDO_15,-1,m
SP10068,D10,EVA_INDO_16,EVA_INDO_16,-1,m
SP10068,D12,EVA_INDO_17,EVA_INDO_17,-1,m
SP10068,D14,EVA_INDO_18,EVA_INDO_18,-1,m
SP10068,D16,EVA_INDO_19,EVA_INDO_19,-1,m
SP10068,D18,EVA_INDO_20,EVA_INDO_20,-1,m
SP10068,D20,EVA_INDO_21,EVA_INDO_21,-1,m
SP10068,D22,EVA_INDO_22,EVA_INDO_22,-1,m
SP10068,D24,DMSOD24,DMSOD24
SP10068,E01,DMSOE01,DMSOE01
SP10068,E03,127502 ZA,127502 ZA,125,m
SP10068,E05,127502 ZA,127502 ZA,12.5,m
SP10068,E07,127502 ZA,127502 ZA,1.25,m
SP10068,E09,127502 MA,127502 MA,125,m
SP10068,E11,127502 MA,127502 MA,12.5,m
SP10068,E13,127502 MA,127502 MA,1.25,m
SP10068,E15,127503 OMA,127503 OMA,125,m
SP10068,E17,127503 OMA,127503 OMA,12.5,m
SP10068,E19,127503 OMA,127503 OMA,1.25,m
SP10068,E21, , 
SP10068,E23,DMSOE23,DMSOE23
SP10068,F02,DMSOF02,DMSOF02
SP10068,F04,EVA_INDO_23,EVA_INDO_23,-1,m
SP10068,F06,EVA_INDO_24,EVA_INDO_24,-1,m
SP10068,F08,EVA_INDO_25,EVA_INDO_25,-1,m
SP10068,F10,EVA_INDO_26,EVA_INDO_26,-1,m
SP10068,F12,EVA_INDO_27,EVA_INDO_27,-1,m
SP10068,F14,EVA_INDO_28,EVA_INDO_28,-1,m
SP10068,F16,EVA_INDO_29,EVA_INDO_29,-1,m
SP10068,F18,EVA_INDO_30,EVA_INDO_30,-1,m
SP10068,F20,EVA_INDO_31,EVA_INDO_31,-1,m
SP10068,F22,EVA_INDO_32,EVA_INDO_32,-1,m
SP10068,F24,DMSOF24,DMSOF24
SP10068,G01,DMSOG01,DMSOG01
SP10068,G03,127503 CMA,127503 CMA,125,m
SP10068,G05,127503 CMA,127503 CMA,12.5,m
SP10068,G07,127503 CMA,127503 CMA,1.25,m
SP10068,G09,127503 ZA,127503 ZA,125,m
SP10068,G11,127503 ZA,127503 ZA,12.5,m
SP10068,G13,127503 ZA,127503 ZA,1.25,m
SP10068,G15,127503 MA,127503 MA,112.5,m
SP10068,G17,127503 MA,127503 MA,11.25,m
SP10068,G19,127503 MA,127503 MA,1.125,m
SP10068,G21, , 
SP10068,G23,DMSOG23,DMSOG23
SP10068,H02,DMSOH02,DMSOH02
SP10068,H04,EVA_INDO_33,EVA_INDO_33,-1,m
SP10068,H06,EVA_INDO_34,EVA_INDO_34,-1,m
SP10068,H08,EVA_INDO_35,EVA_INDO_35,-1,m
SP10068,H10,EVA_INDO_36,EVA_INDO_36,-1,m
SP10068,H12,EVA_INDO_37,EVA_INDO_37,-1,m
SP10068,H14,EVA_INDO_38,EVA_INDO_38,-1,m
SP10068,H16,EVA_INDO_39,EVA_INDO_39,-1,m
SP10068,H18,EVA_INDO_40,EVA_INDO_40,-1,m
SP10068,H20,EVA_INDO_41,EVA_INDO_41,-1,m
SP10068,H22,EVA_INDO_42,EVA_INDO_42,-1,m
SP10068,H24,DMSOH24,DMSOH24
SP10068,I01,DMSOI01,DMSOI01
SP10068,I03,127504 OMA,127504 OMA,125,m
SP10068,I05,127504 OMA,127504 OMA,12.5,m
SP10068,I07,127504 OMA,127504 OMA,1.25,m
SP10068,I09,127504 CMA,127504 CMA,125,m
SP10068,I11,127504 CMA,127504 CMA,12.5,m
SP10068,I13,127504 CMA,127504 CMA,1.25,m
SP10068,I15,127504 ZA,127504 ZA,125,m
SP10068,I17,127504 ZA,127504 ZA,12.5,m
SP10068,I19,127504 ZA,127504 ZA,1.25,m
SP10068,I21, , 
SP10068,I23,DMSOI23,DMSOI23
SP10068,J02,DMSOJ02,DMSOJ02
SP10068,J04,EVA_INDO_43,EVA_INDO_43,-1,m
SP10068,J06,EVA_INDO_44,EVA_INDO_44,-1,m
SP10068,J08,EVA_INDO_45,EVA_INDO_45,-1,m
SP10068,J10,EVA_INDO_46,EVA_INDO_46,-1,m
SP10068,J12,EVA_INDO_47,EVA_INDO_47,-1,m
SP10068,J14,EVA_INDO_48,EVA_INDO_48,-1,m
SP10068,J16,EVA_INDO_49,EVA_INDO_49,-1,m
SP10068,J18,EVA_INDO_50,EVA_INDO_50,-1,m
SP10068,J20,EVA_INDO_51,EVA_INDO_51,-1,m
SP10068,J22,EVA_INDO_52,EVA_INDO_52,-1,m
SP10068,J24,DMSOJ24,DMSOJ24
SP10068,K01,DMSOK01,DMSOK01
SP10068,K03,127504 MA,127504 MA,125,m
SP10068,K05,127504 MA,127504 MA,12.5,m
SP10068,K07,127504 MA,127504 MA,1.25,m
SP10068,K09,127508 OMA,127508 OMA,125,m
SP10068,K11,127508 OMA,127508 OMA,12.5,m
SP10068,K13,127508 OMA,127508 OMA,1.25,m
SP10068,K15,127508 CMA,127508 CMA,125,m
SP10068,K17,127508 CMA,127508 CMA,12.5,m
SP10068,K19,127508 CMA,127508 CMA,1.25,m
SP10068,K21, , 
SP10068,K23,DMSOK23,DMSOK23
SP10068,L02,DMSOL02,DMSOL02
SP10068,L04,EVA_INDO_53,EVA_INDO_53,-1,m
SP10068,L06,EVA_INDO_54,EVA_INDO_54,-1,m
SP10068,L08,EVA_INDO_55,EVA_INDO_55,-1,m
SP10068,L10,EVA_INDO_56,EVA_INDO_56,-1,m
SP10068,L12,EVA_INDO_57,EVA_INDO_57,-1,m
SP10068,L14,EVA_INDO_58,EVA_INDO_58,-1,m
SP10068,L16,EVA_INDO_59,EVA_INDO_59,-1,m
SP10068,L18,EVA_INDO_60,EVA_INDO_60,-1,m
SP10068,L20,EVA_INDO_61,EVA_INDO_61,-1,m
SP10068,L22,EVA_INDO_62,EVA_INDO_62,-1,m
SP10068,L24,DMSOL24,DMSOL24
SP10068,M01,DMSOM01,DMSOM01
SP10068,M03,127508 ZA,127508 ZA,125,m
SP10068,M05,127508 ZA,127508 ZA,12.5,m
SP10068,M07,127508 ZA,127508 ZA,1.25,m
SP10068,M09,127508 MA,127508 MA,125,m
SP10068,M11,127508 MA,127508 MA,12.5,m
SP10068,M13,127508 MA,127508 MA,1.25,m
SP10068,M15,127509 OMA,127509 OMA,125,m
SP10068,M17,127509 OMA,127509 OMA,12.5,m
SP10068,M19,127509 OMA,127509 OMA,1.25,m
SP10068,M21, , 
SP10068,M23,DMSOM23,DMSOM23
