Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP40040,A01,DMSOA01,DMSOA01
SP40040,A03,AB003-Crude,AB003-Crude,100,m
SP40040,A04,AB003-755,AB003-755,50,m
SP40040,A05,AB003-783,AB003-783,100,m
SP40040,A06,AB027-Crude,AB027-Crude,100,m
SP40040,A07,AB027-783,AB027-783,12.5,m
SP40040,A08,AB003-NMe3,AB003-NMe3,100,m
SP40040,A09,TW 3C,TW 3C,133,m
SP40040,A10,TW 3Me,TW 3Me,133,m
SP40040,A11,TW 6C,TW 6C,133,m
SP40040,A12,TW 6Me,TW 6Me,133,m
SP40040,A13,TW 27C,TW 27C,133,m
SP40040,A14,TW 27Me,TW 27Me,133,m
SP40040,A15,TW 30C,TW 30C,133,m
SP40040,A16,TW 30Me,TW 30Me,133,m
SP40040,A17,AB003-1a,AB003-1a,100,m
SP40040,A18,AB003-2a H,AB003-2a H,100,m
SP40040,A19,AB003-3a,AB003-3a,100,m
SP40040,A20,AB003-3a p,AB003-3a p,35,m
SP40040,A21,AB003-4a H,AB003-4a H,100,m
SP40040,A22,AB003-4a p,AB003-4a p,100,m
SP40040,A23,DMSOA23,DMSOA23
SP40040,B02,DMSOB02,DMSOB02
SP40040,B03,AB003-Crude,AB003-Crude,50,m
SP40040,B04,AB003-755,AB003-755,25,m
SP40040,B05,AB003-783,AB003-783,50,m
SP40040,B06,AB027-Crude,AB027-Crude,50,m
SP40040,B07,AB027-783,AB027-783,6.25,m
SP40040,B08,AB003-NMe3,AB003-NMe3,50,m
SP40040,B09,TW 3C,TW 3C,66.5,m
SP40040,B10,TW 3Me,TW 3Me,66.5,m
SP40040,B11,TW 6C,TW 6C,66.5,m
SP40040,B12,TW 6Me,TW 6Me,66.5,m
SP40040,B13,TW 27C,TW 27C,66.5,m
SP40040,B14,TW 27Me,TW 27Me,66.5,m
SP40040,B15,TW 30C,TW 30C,66.5,m
SP40040,B16,TW 30Me,TW 30Me,66.5,m
SP40040,B17,AB003-1a,AB003-1a,50,m
SP40040,B18,AB003-2a H,AB003-2a H,50,m
SP40040,B19,AB003-3a,AB003-3a,50,m
SP40040,B20,AB003-3a p,AB003-3a p,17.5,m
SP40040,B21,AB003-4a H,AB003-4a H,50,m
SP40040,B22,AB003-4a p,AB003-4a p,50,m
SP40040,B24,DMSOB24,DMSOB24
SP40040,C01,DMSOC01,DMSOC01
SP40040,C03,AB003-Crude,AB003-Crude,25,m
SP40040,C04,AB003-755,AB003-755,12.5,m
SP40040,C05,AB003-783,AB003-783,25,m
SP40040,C06,AB027-Crude,AB027-Crude,25,m
SP40040,C07,AB027-783,AB027-783,3.125,m
SP40040,C08,AB003-NMe3,AB003-NMe3,25,m
SP40040,C09,TW 3C,TW 3C,33.25,m
SP40040,C10,TW 3Me,TW 3Me,33.25,m
SP40040,C11,TW 6C,TW 6C,33.25,m
SP40040,C12,TW 6Me,TW 6Me,33.25,m
SP40040,C13,TW 27C,TW 27C,33.25,m
SP40040,C14,TW 27Me,TW 27Me,33.25,m
SP40040,C15,TW 30C,TW 30C,33.25,m
SP40040,C16,TW 30Me,TW 30Me,33.25,m
SP40040,C17,AB003-1a,AB003-1a,25,m
SP40040,C18,AB003-2a H,AB003-2a H,25,m
SP40040,C19,AB003-3a,AB003-3a,25,m
SP40040,C20,AB003-3a p,AB003-3a p,8.75,m
SP40040,C21,AB003-4a H,AB003-4a H,25,m
SP40040,C22,AB003-4a p,AB003-4a p,25,m
SP40040,C23,DMSOC23,DMSOC23
SP40040,D02,DMSOD02,DMSOD02
SP40040,D03,AB003-Crude,AB003-Crude,12.5,m
SP40040,D04,AB003-755,AB003-755,6.25,m
SP40040,D05,AB003-783,AB003-783,12.5,m
SP40040,D06,AB027-Crude,AB027-Crude,12.5,m
SP40040,D07,AB027-783,AB027-783,1.5625,m
SP40040,D08,AB003-NMe3,AB003-NMe3,12.5,m
SP40040,D09,TW 3C,TW 3C,16.625,m
SP40040,D10,TW 3Me,TW 3Me,16.625,m
SP40040,D11,TW 6C,TW 6C,16.625,m
SP40040,D12,TW 6Me,TW 6Me,16.625,m
SP40040,D13,TW 27C,TW 27C,16.625,m
SP40040,D14,TW 27Me,TW 27Me,16.625,m
SP40040,D15,TW 30C,TW 30C,16.625,m
SP40040,D16,TW 30Me,TW 30Me,16.625,m
SP40040,D17,AB003-1a,AB003-1a,12.5,m
SP40040,D18,AB003-2a H,AB003-2a H,12.5,m
SP40040,D19,AB003-3a,AB003-3a,12.5,m
SP40040,D20,AB003-3a p,AB003-3a p,4.375,m
SP40040,D21,AB003-4a H,AB003-4a H,12.5,m
SP40040,D22,AB003-4a p,AB003-4a p,12.5,m
SP40040,D24,DMSOD24,DMSOD24
SP40040,E01,DMSOE01,DMSOE01
SP40040,E03,AB003-Crude,AB003-Crude,6.25,m
SP40040,E04,AB003-755,AB003-755,3.125,m
SP40040,E05,AB003-783,AB003-783,6.25,m
SP40040,E06,AB027-Crude,AB027-Crude,6.25,m
SP40040,E07,AB027-783,AB027-783,0.78125,m
SP40040,E08,AB003-NMe3,AB003-NMe3,6.25,m
SP40040,E09,TW 3C,TW 3C,8.3125,m
SP40040,E10,TW 3Me,TW 3Me,8.3125,m
SP40040,E11,TW 6C,TW 6C,8.3125,m
SP40040,E12,TW 6Me,TW 6Me,8.3125,m
SP40040,E13,TW 27C,TW 27C,8.3125,m
SP40040,E14,TW 27Me,TW 27Me,8.3125,m
SP40040,E15,TW 30C,TW 30C,8.3125,m
SP40040,E16,TW 30Me,TW 30Me,8.3125,m
SP40040,E17,AB003-1a,AB003-1a,6.25,m
SP40040,E18,AB003-2a H,AB003-2a H,6.25,m
SP40040,E19,AB003-3a,AB003-3a,6.25,m
SP40040,E20,AB003-3a p,AB003-3a p,2.1875,m
SP40040,E21,AB003-4a H,AB003-4a H,6.25,m
SP40040,E22,AB003-4a p,AB003-4a p,6.25,m
SP40040,E23,DMSOE23,DMSOE23
SP40040,F02,DMSOF02,DMSOF02
SP40040,F03,AB003-Crude,AB003-Crude,3.125,m
SP40040,F04,AB003-755,AB003-755,1.5625,m
SP40040,F05,AB003-783,AB003-783,3.125,m
SP40040,F06,AB027-Crude,AB027-Crude,3.125,m
SP40040,F07,AB027-783,AB027-783,0.390625,m
SP40040,F08,AB003-NMe3,AB003-NMe3,3.125,m
SP40040,F09,TW 3C,TW 3C,4.15625,m
SP40040,F10,TW 3Me,TW 3Me,4.15625,m
SP40040,F11,TW 6C,TW 6C,4.15625,m
SP40040,F12,TW 6Me,TW 6Me,4.15625,m
SP40040,F13,TW 27C,TW 27C,4.15625,m
SP40040,F14,TW 27Me,TW 27Me,4.15625,m
SP40040,F15,TW 30C,TW 30C,4.15625,m
SP40040,F16,TW 30Me,TW 30Me,4.15625,m
SP40040,F17,AB003-1a,AB003-1a,3.125,m
SP40040,F18,AB003-2a H,AB003-2a H,3.125,m
SP40040,F19,AB003-3a,AB003-3a,3.125,m
SP40040,F20,AB003-3a p,AB003-3a p,1.09375,m
SP40040,F21,AB003-4a H,AB003-4a H,3.125,m
SP40040,F22,AB003-4a p,AB003-4a p,3.125,m
SP40040,F24,DMSOF24,DMSOF24
SP40040,G01,DMSOG01,DMSOG01
SP40040,G03,AB003-Crude,AB003-Crude,1.5625,m
SP40040,G04,AB003-755,AB003-755,0.78125,m
SP40040,G05,AB003-783,AB003-783,1.5625,m
SP40040,G06,AB027-Crude,AB027-Crude,1.5625,m
SP40040,G07,AB027-783,AB027-783,0.1953125,m
SP40040,G08,AB003-NMe3,AB003-NMe3,1.5625,m
SP40040,G09,TW 3C,TW 3C,2.078125,m
SP40040,G10,TW 3Me,TW 3Me,2.078125,m
SP40040,G11,TW 6C,TW 6C,2.078125,m
SP40040,G12,TW 6Me,TW 6Me,2.078125,m
SP40040,G13,TW 27C,TW 27C,2.078125,m
SP40040,G14,TW 27Me,TW 27Me,2.078125,m
SP40040,G15,TW 30C,TW 30C,2.078125,m
SP40040,G16,TW 30Me,TW 30Me,2.078125,m
SP40040,G17,AB003-1a,AB003-1a,1.5625,m
SP40040,G18,AB003-2a H,AB003-2a H,1.5625,m
SP40040,G19,AB003-3a,AB003-3a,1.5625,m
SP40040,G20,AB003-3a p,AB003-3a p,0.546875,m
SP40040,G21,AB003-4a H,AB003-4a H,1.5625,m
SP40040,G22,AB003-4a p,AB003-4a p,1.5625,m
SP40040,G23,DMSOG23,DMSOG23
SP40040,H02,DMSOH02,DMSOH02
SP40040,H03,AB003-Crude,AB003-Crude,0.78125,m
SP40040,H04,AB003-755,AB003-755,0.390625,m
SP40040,H05,AB003-783,AB003-783,0.78125,m
SP40040,H06,AB027-Crude,AB027-Crude,0.78125,m
SP40040,H07,AB027-783,AB027-783,0.09765625,m
SP40040,H08,AB003-NMe3,AB003-NMe3,0.78125,m
SP40040,H09,TW 3C,TW 3C,1.0390625,m
SP40040,H10,TW 3Me,TW 3Me,1.0390625,m
SP40040,H11,TW 6C,TW 6C,1.0390625,m
SP40040,H12,TW 6Me,TW 6Me,1.0390625,m
SP40040,H13,TW 27C,TW 27C,1.0390625,m
SP40040,H14,TW 27Me,TW 27Me,1.0390625,m
SP40040,H15,TW 30C,TW 30C,1.0390625,m
SP40040,H16,TW 30Me,TW 30Me,1.0390625,m
