Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP20042,A01,DMSOA01,DMSOA01
SP20042,A03,RLUS-1435A,RLUS-1435A,-5,m
SP20042,A04,RLUS-1448A,RLUS-1448A,-5,m
SP20042,A05,RLUS-1435B,RLUS-1435B,-5,m
SP20042,A06,RLUS-1448B,RLUS-1448B,-5,m
SP20042,A07,RLUS-1435C,RLUS-1435C,-5,m
SP20042,A08,RLUS-1448C,RLUS-1448C,-5,m
SP20042,A09,RLUS-1435D,RLUS-1435D,-5,m
SP20042,A10,RLUS-1448D,RLUS-1448D,-5,m
SP20042,A11,RLUS-1435E,RLUS-1435E,-5,m
SP20042,A12,RLUS-1448E,RLUS-1448E,-5,m
SP20042,A13,RLUS-1435F,RLUS-1435F,-5,m
SP20042,A14,RLUS-1448F,RLUS-1448F,-5,m
SP20042,A15,RLUS-1436A,RLUS-1436A,-5,m
SP20042,A16,RLUS-1449A,RLUS-1449A,-5,m
SP20042,A17,RLUS-1436B,RLUS-1436B,-5,m
SP20042,A18,RLUS-1449B,RLUS-1449B,-5,m
SP20042,A19,RLUS-1436C,RLUS-1436C,-5,m
SP20042,A20,RLUS-1449C,RLUS-1449C,-5,m
SP20042,A21,RLUS-1436D,RLUS-1436D,-5,m
SP20042,A22,RLUS-1449D,RLUS-1449D,-5,m
SP20042,A23,DMSOA23,DMSOA23
SP20042,B02,DMSOB02,DMSOB02
SP20042,B03,RLUS-1461A,RLUS-1461A,-5,m
SP20042,B04,RLUS-1474A,RLUS-1474A,-5,m
SP20042,B05,RLUS-1461B,RLUS-1461B,-5,m
SP20042,B06,RLUS-1474B,RLUS-1474B,-5,m
SP20042,B07,RLUS-1461C,RLUS-1461C,-5,m
SP20042,B08,RLUS-1474C,RLUS-1474C,-5,m
SP20042,B09,RLUS-1461D,RLUS-1461D,-5,m
SP20042,B10,RLUS-1474D,RLUS-1474D,-5,m
SP20042,B11,RLUS-1461E,RLUS-1461E,-5,m
SP20042,B12,RLUS-1474E,RLUS-1474E,-5,m
SP20042,B13,RLUS-1461F,RLUS-1461F,-5,m
SP20042,B14,RLUS-1474F,RLUS-1474F,-5,m
SP20042,B15,RLUS-1462A,RLUS-1462A,-5,m
SP20042,B16,RLUS-1475A,RLUS-1475A,-5,m
SP20042,B17,RLUS-1462B,RLUS-1462B,-5,m
SP20042,B18,RLUS-1475B,RLUS-1475B,-5,m
SP20042,B19,RLUS-1462C,RLUS-1462C,-5,m
SP20042,B20,RLUS-1475C,RLUS-1475C,-5,m
SP20042,B21,RLUS-1462D,RLUS-1462D,-5,m
SP20042,B22,RLUS-1475D,RLUS-1475D,-5,m
SP20042,B24,DMSOB24,DMSOB24
SP20042,C01,DMSOC01,DMSOC01
SP20042,C03,RLUS-1436E,RLUS-1436E,-5,m
SP20042,C04,RLUS-1449E,RLUS-1449E,-5,m
SP20042,C05,RLUS-1436F,RLUS-1436F,-5,m
SP20042,C06,RLUS-1449F,RLUS-1449F,-5,m
SP20042,C07,RLUS-1437A,RLUS-1437A,-5,m
SP20042,C08,RLUS-1450A,RLUS-1450A,-5,m
SP20042,C09,RLUS-1437B,RLUS-1437B,-5,m
SP20042,C10,RLUS-1450B,RLUS-1450B,-5,m
SP20042,C11,RLUS-1437C,RLUS-1437C,-5,m
SP20042,C12,RLUS-1450C,RLUS-1450C,-5,m
SP20042,C13,RLUS-1437D,RLUS-1437D,-5,m
SP20042,C14,RLUS-1450D,RLUS-1450D,-5,m
SP20042,C15,RLUS-1437E,RLUS-1437E,-5,m
SP20042,C16,RLUS-1450E,RLUS-1450E,-5,m
SP20042,C17,RLUS-1437F,RLUS-1437F,-5,m
SP20042,C18,RLUS-1450F,RLUS-1450F,-5,m
SP20042,C19,RLUS-1438A,RLUS-1438A,-5,m
SP20042,C20,RLUS-1451A,RLUS-1451A,-5,m
SP20042,C21,RLUS-1438B,RLUS-1438B,-5,m
SP20042,C22,RLUS-1451B,RLUS-1451B,-5,m
SP20042,C23,DMSOC23,DMSOC23
SP20042,D02,DMSOD02,DMSOD02
SP20042,D03,RLUS-1462E,RLUS-1462E,-5,m
SP20042,D04,RLUS-1475E,RLUS-1475E,-5,m
SP20042,D05,RLUS-1462F,RLUS-1462F,-5,m
SP20042,D06,RLUS-1475F,RLUS-1475F,-5,m
SP20042,D07,RLUS-1463A,RLUS-1463A,-5,m
SP20042,D08,RLUS-1476A,RLUS-1476A,-5,m
SP20042,D09,RLUS-1463B,RLUS-1463B,-5,m
SP20042,D10,RLUS-1476B,RLUS-1476B,-5,m
SP20042,D11,RLUS-1463C,RLUS-1463C,-5,m
SP20042,D12,RLUS-1476C,RLUS-1476C,-5,m
