384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
RCJDilutions001 and JOCholchicine1665,SP20249,A03,BJ40A,BJ40A,40,m,3,1
RCJDilutions001 and JOCholchicine1665,SP20249,A04,BJ40B,BJ40B,40,m,4,1
RCJDilutions001 and JOCholchicine1665,SP20249,A05,BJ40C,BJ40C,40,m,5,1
RCJDilutions001 and JOCholchicine1665,SP20249,A06,BJ40D,BJ40D,40,m,6,1
RCJDilutions001 and JOCholchicine1665,SP20249,A07,BJ40E,BJ40E,40,m,7,1
RCJDilutions001 and JOCholchicine1665,SP20249,A08,BJ40F,BJ40F,40,m,8,1
RCJDilutions001 and JOCholchicine1665,SP20249,A09,BJ40G,BJ40G,40,m,9,1
RCJDilutions001 and JOCholchicine1665,SP20249,A10,BJ40H,BJ40H,40,m,10,1
RCJDilutions001 and JOCholchicine1665,SP20249,A11,BJ40I,BJ40I,40,m,11,1
RCJDilutions001 and JOCholchicine1665,SP20249,A12,BJ40J,BJ40J,40,m,12,1
RCJDilutions001 and JOCholchicine1665,SP20249,A13,BJ40K,BJ40K,40,m,13,1
RCJDilutions001 and JOCholchicine1665,SP20249,A14,BJ40L,BJ40L,40,m,14,1
RCJDilutions001 and JOCholchicine1665,SP20249,A15,BJ39D,BJ39D,40,m,15,1
RCJDilutions001 and JOCholchicine1665,SP20249,A16,BJ39L,BJ39L,40,m,16,1
RCJDilutions001 and JOCholchicine1665,SP20249,A17,BJ38B,BJ38B,40,m,17,1
RCJDilutions001 and JOCholchicine1665,SP20249,A18,Colchicine,Colchicine,100,m,18,1
RCJDilutions001 and JOCholchicine1665,SP20249,A19,XR334,XR334,50,m,19,1
RCJDilutions001 and JOCholchicine1665,SP20249,A20,Pyrone_267,Pyrone_267,18,m,20,1
RCJDilutions001 and JOCholchicine1665,SP20249,A21,RLUS_1665_F01,RLUS_1665_F01,79,m,21,1
RCJDilutions001 and JOCholchicine1665,SP20249,A22,RLUS_1665_F02,RLUS_1665_F02,67,m,22,1
RCJDilutions001 and JOCholchicine1665,SP20249,B03,BJ40A,BJ40A,20,m,3,2
RCJDilutions001 and JOCholchicine1665,SP20249,B04,BJ40B,BJ40B,20,m,4,2
RCJDilutions001 and JOCholchicine1665,SP20249,B05,BJ40C,BJ40C,20,m,5,2
RCJDilutions001 and JOCholchicine1665,SP20249,B06,BJ40D,BJ40D,20,m,6,2
RCJDilutions001 and JOCholchicine1665,SP20249,B07,BJ40E,BJ40E,20,m,7,2
RCJDilutions001 and JOCholchicine1665,SP20249,B08,BJ40F,BJ40F,20,m,8,2
RCJDilutions001 and JOCholchicine1665,SP20249,B09,BJ40G,BJ40G,20,m,9,2
RCJDilutions001 and JOCholchicine1665,SP20249,B10,BJ40H,BJ40H,20,m,10,2
RCJDilutions001 and JOCholchicine1665,SP20249,B11,BJ40I,BJ40I,20,m,11,2
RCJDilutions001 and JOCholchicine1665,SP20249,B12,BJ40J,BJ40J,20,m,12,2
RCJDilutions001 and JOCholchicine1665,SP20249,B13,BJ40K,BJ40K,20,m,13,2
RCJDilutions001 and JOCholchicine1665,SP20249,B14,BJ40L,BJ40L,20,m,14,2
RCJDilutions001 and JOCholchicine1665,SP20249,B15,BJ39D,BJ39D,20,m,15,2
RCJDilutions001 and JOCholchicine1665,SP20249,B16,BJ39L,BJ39L,20,m,16,2
RCJDilutions001 and JOCholchicine1665,SP20249,B17,BJ38B,BJ38B,20,m,17,2
RCJDilutions001 and JOCholchicine1665,SP20249,B18,Colchicine,Colchicine,10,m,18,2
RCJDilutions001 and JOCholchicine1665,SP20249,B19,XR334,XR334,5,m,19,2
RCJDilutions001 and JOCholchicine1665,SP20249,B20,Pyrone_267,Pyrone_267,2.5,m,20,2
RCJDilutions001 and JOCholchicine1665,SP20249,B21,RLUS_1665_F01,RLUS_1665_F01,1.25,m,21,2
RCJDilutions001 and JOCholchicine1665,SP20249,B22,RLUS_1665_F02,RLUS_1665_F02,0.625,m,22,2
RCJDilutions001 and JOCholchicine1665,SP20249,C03,BJ40A,BJ40A,10,m,3,3
RCJDilutions001 and JOCholchicine1665,SP20249,C04,BJ40B,BJ40B,10,m,4,3
RCJDilutions001 and JOCholchicine1665,SP20249,C05,BJ40C,BJ40C,10,m,5,3
RCJDilutions001 and JOCholchicine1665,SP20249,C06,BJ40D,BJ40D,10,m,6,3
RCJDilutions001 and JOCholchicine1665,SP20249,C07,BJ40E,BJ40E,10,m,7,3
RCJDilutions001 and JOCholchicine1665,SP20249,C08,BJ40F,BJ40F,10,m,8,3
RCJDilutions001 and JOCholchicine1665,SP20249,C09,BJ40G,BJ40G,10,m,9,3
RCJDilutions001 and JOCholchicine1665,SP20249,C10,BJ40H,BJ40H,10,m,10,3
RCJDilutions001 and JOCholchicine1665,SP20249,C11,BJ40I,BJ40I,10,m,11,3
RCJDilutions001 and JOCholchicine1665,SP20249,C12,BJ40J,BJ40J,10,m,12,3
RCJDilutions001 and JOCholchicine1665,SP20249,C13,BJ40K,BJ40K,10,m,13,3
RCJDilutions001 and JOCholchicine1665,SP20249,C14,BJ40L,BJ40L,10,m,14,3
RCJDilutions001 and JOCholchicine1665,SP20249,C15,BJ39D,BJ39D,10,m,15,3
RCJDilutions001 and JOCholchicine1665,SP20249,C16,BJ39L,BJ39L,10,m,16,3
RCJDilutions001 and JOCholchicine1665,SP20249,C17,BJ38B,BJ38B,10,m,17,3
RCJDilutions001 and JOCholchicine1665,SP20249,C18,Colchicine,Colchicine,5,m,18,3
RCJDilutions001 and JOCholchicine1665,SP20249,C19,XR334,XR334,2.5,m,19,3
RCJDilutions001 and JOCholchicine1665,SP20249,C20,Pyrone_267,Pyrone_267,1.25,m,20,3
RCJDilutions001 and JOCholchicine1665,SP20249,C21,RLUS_1665_F01,RLUS_1665_F01,0.625,m,21,3
RCJDilutions001 and JOCholchicine1665,SP20249,C22,RLUS_1665_F02,RLUS_1665_F02,0.3125,m,22,3
