Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
SP20246,A03,1948-B,1948-B,40,m,3,1
SP20246,A04,1948-C,1948-C,40,m,4,1
SP20246,A05,1948-D,1948-D,40,m,5,1
SP20246,A06,1948-E,1948-E,40,m,6,1
SP20246,A07,1948-F,1948-F,40,m,7,1
SP20246,A08,1948-G,1948-G,40,m,8,1
SP20246,A09,1949-A,1949-A,40,m,9,1
SP20246,A10,1949-B,1949-B,40,m,10,1
SP20246,A11,1949-C,1949-C,40,m,11,1
SP20246,A12,1949-D,1949-D,40,m,12,1
SP20246,A13,1949-E,1949-E,40,m,13,1
SP20246,A14,1949-F,1949-F,40,m,14,1
SP20246,A15,1949-G,1949-G,1,m,15,1
SP20246,A16,1949-I,1949-I,40,m,16,1
SP20246,A17,1867F12.3-4,1867F12.3-4,40,m,17,1
SP20246,A18,1867F13.3.9,1867F13.3.9,17.5,m,18,1
SP20246,A19,Aspergillicin D,Aspergillicin D,15,m,19,1
SP20246,A20,1867F13.6,1867F13.6,125,m,20,1
SP20246,A21,SP40169_P03,SP40169_P03,-1,m,21,1
SP20246,A22,XR334_HPLC,XR334_HPLC,30,m,22,1
SP20246,B03,1948-B,1948-B,20,m,3,2
SP20246,B04,1948-C,1948-C,20,m,4,2
SP20246,B05,1948-D,1948-D,20,m,5,2
SP20246,B06,1948-E,1948-E,20,m,6,2
SP20246,B07,1948-F,1948-F,20,m,7,2
SP20246,B08,1948-G,1948-G,20,m,8,2
SP20246,B09,1949-A,1949-A,20,m,9,2
SP20246,B10,1949-B,1949-B,20,m,10,2
SP20246,B11,1949-C,1949-C,20,m,11,2
SP20246,B12,1949-D,1949-D,20,m,12,2
SP20246,B13,1949-E,1949-E,20,m,13,2
SP20246,B14,1949-F,1949-F,20,m,14,2
SP20246,B15,1949-G,1949-G,0.5,m,15,2
SP20246,B16,1949-I,1949-I,20,m,16,2
SP20246,B17,1867F12.3-4,1867F12.3-4,20,m,17,2
SP20246,B18,1867F13.3.9,1867F13.3.9,8.75,m,18,2
SP20246,B19,Aspergillicin D,Aspergillicin D,7.5,m,19,2
SP20246,B20,1867F13.6,1867F13.6,62.5,m,20,2
SP20246,B22,XR334_HPLC,XR334_HPLC,15,m,22,2
SP20246,C03,1948-B,1948-B,10,m,3,3
SP20246,C04,1948-C,1948-C,10,m,4,3
SP20246,C05,1948-D,1948-D,10,m,5,3
SP20246,C06,1948-E,1948-E,10,m,6,3
SP20246,C07,1948-F,1948-F,10,m,7,3
SP20246,C08,1948-G,1948-G,10,m,8,3
SP20246,C09,1949-A,1949-A,10,m,9,3
SP20246,C10,1949-B,1949-B,10,m,10,3
SP20246,C11,1949-C,1949-C,10,m,11,3
SP20246,C12,1949-D,1949-D,10,m,12,3
SP20246,C13,1949-E,1949-E,10,m,13,3
SP20246,C14,1949-F,1949-F,10,m,14,3
SP20246,C15,1949-G,1949-G,0.25,m,15,3
SP20246,C16,1949-I,1949-I,10,m,16,3
SP20246,C17,1867F12.3-4,1867F12.3-4,10,m,17,3
SP20246,C18,1867F13.3.9,1867F13.3.9,4.375,m,18,3
SP20246,C19,Aspergillicin D,Aspergillicin D,3.75,m,19,3
SP20246,C20,1867F13.6,1867F13.6,31.25,m,20,3
SP20246,C21,1665_DKPisomers,1665_DKPisomers,-1,m,21,3
SP20246,C22,XR334_HPLC,XR334_HPLC,7.5,m,22,3
SP20246,D03,1948-B,1948-B,5,m,3,4
SP20246,D04,1948-C,1948-C,5,m,4,4
SP20246,D05,1948-D,1948-D,5,m,5,4
SP20246,D06,1948-E,1948-E,5,m,6,4
SP20246,D07,1948-F,1948-F,5,m,7,4
SP20246,D08,1948-G,1948-G,5,m,8,4
SP20246,D09,1949-A,1949-A,5,m,9,4
SP20246,D10,1949-B,1949-B,5,m,10,4
SP20246,D11,1949-C,1949-C,5,m,11,4
SP20246,D12,1949-D,1949-D,5,m,12,4
SP20246,D13,1949-E,1949-E,5,m,13,4
SP20246,D14,1949-F,1949-F,5,m,14,4
SP20246,D15,1949-G,1949-G,0.125,m,15,4
SP20246,D16,1949-I,1949-I,5,m,16,4
SP20246,D17,1867F12.3-4,1867F12.3-4,5,m,17,4
SP20246,D18,1867F13.3.9,1867F13.3.9,2.1875,m,18,4
SP20246,D19,Aspergillicin D,Aspergillicin D,1.875,m,19,4
SP20246,D20,1867F13.6,1867F13.6,15.625,m,20,4
SP20246,D22,XR334_HPLC,XR334_HPLC,3.75,m,22,4
SP20246,E03,1948-B,1948-B,2.5,m,3,5
SP20246,E04,1948-C,1948-C,2.5,m,4,5
SP20246,E05,1948-D,1948-D,2.5,m,5,5
SP20246,E06,1948-E,1948-E,2.5,m,6,5
SP20246,E07,1948-F,1948-F,2.5,m,7,5
SP20246,E08,1948-G,1948-G,2.5,m,8,5
SP20246,E09,1949-A,1949-A,2.5,m,9,5
SP20246,E10,1949-B,1949-B,2.5,m,10,5
SP20246,E11,1949-C,1949-C,2.5,m,11,5
SP20246,E12,1949-D,1949-D,2.5,m,12,5
SP20246,E13,1949-E,1949-E,2.5,m,13,5
SP20246,E14,1949-F,1949-F,2.5,m,14,5
SP20246,E15,1949-G,1949-G,0.0625,m,15,5
SP20246,E16,1949-I,1949-I,2.5,m,16,5
SP20246,E17,1867F12.3-4,1867F12.3-4,2.5,m,17,5
SP20246,E18,1867F13.3.9,1867F13.3.9,1.09375,m,18,5
SP20246,E19,Aspergillicin D,Aspergillicin D,0.9375,m,19,5
SP20246,E20,1867F13.6,1867F13.6,7.8125,m,20,5
SP20246,E21,XR334_NMR,XR334_NMR,3,m,21,5
SP20246,E22,XR334_HPLC,XR334_HPLC,1.875,m,22,5
SP20246,F03,1948-B,1948-B,1.25,m,3,6
SP20246,F04,1948-C,1948-C,1.25,m,4,6
SP20246,F05,1948-D,1948-D,1.25,m,5,6
SP20246,F06,1948-E,1948-E,1.25,m,6,6
SP20246,F07,1948-F,1948-F,1.25,m,7,6
SP20246,F08,1948-G,1948-G,1.25,m,8,6
SP20246,F09,1949-A,1949-A,1.25,m,9,6
SP20246,F10,1949-B,1949-B,1.25,m,10,6
SP20246,F11,1949-C,1949-C,1.25,m,11,6
SP20246,F12,1949-D,1949-D,1.25,m,12,6
SP20246,F13,1949-E,1949-E,1.25,m,13,6
SP20246,F14,1949-F,1949-F,1.25,m,14,6
SP20246,F15,1949-G,1949-G,0.03125,m,15,6
SP20246,F16,1949-I,1949-I,1.25,m,16,6
SP20246,F17,1867F12.3-4,1867F12.3-4,1.25,m,17,6
SP20246,F18,1867F13.3.9,1867F13.3.9,0.546875,m,18,6
SP20246,F19,Aspergillicin D,Aspergillicin D,0.46875,m,19,6
SP20246,F20,1867F13.6,1867F13.6,3.90625,m,20,6
SP20246,F21,XR334_NMR,XR334_NMR,1.5,m,21,6
SP20246,F22,XR334_HPLC,XR334_HPLC,0.9375,m,22,6
SP20246,G03,1948-B,1948-B,0.625,m,3,7
SP20246,G04,1948-C,1948-C,0.625,m,4,7
SP20246,G05,1948-D,1948-D,0.625,m,5,7
SP20246,G06,1948-E,1948-E,0.625,m,6,7
SP20246,G07,1948-F,1948-F,0.625,m,7,7
SP20246,G08,1948-G,1948-G,0.625,m,8,7
SP20246,G09,1949-A,1949-A,0.625,m,9,7
SP20246,G10,1949-B,1949-B,0.625,m,10,7
SP20246,G11,1949-C,1949-C,0.625,m,11,7
SP20246,G12,1949-D,1949-D,0.625,m,12,7
SP20246,G13,1949-E,1949-E,0.625,m,13,7
SP20246,G14,1949-F,1949-F,0.625,m,14,7
SP20246,G15,1949-G,1949-G,0.015625,m,15,7
SP20246,G16,1949-I,1949-I,0.625,m,16,7
SP20246,G17,1867F12.3-4,1867F12.3-4,0.625,m,17,7
SP20246,G18,1867F13.3.9,1867F13.3.9,0.2734375,m,18,7
SP20246,G19,Aspergillicin D,Aspergillicin D,0.234375,m,19,7
SP20246,G20,1867F13.6,1867F13.6,1.953125,m,20,7
SP20246,G21,XR334_NMR,XR334_NMR,0.75,m,21,7
SP20246,G22,XR334_HPLC,XR334_HPLC,0.46875,m,22,7
SP20246,H03,1948-B,1948-B,0.3125,m,3,8
SP20246,H04,1948-C,1948-C,0.3125,m,4,8
SP20246,H05,1948-D,1948-D,0.3125,m,5,8
SP20246,H06,1948-E,1948-E,0.3125,m,6,8
SP20246,H07,1948-F,1948-F,0.3125,m,7,8
SP20246,H08,1948-G,1948-G,0.3125,m,8,8
SP20246,H09,1949-A,1949-A,0.3125,m,9,8
SP20246,H10,1949-B,1949-B,0.3125,m,10,8
SP20246,H11,1949-C,1949-C,0.3125,m,11,8
SP20246,H12,1949-D,1949-D,0.3125,m,12,8
SP20246,H13,1949-E,1949-E,0.3125,m,13,8
SP20246,H14,1949-F,1949-F,0.3125,m,14,8
SP20246,H15,1949-G,1949-G,0.0078125,m,15,8
SP20246,H16,1949-I,1949-I,0.3125,m,16,8
SP20246,H17,1867F12.3-4,1867F12.3-4,0.3125,m,17,8
SP20246,H18,1867F13.3.9,1867F13.3.9,0.13671875,m,18,8
SP20246,H19,Aspergillicin D,Aspergillicin D,0.1171875,m,19,8
SP20246,H20,1867F13.6,1867F13.6,0.9765625,m,20,8
SP20246,H21,XR334_NMR,XR334_NMR,0.375,m,21,8
SP20246,H22,XR334_HPLC,XR334_HPLC,0.234375,m,22,8
SP20246,I03,1867F12.3.1,1867F12.3.1,7.5,m,3,9
SP20246,I04,1867F12.3.2,1867F12.3.2,75,m,4,9
SP20246,I05,1867F12.3.3,1867F12.3.3,22.5,m,5,9
SP20246,I06,1867F13.3.5,1867F13.3.5,17.5,m,6,9
SP20246,I07,1867F12.3.6,1867F12.3.6,25,m,7,9
SP20246,I08,1867F12.3.9,1867F12.3.9,12.5,m,8,9
SP20246,I09,1867F12.3.10,1867F12.3.10,1,m,9,9
SP20246,I10,1867F13.3.R,1867F13.3.R,140,m,10,9
SP20246,I11,1867F13.3.2,1867F13.3.2,1,m,11,9
