96 plate ID,96 plate number,96 well,384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
,Plate 1,A02,Leni 384001,SP90097,A03,BV1,BV1,50,m,3,1
,Plate 2,A02,Leni 384001,SP90097,A04,BV1,BV1,10,m,4,1
,Plate 1,A03,Leni 384001,SP90097,A05,BV9,BV9,50,m,5,1
,Plate 2,A03,Leni 384001,SP90097,A06,BV9,BV9,10,m,6,1
,Plate 1,A04,Leni 384001,SP90097,A07,11--45,11--45,50,m,7,1
,Plate 2,A04,Leni 384001,SP90097,A08,11--45,11--45,10,m,8,1
,Plate 1,A05,Leni 384001,SP90097,A09,R2-2,R2-2,50,m,9,1
,Plate 2,A05,Leni 384001,SP90097,A10,R2-2,R2-2,10,m,10,1
,Plate 1,A07,Leni 384001,SP90097,A13,BV1W,BV1W,50,m,13,1
,Plate 2,A07,Leni 384001,SP90097,A14,BV1W,BV1W,10,m,14,1
,Plate 1,A08,Leni 384001,SP90097,A15,BV9W,BV9W,50,m,15,1
,Plate 2,A08,Leni 384001,SP90097,A16,BV9W,BV9W,10,m,16,1
,Plate 1,A09,Leni 384001,SP90097,A17,11-45W,11-45W,50,m,17,1
,Plate 2,A09,Leni 384001,SP90097,A18,11-45W,11-45W,10,m,18,1
,Plate 1,A10,Leni 384001,SP90097,A19,R2-2W,R2-2W,50,m,19,1
,Plate 2,A10,Leni 384001,SP90097,A20,R2-2W,R2-2W,10,m,20,1
,Plate 3,A02,Leni 384001,SP90097,B03,BV1,BV1,2,m,3,2
,Plate 4,A02,Leni 384001,SP90097,B04,BV1,BV1,0.4,m,4,2
,Plate 3,A03,Leni 384001,SP90097,B05,BV9,BV9,2,m,5,2
,Plate 4,A03,Leni 384001,SP90097,B06,BV9,BV9,0.4,m,6,2
,Plate 3,A04,Leni 384001,SP90097,B07,11--45,11--45,2,m,7,2
,Plate 4,A04,Leni 384001,SP90097,B08,11--45,11--45,0.4,m,8,2
,Plate 3,A05,Leni 384001,SP90097,B09,R2-2,R2-2,2,m,9,2
,Plate 4,A05,Leni 384001,SP90097,B10,R2-2,R2-2,0.4,m,10,2
,Plate 3,A07,Leni 384001,SP90097,B13,BV1W,BV1W,2,m,13,2
,Plate 4,A07,Leni 384001,SP90097,B14,BV1W,BV1W,0.4,m,14,2
,Plate 3,A08,Leni 384001,SP90097,B15,BV9W,BV9W,2,m,15,2
,Plate 4,A08,Leni 384001,SP90097,B16,BV9W,BV9W,0.4,m,16,2
,Plate 3,A09,Leni 384001,SP90097,B17,11-45W,11-45W,2,m,17,2
,Plate 4,A09,Leni 384001,SP90097,B18,11-45W,11-45W,0.4,m,18,2
,Plate 3,A10,Leni 384001,SP90097,B19,R2-2W,R2-2W,2,m,19,2
,Plate 4,A10,Leni 384001,SP90097,B20,R2-2W,R2-2W,0.4,m,20,2
,Plate 1,B02,Leni 384001,SP90097,C03,BV2,BV2,50,m,3,3
,Plate 2,B02,Leni 384001,SP90097,C04,BV2,BV2,10,m,4,3
,Plate 1,B03,Leni 384001,SP90097,C05,BV10,BV10,50,m,5,3
,Plate 2,B03,Leni 384001,SP90097,C06,BV10,BV10,10,m,6,3
,Plate 1,B04,Leni 384001,SP90097,C07,21-01,21-01,50,m,7,3
,Plate 2,B04,Leni 384001,SP90097,C08,21-01,21-01,10,m,8,3
,Plate 1,B05,Leni 384001,SP90097,C09,R3,R3,50,m,9,3
,Plate 2,B05,Leni 384001,SP90097,C10,R3,R3,10,m,10,3
,Plate 1,B07,Leni 384001,SP90097,C13,BV2W,BV2W,50,m,13,3
,Plate 2,B07,Leni 384001,SP90097,C14,BV2W,BV2W,10,m,14,3
,Plate 1,B08,Leni 384001,SP90097,C15,BV10W,BV10W,50,m,15,3
,Plate 2,B08,Leni 384001,SP90097,C16,BV10W,BV10W,10,m,16,3
,Plate 1,B09,Leni 384001,SP90097,C17,21-01W,21-01W,50,m,17,3
,Plate 2,B09,Leni 384001,SP90097,C18,21-01W,21-01W,10,m,18,3
,Plate 1,B10,Leni 384001,SP90097,C19,R3W,R3W,50,m,19,3
,Plate 2,B10,Leni 384001,SP90097,C20,R3W,R3W,10,m,20,3
,Plate 3,B02,Leni 384001,SP90097,D03,BV2,BV2,2,m,3,4
,Plate 4,B02,Leni 384001,SP90097,D04,BV2,BV2,0.4,m,4,4
,Plate 3,B03,Leni 384001,SP90097,D05,BV10,BV10,2,m,5,4
,Plate 4,B03,Leni 384001,SP90097,D06,BV10,BV10,0.4,m,6,4
,Plate 3,B04,Leni 384001,SP90097,D07,21-01,21-01,2,m,7,4
,Plate 4,B04,Leni 384001,SP90097,D08,21-01,21-01,0.4,m,8,4
,Plate 3,B05,Leni 384001,SP90097,D09,R3,R3,2,m,9,4
,Plate 4,B05,Leni 384001,SP90097,D10,R3,R3,0.4,m,10,4
,Plate 3,B07,Leni 384001,SP90097,D13,BV2W,BV2W,2,m,13,4
,Plate 4,B07,Leni 384001,SP90097,D14,BV2W,BV2W,0.4,m,14,4
,Plate 3,B08,Leni 384001,SP90097,D15,BV10W,BV10W,2,m,15,4
,Plate 4,B08,Leni 384001,SP90097,D16,BV10W,BV10W,0.4,m,16,4
,Plate 3,B09,Leni 384001,SP90097,D17,21-01W,21-01W,2,m,17,4
,Plate 4,B09,Leni 384001,SP90097,D18,21-01W,21-01W,0.4,m,18,4
,Plate 3,B10,Leni 384001,SP90097,D19,R3W,R3W,2,m,19,4
,Plate 4,B10,Leni 384001,SP90097,D20,R3W,R3W,0.4,m,20,4
,Plate 1,C02,Leni 384001,SP90097,E03,BV3,BV3,50,m,3,5
,Plate 2,C02,Leni 384001,SP90097,E04,BV3,BV3,10,m,4,5
,Plate 1,C03,Leni 384001,SP90097,E05,BV11,BV11,50,m,5,5
,Plate 2,C03,Leni 384001,SP90097,E06,BV11,BV11,10,m,6,5
,Plate 1,C04,Leni 384001,SP90097,E07,28-25,28-25,50,m,7,5
,Plate 2,C04,Leni 384001,SP90097,E08,28-25,28-25,10,m,8,5
,Plate 1,C05,Leni 384001,SP90097,E09,R4,R4,50,m,9,5
,Plate 2,C05,Leni 384001,SP90097,E10,R4,R4,10,m,10,5
,Plate 1,C07,Leni 384001,SP90097,E13,BV3W,BV3W,50,m,13,5
,Plate 2,C07,Leni 384001,SP90097,E14,BV3W,BV3W,10,m,14,5
,Plate 1,C08,Leni 384001,SP90097,E15,BV11W,BV11W,50,m,15,5
,Plate 2,C08,Leni 384001,SP90097,E16,BV11W,BV11W,10,m,16,5
,Plate 1,C09,Leni 384001,SP90097,E17,28-25W,28-25W,50,m,17,5
,Plate 2,C09,Leni 384001,SP90097,E18,28-25W,28-25W,10,m,18,5
,Plate 1,C10,Leni 384001,SP90097,E19,R4W,R4W,50,m,19,5
,Plate 2,C10,Leni 384001,SP90097,E20,R4W,R4W,10,m,20,5
,Plate 3,C02,Leni 384001,SP90097,F03,BV3,BV3,2,m,3,6
,Plate 4,C02,Leni 384001,SP90097,F04,BV3,BV3,0.4,m,4,6
,Plate 3,C03,Leni 384001,SP90097,F05,BV11,BV11,2,m,5,6
,Plate 4,C03,Leni 384001,SP90097,F06,BV11,BV11,0.4,m,6,6
,Plate 3,C04,Leni 384001,SP90097,F07,28-25,28-25,2,m,7,6
,Plate 4,C04,Leni 384001,SP90097,F08,28-25,28-25,0.4,m,8,6
,Plate 3,C05,Leni 384001,SP90097,F09,R4,R4,2,m,9,6
,Plate 4,C05,Leni 384001,SP90097,F10,R4,R4,0.4,m,10,6
,Plate 3,C07,Leni 384001,SP90097,F13,BV3W,BV3W,2,m,13,6
,Plate 4,C07,Leni 384001,SP90097,F14,BV3W,BV3W,0.4,m,14,6
,Plate 3,C08,Leni 384001,SP90097,F15,BV11W,BV11W,2,m,15,6
,Plate 4,C08,Leni 384001,SP90097,F16,BV11W,BV11W,0.4,m,16,6
,Plate 3,C09,Leni 384001,SP90097,F17,28-25W,28-25W,2,m,17,6
,Plate 4,C09,Leni 384001,SP90097,F18,28-25W,28-25W,0.4,m,18,6
,Plate 3,C10,Leni 384001,SP90097,F19,R4W,R4W,2,m,19,6
,Plate 4,C10,Leni 384001,SP90097,F20,R4W,R4W,0.4,m,20,6
,Plate 1,D02,Leni 384001,SP90097,G03,BV4,BV4,50,m,3,7
,Plate 2,D02,Leni 384001,SP90097,G04,BV4,BV4,10,m,4,7
,Plate 1,D03,Leni 384001,SP90097,G05,BV12,BV12,50,m,5,7
,Plate 2,D03,Leni 384001,SP90097,G06,BV12,BV12,10,m,6,7
,Plate 1,D04,Leni 384001,SP90097,G07,40-05,40-05,50,m,7,7
,Plate 2,D04,Leni 384001,SP90097,G08,40-05,40-05,10,m,8,7
,Plate 1,D05,Leni 384001,SP90097,G09,R5,R5,50,m,9,7
,Plate 2,D05,Leni 384001,SP90097,G10,R5,R5,10,m,10,7
,Plate 1,D07,Leni 384001,SP90097,G13,BV4W,BV4W,50,m,13,7
,Plate 2,D07,Leni 384001,SP90097,G14,BV4W,BV4W,10,m,14,7
,Plate 1,D08,Leni 384001,SP90097,G15,BV12W,BV12W,50,m,15,7
,Plate 2,D08,Leni 384001,SP90097,G16,BV12W,BV12W,10,m,16,7
,Plate 1,D09,Leni 384001,SP90097,G17,40-05W,40-05W,50,m,17,7
,Plate 2,D09,Leni 384001,SP90097,G18,40-05W,40-05W,10,m,18,7
,Plate 1,D10,Leni 384001,SP90097,G19,R5W,R5W,50,m,19,7
,Plate 2,D10,Leni 384001,SP90097,G20,R5W,R5W,10,m,20,7
,Plate 3,D02,Leni 384001,SP90097,H03,BV4,BV4,2,m,3,8
,Plate 4,D02,Leni 384001,SP90097,H04,BV4,BV4,0.4,m,4,8
,Plate 3,D03,Leni 384001,SP90097,H05,BV12,BV12,2,m,5,8
,Plate 4,D03,Leni 384001,SP90097,H06,BV12,BV12,0.4,m,6,8
,Plate 3,D04,Leni 384001,SP90097,H07,40-05,40-05,2,m,7,8
,Plate 4,D04,Leni 384001,SP90097,H08,40-05,40-05,0.4,m,8,8
,Plate 3,D05,Leni 384001,SP90097,H09,R5,R5,2,m,9,8
,Plate 4,D05,Leni 384001,SP90097,H10,R5,R5,0.4,m,10,8
,Plate 3,D07,Leni 384001,SP90097,H13,BV4W,BV4W,2,m,13,8
,Plate 4,D07,Leni 384001,SP90097,H14,BV4W,BV4W,0.4,m,14,8
,Plate 3,D08,Leni 384001,SP90097,H15,BV12W,BV12W,2,m,15,8
,Plate 4,D08,Leni 384001,SP90097,H16,BV12W,BV12W,0.4,m,16,8
,Plate 3,D09,Leni 384001,SP90097,H17,40-05W,40-05W,2,m,17,8
,Plate 4,D09,Leni 384001,SP90097,H18,40-05W,40-05W,0.4,m,18,8
,Plate 3,D10,Leni 384001,SP90097,H19,R5W,R5W,2,m,19,8
,Plate 4,D10,Leni 384001,SP90097,H20,R5W,R5W,0.4,m,20,8
,Plate 1,E02,Leni 384001,SP90097,I03,BV5,BV5,50,m,3,9
,Plate 2,E02,Leni 384001,SP90097,I04,BV5,BV5,10,m,4,9
,Plate 1,E03,Leni 384001,SP90097,I05,BV13,BV13,50,m,5,9
,Plate 2,E03,Leni 384001,SP90097,I06,BV13,BV13,10,m,6,9
,Plate 1,E04,Leni 384001,SP90097,I07,24083,24083,50,m,7,9
,Plate 2,E04,Leni 384001,SP90097,I08,24083,24083,10,m,8,9
,Plate 1,E05,Leni 384001,SP90097,I09,R6A,R6A,50,m,9,9
,Plate 2,E05,Leni 384001,SP90097,I10,R6A,R6A,10,m,10,9
,Plate 1,E07,Leni 384001,SP90097,I13,BV5W,BV5W,50,m,13,9
,Plate 2,E07,Leni 384001,SP90097,I14,BV5W,BV5W,10,m,14,9
,Plate 1,E08,Leni 384001,SP90097,I15,BV13W,BV13W,50,m,15,9
,Plate 2,E08,Leni 384001,SP90097,I16,BV13W,BV13W,10,m,16,9
,Plate 1,E09,Leni 384001,SP90097,I17,24083W,24083W,50,m,17,9
,Plate 2,E09,Leni 384001,SP90097,I18,24083W,24083W,10,m,18,9
,Plate 1,E10,Leni 384001,SP90097,I19,R6AW,R6AW,50,m,19,9
