Plate Map,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Lokey-JAS-01 & AF01,SP40179,D13,JLT7,JLT7,1.875,m,13,4,9.375
Lokey-JAS-01 & AF01,SP40179,D14,Src707,Src707,1.875,m,14,4,9.375
Lokey-JAS-01 & AF01,SP40179,D15,Src997,Src997,1.875,m,15,4,9.375
Lokey-JAS-01 & AF01,SP40179,D16,L2N,L2N,1.875,m,16,4,9.375
Lokey-JAS-01 & AF01,SP40179,D17,L3N,L3N,1.875,m,17,4,9.375
Lokey-JAS-01 & AF01,SP40179,D18,Y6N,Y6N,1.875,m,18,4,9.375
Lokey-JAS-01 & AF01,SP40179,D19,L2L3N,L2L3N,1.875,m,19,4,9.375
Lokey-JAS-01 & AF01,SP40179,D20,L3Y6N,L3Y6N,1.875,m,20,4,9.375
Lokey-JAS-01 & AF01,SP40179,D21,L2L3Y6N,L2L3Y6N,1.875,m,21,4,9.375
Lokey-JAS-01 & AF01,SP40179,D22,CSA-BmtToLeu,CSA-BmtToLeu,1.875,m,22,4,9.375
Lokey-JAS-01 & AF01,SP40179,E03,AF.51-05,AF.51-05,-1,m,3,5
Lokey-JAS-01 & AF01,SP40179,E05,1NMe3,1NMe3,0.9375,m,5,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E06,L2T,L2T,0.9375,m,6,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E07,L3T,L3T,0.9375,m,7,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E08,L4T,L4T,0.9375,m,8,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E09,L3T',L3T',0.9375,m,9,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E10,PaAc,PaAc,0.9375,m,10,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E11,JLT5,JLT5,0.9375,m,11,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E12,JLT6,JLT6,0.9375,m,12,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E13,JLT7,JLT7,0.9375,m,13,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E14,Src707,Src707,0.9375,m,14,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E15,Src997,Src997,0.9375,m,15,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E16,L2N,L2N,0.9375,m,16,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E17,L3N,L3N,0.9375,m,17,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E18,Y6N,Y6N,0.9375,m,18,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E19,L2L3N,L2L3N,0.9375,m,19,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E20,L3Y6N,L3Y6N,0.9375,m,20,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E21,L2L3Y6N,L2L3Y6N,0.9375,m,21,5,4.6875
Lokey-JAS-01 & AF01,SP40179,E22,CSA-BmtToLeu,CSA-BmtToLeu,0.9375,m,22,5,4.6875
Lokey-JAS-01 & AF01,SP40179,F03,AF.51-06,AF.51-06,-1,m,3,6
Lokey-JAS-01 & AF01,SP40179,F05,1NMe3,1NMe3,0.46875,m,5,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F06,L2T,L2T,0.46875,m,6,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F07,L3T,L3T,0.46875,m,7,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F08,L4T,L4T,0.46875,m,8,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F09,L3T',L3T',0.46875,m,9,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F10,PaAc,PaAc,0.46875,m,10,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F11,JLT5,JLT5,0.46875,m,11,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F12,JLT6,JLT6,0.46875,m,12,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F13,JLT7,JLT7,0.46875,m,13,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F14,Src707,Src707,0.46875,m,14,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F15,Src997,Src997,0.46875,m,15,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F16,L2N,L2N,0.46875,m,16,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F17,L3N,L3N,0.46875,m,17,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F18,Y6N,Y6N,0.46875,m,18,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F19,L2L3N,L2L3N,0.46875,m,19,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F20,L3Y6N,L3Y6N,0.46875,m,20,6,2.34375
Lokey-JAS-01 & AF01,SP40179,F21,L2L3Y6N,L2L3Y6N,0.46875,m,21,6,2.34375
