Plate Map,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Lokey-JAS-01 & AF01,SP40179,O19,Cordyheptapeptide B,Cordyheptapeptide B,0.234375,m,19,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O20,Aspergillicin D,Aspergillicin D,0.234375,m,20,15,1.171875
Lokey-JAS-01 & AF01,SP40179,O21,SpecialK B,SpecialK B,0.234375,m,21,15,1.171875
Lokey-JAS-01 & AF01,SP40179,P05,Y6Morph,Y6Morph,0.1171875,m,5,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P06,Y6TFMB,Y6TFMB,0.1171875,m,6,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P07,Y6Pyr,Y6Pyr,0.1171875,m,7,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P08,Y6Iso,Y6Iso,0.1171875,m,8,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P09,PhePA,PhePA,0.1171875,m,9,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P10,PhePB,PhePB,0.1171875,m,10,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P11,PhePC,PhePC,0.1171875,m,11,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P12,PhePD,PhePD,0.1171875,m,12,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P13,PhePAL,PhePAL,0.1171875,m,13,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P14,PhePBL,PhePBL,0.1171875,m,14,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P15,PhePCL,PhePCL,0.1171875,m,15,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P16,PhePDL,PhePDL,0.1171875,m,16,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P17,Antamanide,Antamanide,0.1171875,m,17,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P18,Cylindrocyclin,Cylindrocyclin,0.1171875,m,18,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P19,Cordyheptapeptide B,Cordyheptapeptide B,0.1171875,m,19,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P20,Aspergillicin D,Aspergillicin D,0.1171875,m,20,16,0.5859375
Lokey-JAS-01 & AF01,SP40179,P21,SpecialK B,SpecialK B,0.1171875,m,21,16,0.5859375
