384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Jurica Piel Compounds,SP20272,A03,MJ001,MJ001,10,m,3,1
Jurica Piel Compounds,SP20272,A04,MJ002,MJ002,10,m,4,1
Jurica Piel Compounds,SP20272,A05,MJ003,MJ003,10,m,5,1
Jurica Piel Compounds,SP20272,A06,MJ004,MJ004,10,m,6,1
Jurica Piel Compounds,SP20272,A15,nosperin,nosperin,5,m,15,1
Jurica Piel Compounds,SP20272,A16,psymberin,psymberin,0.04,m,16,1
Jurica Piel Compounds,SP20272,A17,Lanunalide,Lanunalide,10,m,17,1
Jurica Piel Compounds,SP20272,A18,Merosterol A,Merosterol A,10,m,18,1
Jurica Piel Compounds,SP20272,A19,Merosterol B,Merosterol B,10,m,19,1
Jurica Piel Compounds,SP20272,B03,MJ001,MJ001,5,m,3,2
Jurica Piel Compounds,SP20272,B04,MJ002,MJ002,5,m,4,2
Jurica Piel Compounds,SP20272,B05,MJ003,MJ003,5,m,5,2
Jurica Piel Compounds,SP20272,B06,MJ004,MJ004,5,m,6,2
Jurica Piel Compounds,SP20272,B15,nosperin,nosperin,2.5,m,15,2
Jurica Piel Compounds,SP20272,B16,psymberin,psymberin,0.02,m,16,2
Jurica Piel Compounds,SP20272,B17,Lanunalide,Lanunalide,5,m,17,2
Jurica Piel Compounds,SP20272,B18,Merosterol A,Merosterol A,5,m,18,2
Jurica Piel Compounds,SP20272,B19,Merosterol B,Merosterol B,5,m,19,2
Jurica Piel Compounds,SP20272,C03,MJ001,MJ001,2.5,m,3,3
Jurica Piel Compounds,SP20272,C04,MJ002,MJ002,2.5,m,4,3
Jurica Piel Compounds,SP20272,C05,MJ003,MJ003,2.5,m,5,3
Jurica Piel Compounds,SP20272,C06,MJ004,MJ004,2.5,m,6,3
Jurica Piel Compounds,SP20272,C15,nosperin,nosperin,1.25,m,15,3
Jurica Piel Compounds,SP20272,C16,psymberin,psymberin,0.01,m,16,3
Jurica Piel Compounds,SP20272,C17,Lanunalide,Lanunalide,2.5,m,17,3
Jurica Piel Compounds,SP20272,C18,Merosterol A,Merosterol A,2.5,m,18,3
Jurica Piel Compounds,SP20272,C19,Merosterol B,Merosterol B,2.5,m,19,3
Jurica Piel Compounds,SP20272,D03,MJ001,MJ001,1.25,m,3,4
