96 Plate ID,96 plate number,96 Well,384 Plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Biosortia_Musk2014.09.B_10,3,A11,Biosortia_Musk2014.09.B_10,SP20262,B21,C-2080-O-75,C-2080-O-75,-1,m,21,2
HHDilMay2015,4,A11,HHDilMay2015,SP20262,B22,1867F16-9-3_100,1867F16-9-3_100,-1,m,22,2
Biosortia_Musk2014.09.A_10 ,1,B02,Biosortia_Musk2014.09.A_10 ,SP20262,C03,C-2080-D-01,C-2080-D-01,-1,m,3,3
HHDilMay2015,2,B02,HHDilMay2015,SP20262,C04,1867F16-10.1_175,1867F16-10.1_175,-1,m,4,3
Biosortia_Musk2014.09.A_10 ,1,B03,Biosortia_Musk2014.09.A_10 ,SP20262,C05,C-2080-D-09,C-2080-D-09,-1,m,5,3
HHDilMay2015,2,B03,HHDilMay2015,SP20262,C06,1867F16-10.3_100,1867F16-10.3_100,-1,m,6,3
Biosortia_Musk2014.09.A_10 ,1,B04,Biosortia_Musk2014.09.A_10 ,SP20262,C07,C-2080-D-17,C-2080-D-17,-1,m,7,3
HHDilMay2015,2,B04,HHDilMay2015,SP20262,C08,1867F16-10.5_100,1867F16-10.5_100,-1,m,8,3
Biosortia_Musk2014.09.A_10 ,1,B05,Biosortia_Musk2014.09.A_10 ,SP20262,C09,C-2080-D-25,C-2080-D-25,-1,m,9,3
HHDilMay2015,2,B05,HHDilMay2015,SP20262,C10,1867F16-10-9175,1867F16-10-9175,-1,m,10,3
Biosortia_Musk2014.09.A_10 ,1,B06,Biosortia_Musk2014.09.A_10 ,SP20262,C11,C-2080-D-33,C-2080-D-33,-1,m,11,3
HHDilMay2015,2,B06,HHDilMay2015,SP20262,C12,1867F16-8-1_0.25,1867F16-8-1_0.25,-1,m,12,3
Biosortia_Musk2014.09.A_10 ,1,B07,Biosortia_Musk2014.09.A_10 ,SP20262,C13,C-2080-D-41,C-2080-D-41,-1,m,13,3
HHDilMay2015,2,B07,HHDilMay2015,SP20262,C14,1867F16-8-3_0.25,1867F16-8-3_0.25,-1,m,14,3
Biosortia_Musk2014.09.A_10 ,1,B08,Biosortia_Musk2014.09.A_10 ,SP20262,C15,C-2080-D-49,C-2080-D-49,-1,m,15,3
HHDilMay2015,2,B08,HHDilMay2015,SP20262,C16,1867F16-8-6_0.25,1867F16-8-6_0.25,-1,m,16,3
Biosortia_Musk2014.09.A_10 ,1,B09,Biosortia_Musk2014.09.A_10 ,SP20262,C17,C-2080-D-57,C-2080-D-57,-1,m,17,3
HHDilMay2015,2,B09,HHDilMay2015,SP20262,C18,1867F16-8-9_37.5,1867F16-8-9_37.5,-1,m,18,3
Biosortia_Musk2014.09.A_10 ,1,B10,Biosortia_Musk2014.09.A_10 ,SP20262,C19,C-2080-D-67,C-2080-D-67,-1,m,19,3
HHDilMay2015,2,B10,HHDilMay2015,SP20262,C20,1867F16-9-1_250,1867F16-9-1_250,-1,m,20,3
Biosortia_Musk2014.09.A_10 ,1,B11,Biosortia_Musk2014.09.A_10 ,SP20262,C21,C-2080-Z-08A,C-2080-Z-08A,-1,m,21,3
HHDilMay2015,2,B11,HHDilMay2015,SP20262,C22,1867F16-9-3_50,1867F16-9-3_50,-1,m,22,3
Biosortia_Musk2014.09.B_10,3,B02,Biosortia_Musk2014.09.B_10,SP20262,D03,C-2080-O-01,C-2080-O-01,-1,m,3,4
HHDilMay2015,4,B02,HHDilMay2015,SP20262,D04,1867F16-10.1_87.5,1867F16-10.1_87.5,-1,m,4,4
Biosortia_Musk2014.09.B_10,3,B03,Biosortia_Musk2014.09.B_10,SP20262,D05,C-2080-O-10,C-2080-O-10,-1,m,5,4
HHDilMay2015,4,B03,HHDilMay2015,SP20262,D06,1867F16-10.3_50,1867F16-10.3_50,-1,m,6,4
Biosortia_Musk2014.09.B_10,3,B04,Biosortia_Musk2014.09.B_10,SP20262,D07,C-2080-O-18,C-2080-O-18,-1,m,7,4
HHDilMay2015,4,B04,HHDilMay2015,SP20262,D08,1867F16-10.5_50,1867F16-10.5_50,-1,m,8,4
Biosortia_Musk2014.09.B_10,3,B05,Biosortia_Musk2014.09.B_10,SP20262,D09,C-2080-O-26,C-2080-O-26,-1,m,9,4
HHDilMay2015,4,B05,HHDilMay2015,SP20262,D10,1867F16-10-987.5,1867F16-10-987.5,-1,m,10,4
Biosortia_Musk2014.09.B_10,3,B06,Biosortia_Musk2014.09.B_10,SP20262,D11,C-2080-O-34,C-2080-O-34,-1,m,11,4
HHDilMay2015,4,B06,HHDilMay2015,SP20262,D12,1867F16-8-1_0.125,1867F16-8-1_0.125,-1,m,12,4
Biosortia_Musk2014.09.B_10,3,B07,Biosortia_Musk2014.09.B_10,SP20262,D13,C-2080-O-42,C-2080-O-42,-1,m,13,4
HHDilMay2015,4,B07,HHDilMay2015,SP20262,D14,1867F16-8-3_0.125,1867F16-8-3_0.125,-1,m,14,4
Biosortia_Musk2014.09.B_10,3,B08,Biosortia_Musk2014.09.B_10,SP20262,D15,C-2080-O-50,C-2080-O-50,-1,m,15,4
HHDilMay2015,4,B08,HHDilMay2015,SP20262,D16,1867F16-8-6_0.125,1867F16-8-6_0.125,-1,m,16,4
Biosortia_Musk2014.09.B_10,3,B09,Biosortia_Musk2014.09.B_10,SP20262,D17,C-2080-O-60,C-2080-O-60,-1,m,17,4
HHDilMay2015,4,B09,HHDilMay2015,SP20262,D18,1867F16-8-9_18.75,1867F16-8-9_18.75,-1,m,18,4
Biosortia_Musk2014.09.B_10,3,B10,Biosortia_Musk2014.09.B_10,SP20262,D19,C-2080-O-68,C-2080-O-68,-1,m,19,4
HHDilMay2015,4,B10,HHDilMay2015,SP20262,D20,1867F16-9-1_125,1867F16-9-1_125,-1,m,20,4
Biosortia_Musk2014.09.B_10,3,B11,Biosortia_Musk2014.09.B_10,SP20262,D21,C-2080-O-76,C-2080-O-76,-1,m,21,4
HHDilMay2015,4,B11,HHDilMay2015,SP20262,D22,1867F16-9-3_25,1867F16-9-3_25,-1,m,22,4
Biosortia_Musk2014.09.A_10 ,1,C02,Biosortia_Musk2014.09.A_10 ,SP20262,E03,C-2080-D-02,C-2080-D-02,-1,m,3,5
HHDilMay2015,2,C02,HHDilMay2015,SP20262,E04,1867F16-10.1_43.75,1867F16-10.1_43.75,-1,m,4,5
Biosortia_Musk2014.09.A_10 ,1,C03,Biosortia_Musk2014.09.A_10 ,SP20262,E05,C-2080-D-10,C-2080-D-10,-1,m,5,5
HHDilMay2015,2,C03,HHDilMay2015,SP20262,E06,1867F16-10.3_25,1867F16-10.3_25,-1,m,6,5
Biosortia_Musk2014.09.A_10 ,1,C04,Biosortia_Musk2014.09.A_10 ,SP20262,E07,C-2080-D-18,C-2080-D-18,-1,m,7,5
HHDilMay2015,2,C04,HHDilMay2015,SP20262,E08,1867F16-10.5_25,1867F16-10.5_25,-1,m,8,5
Biosortia_Musk2014.09.A_10 ,1,C05,Biosortia_Musk2014.09.A_10 ,SP20262,E09,C-2080-D-26,C-2080-D-26,-1,m,9,5
HHDilMay2015,2,C05,HHDilMay2015,SP20262,E10,1867F16-10-943.75,1867F16-10-943.75,-1,m,10,5
Biosortia_Musk2014.09.A_10 ,1,C06,Biosortia_Musk2014.09.A_10 ,SP20262,E11,C-2080-D-34,C-2080-D-34,-1,m,11,5
HHDilMay2015,2,C06,HHDilMay2015,SP20262,E12,1867F16-8-1_0.0625,1867F16-8-1_0.0625,-1,m,12,5
Biosortia_Musk2014.09.A_10 ,1,C07,Biosortia_Musk2014.09.A_10 ,SP20262,E13,C-2080-D-42,C-2080-D-42,-1,m,13,5
HHDilMay2015,2,C07,HHDilMay2015,SP20262,E14,1867F16-8-3_0.0625,1867F16-8-3_0.0625,-1,m,14,5
Biosortia_Musk2014.09.A_10 ,1,C08,Biosortia_Musk2014.09.A_10 ,SP20262,E15,C-2080-D-50,C-2080-D-50,-1,m,15,5
HHDilMay2015,2,C08,HHDilMay2015,SP20262,E16,1867F16-8-6_0.0625,1867F16-8-6_0.0625,-1,m,16,5
Biosortia_Musk2014.09.A_10 ,1,C09,Biosortia_Musk2014.09.A_10 ,SP20262,E17,C-2080-D-58,C-2080-D-58,-1,m,17,5
HHDilMay2015,2,C09,HHDilMay2015,SP20262,E18,1867F16-8-9_9.375,1867F16-8-9_9.375,-1,m,18,5
Biosortia_Musk2014.09.A_10 ,1,C10,Biosortia_Musk2014.09.A_10 ,SP20262,E19,C-2080-Z-01,C-2080-Z-01,-1,m,19,5
HHDilMay2015,2,C10,HHDilMay2015,SP20262,E20,1867F16-9-1_62.5,1867F16-9-1_62.5,-1,m,20,5
Biosortia_Musk2014.09.A_10 ,1,C11,Biosortia_Musk2014.09.A_10 ,SP20262,E21,C-2080-Z-10,C-2080-Z-10,-1,m,21,5
HHDilMay2015,2,C11,HHDilMay2015,SP20262,E22,1867F16-9-3_12.5,1867F16-9-3_12.5,-1,m,22,5
Biosortia_Musk2014.09.B_10,3,C02,Biosortia_Musk2014.09.B_10,SP20262,F03,C-2080-O-02,C-2080-O-02,-1,m,3,6
HHDilMay2015,4,C02,HHDilMay2015,SP20262,F04,1867F16-10.1_21.875,1867F16-10.1_21.875,-1,m,4,6
Biosortia_Musk2014.09.B_10,3,C03,Biosortia_Musk2014.09.B_10,SP20262,F05,C-2080-O-11,C-2080-O-11,-1,m,5,6
HHDilMay2015,4,C03,HHDilMay2015,SP20262,F06,1867F16-10.3_12.5,1867F16-10.3_12.5,-1,m,6,6
Biosortia_Musk2014.09.B_10,3,C04,Biosortia_Musk2014.09.B_10,SP20262,F07,C-2080-O-19,C-2080-O-19,-1,m,7,6
HHDilMay2015,4,C04,HHDilMay2015,SP20262,F08,1867F16-10.5_12.5,1867F16-10.5_12.5,-1,m,8,6
Biosortia_Musk2014.09.B_10,3,C05,Biosortia_Musk2014.09.B_10,SP20262,F09,C-2080-O-27,C-2080-O-27,-1,m,9,6
HHDilMay2015,4,C05,HHDilMay2015,SP20262,F10,1867F16-10-921.875,1867F16-10-921.875,-1,m,10,6
