Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP90046,A01,DMSOA01,DMSOA01
SP90046,A03,Shapiro1,Shapiro1,1,m
SP90046,A05,Shapiro2,Shapiro2,1,m
SP90046,A07,Shapiro3,Shapiro3,1,m
SP90046,A09,DMSO,DMSO,-1,m
SP90046,A23,DMSOA23,DMSOA23
SP90046,B02,DMSOB02,DMSOB02
SP90046,B03,Shapiro1,Shapiro1,0.1,m
SP90046,B05,Shapiro2,Shapiro2,0.1,m
SP90046,B07,Shapiro3,Shapiro3,0.1,m
SP90046,B09,DMSO,DMSO,-1,m
SP90046,B24,DMSOB24,DMSOB24
SP90046,C01,DMSOC01,DMSOC01
SP90046,C03,Shapiro1,Shapiro1,0.01,m
SP90046,C05,Shapiro2,Shapiro2,0.01,m
SP90046,C07,Shapiro3,Shapiro3,0.01,m
SP90046,C09,DMSO,DMSO,-1,m
SP90046,C23,DMSOC23,DMSOC23
SP90046,D02,DMSOD02,DMSOD02
SP90046,D03,Shapiro1,Shapiro1,0.001,m
SP90046,D05,Shapiro2,Shapiro2,0.001,m
SP90046,D07,Shapiro3,Shapiro3,0.001,m
SP90046,D09,DMSO,DMSO,-1,m
SP90046,D24,DMSOD24,DMSOD24
SP90046,E01,DMSOE01,DMSOE01
SP90046,E03,Shapiro1,Shapiro1,0.0001,m
SP90046,E05,Shapiro2,Shapiro2,0.0001,m
SP90046,E07,Shapiro3,Shapiro3,0.0001,m
SP90046,E09,DMSO,DMSO,-1,m
SP90046,E23,DMSOE23,DMSOE23
SP90046,F02,DMSOF02,DMSOF02
SP90046,F03,Shapiro1,Shapiro1,0.00001,m
SP90046,F05,Shapiro2,Shapiro2,0.00001,m
SP90046,F07,Shapiro3,Shapiro3,0.00001,m
SP90046,F09,DMSO,DMSO,-1,m
SP90046,F24,DMSOF24,DMSOF24
SP90046,G01,DMSOG01,DMSOG01
SP90046,G03,Shapiro1,Shapiro1,0.000001,m
SP90046,G05,Shapiro2,Shapiro2,0.000001,m
SP90046,G07,Shapiro3,Shapiro3,0.000001,m
SP90046,G09,DMSO,DMSO,-1,m
SP90046,G23,DMSOG23,DMSOG23
SP90046,H02,DMSOH02,DMSOH02
SP90046,H03,Shapiro1,Shapiro1,0.0000001,m
SP90046,H05,Shapiro2,Shapiro2,0.0000001,m
SP90046,H07,Shapiro3,Shapiro3,0.0000001,m
SP90046,H09,DMSO,DMSO,-1,m
SP90046,H24,DMSOH24,DMSOH24
SP90046,I01,DMSOI01,DMSOI01
SP90046,I03,Shapiro1,Shapiro1,0.00000001,m
SP90046,I05,Shapiro2,Shapiro2,0.00000001,m
SP90046,I07,Shapiro3,Shapiro3,0.00000001,m
SP90046,I09,DMSO,DMSO,-1,m
SP90046,I23,DMSOI23,DMSOI23
SP90046,J02,DMSOJ02,DMSOJ02
SP90046,J03,Shapiro1,Shapiro1,0.000000001,m
SP90046,J05,Shapiro2,Shapiro2,0.000000001,m
SP90046,J07,Shapiro3,Shapiro3,0.000000001,m
SP90046,J09,DMSO,DMSO,-1,m
SP90046,J24,DMSOJ24,DMSOJ24
SP90046,K01,DMSOK01,DMSOK01
SP90046,K03,Shapiro1,Shapiro1,1.00E-10,m
SP90046,K05,Shapiro2,Shapiro2,1.00E-10,m
SP90046,K07,Shapiro3,Shapiro3,1.00E-10,m
SP90046,K09,DMSO,DMSO,-1,m
SP90046,K23,DMSOK23,DMSOK23
SP90046,L02,DMSOL02,DMSOL02
SP90046,L03,Shapiro1,Shapiro1,1.00E-11,m
SP90046,L05,Shapiro2,Shapiro2,1.00E-11,m
SP90046,L07,Shapiro3,Shapiro3,1.00E-11,m
SP90046,L09,DMSO,DMSO,-1,m
SP90046,L24,DMSOL24,DMSOL24
SP90046,M01,DMSOM01,DMSOM01
SP90046,M03,Shapiro1,Shapiro1,1.00E-12,m
SP90046,M05,Shapiro2,Shapiro2,1.00E-12,m
SP90046,M07,Shapiro3,Shapiro3,1.00E-12,m
SP90046,M09,DMSO,DMSO,-1,m
SP90046,M23,DMSOM23,DMSOM23
SP90046,N02,DMSON02,DMSON02
SP90046,N03,Shapiro1,Shapiro1,1.00E-13,m
SP90046,N05,Shapiro2,Shapiro2,1.00E-13,m
SP90046,N07,Shapiro3,Shapiro3,1.00E-13,m
SP90046,N09,DMSO,DMSO,-1,m
SP90046,N24,DMSON24,DMSON24
SP90046,O01,DMSOO01,DMSOO01
SP90046,O03,Shapiro1,Shapiro1,1.00E-14,m
SP90046,O05,Shapiro2,Shapiro2,1.00E-14,m
SP90046,O07,Shapiro3,Shapiro3,1.00E-14,m
SP90046,O09,DMSO,DMSO,-1,m
SP90046,O23,DMSOO23,DMSOO23
SP90046,P02,DMSOP02,DMSOP02
SP90046,P03,Shapiro1,Shapiro1,1.00E-15,m
SP90046,P05,Shapiro2,Shapiro2,1.00E-15,m
SP90046,P07,Shapiro3,Shapiro3,1.00E-15,m
SP90046,P09,DMSO,DMSO,-1,m
SP90046,P24,DMSOP24,DMSOP24
