Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP10056,A01,DMSOA01,DMSOA01
SP10056,A03,088951A MIL1,088951A MIL1,9,m
SP10056,A04,94216(3.1) MAL1,94216(3.1) MAL1,9,m
SP10056,A05,088951A MIL2,088951A MIL2,9,m
SP10056,A06,94216(3.1) MAL2,94216(3.1) MAL2,9,m
SP10056,A07,088951A MIL3,088951A MIL3,9,m
SP10056,A08,94216(3.1) MAL3,94216(3.1) MAL3,9,m
SP10056,A09,088951A MIL4,088951A MIL4,9,m
SP10056,A10,94216(3.1) MAL4,94216(3.1) MAL4,9,m
SP10056,A11,088951A MIL5,088951A MIL5,9,m
SP10056,A12,94216(3.1) MAL5,94216(3.1) MAL5,9,m
SP10056,A13,088951A MIL6,088951A MIL6,9,m
SP10056,A14,94216(3.1) MAL6,94216(3.1) MAL6,9,m
SP10056,A15,088951A MIL7,088951A MIL7,9,m
SP10056,A16,94216(3.1) MAL7,94216(3.1) MAL7,9,m
SP10056,A17,088951A MIL8,088951A MIL8,9,m
SP10056,A18,94216(3.1) MAL8,94216(3.1) MAL8,9,m
SP10056,A19,088951A MIL9,088951A MIL9,9,m
SP10056,A20,94216(3.1) MAL9,94216(3.1) MAL9,9,m
SP10056,A21,088951A MIL10,088951A MIL10,9,m
SP10056,A22,94216(3.1) MAL10,94216(3.1) MAL10,9,m
SP10056,A23,DMSOA23,DMSOA23
SP10056,B02,DMSOB02,DMSOB02
SP10056,B24,DMSOB24,DMSOB24
SP10056,C01,DMSOC01,DMSOC01
SP10056,C03,088951A MIL11,088951A MIL11,9,m
SP10056,C04,94216(3.1) MAL11,94216(3.1) MAL11,9,m
SP10056,C05,088951A MIL12,088951A MIL12,9,m
SP10056,C06,94216(3.1) MAL12,94216(3.1) MAL12,9,m
SP10056,C07,088951A MIL13,088951A MIL13,9,m
SP10056,C08,94216(3.1) MAL13,94216(3.1) MAL13,9,m
SP10056,C09,088951A MIL14,088951A MIL14,9,m
SP10056,C10,94216(3.1) MAL14,94216(3.1) MAL14,9,m
SP10056,C11,088951A MIL15,088951A MIL15,9,m
SP10056,C12,94216(3.1) MAL15,94216(3.1) MAL15,9,m
SP10056,C13,088951A MIL16,088951A MIL16,9,m
SP10056,C14,94216(3.1) MAL16,94216(3.1) MAL16,9,m
SP10056,C15,088951A MIL17,088951A MIL17,9,m
SP10056,C16,94216(3.1) MAL17,94216(3.1) MAL17,9,m
SP10056,C17,088951A MIL18,088951A MIL18,9,m
SP10056,C18,94216(3.1) MAL18,94216(3.1) MAL18,9,m
SP10056,C19,088951A MIL19,088951A MIL19,9,m
SP10056,C20,94216(3.1) MAL19,94216(3.1) MAL19,9,m
SP10056,C21,088951A MIL20,088951A MIL20,9,m
SP10056,C22,94216(3.1) MAL20,94216(3.1) MAL20,9,m
SP10056,C23,DMSOC23,DMSOC23
SP10056,D02,DMSOD02,DMSOD02
SP10056,D24,DMSOD24,DMSOD24
SP10056,E01,DMSOE01,DMSOE01
SP10056,E03,088951A MIL21,088951A MIL21,9,m
SP10056,E04,94216(3.1) MAL21,94216(3.1) MAL21,9,m
SP10056,E05,088951A MIL22,088951A MIL22,9,m
SP10056,E06,94216(3.1) MAL22,94216(3.1) MAL22,9,m
SP10056,E07,088951A MIL23,088951A MIL23,9,m
SP10056,E08,94216(3.1) MAL23,94216(3.1) MAL23,9,m
SP10056,E09,088951A MIL24,088951A MIL24,9,m
SP10056,E10,94216(3.1) MAL24,94216(3.1) MAL24,9,m
SP10056,E11,088951A MIL25,088951A MIL25,9,m
SP10056,E12,94216(3.1) MAL25,94216(3.1) MAL25,9,m
SP10056,E13,088951A MIL26,088951A MIL26,9,m
SP10056,E14,94216(3.1) MAL26,94216(3.1) MAL26,9,m
SP10056,E15,088951A MIL27,088951A MIL27,9,m
SP10056,E16,94216(3.1) MAL27,94216(3.1) MAL27,9,m
SP10056,E17,088951A MIL28,088951A MIL28,9,m
SP10056,E18,94216(3.1) MAL28,94216(3.1) MAL28,9,m
SP10056,E19,088951A MIL29,088951A MIL29,9,m
SP10056,E20,94216(3.1) MAL29,94216(3.1) MAL29,9,m
SP10056,E21,088951A MIL30,088951A MIL30,9,m
SP10056,E22,94216(3.1) MAL30,94216(3.1) MAL30,9,m
SP10056,E23,DMSOE23,DMSOE23
SP10056,F02,DMSOF02,DMSOF02
SP10056,F24,DMSOF24,DMSOF24
SP10056,G01,DMSOG01,DMSOG01
SP10056,G03,088951A MIL31,088951A MIL31,9,m
SP10056,G04,94216(3.1) MAL31,94216(3.1) MAL31,9,m
SP10056,G05,088951A MIL32,088951A MIL32,9,m
SP10056,G06,94216(3.1) MAL32,94216(3.1) MAL32,9,m
SP10056,G07,088951A MIL33,088951A MIL33,9,m
SP10056,G08,94216(3.1) MAL33,94216(3.1) MAL33,9,m
SP10056,G09,088951A MIL34,088951A MIL34,9,m
SP10056,G10,94216(3.1) MAL34,94216(3.1) MAL34,9,m
SP10056,G11,088951A MIL35,088951A MIL35,9,m
SP10056,G12,94216(3.1) MAL35,94216(3.1) MAL35,9,m
SP10056,G13,088951A MIL36,088951A MIL36,9,m
SP10056,G14,94216(3.1) MAL36,94216(3.1) MAL36,9,m
SP10056,G15,088951A MIL37,088951A MIL37,9,m
SP10056,G16,94216(3.1) MAL37,94216(3.1) MAL37,9,m
SP10056,G17,088951A MIL38,088951A MIL38,9,m
SP10056,G18,94216(3.1) MAL38,94216(3.1) MAL38,9,m
SP10056,G19,088951A MIL39,088951A MIL39,9,m
SP10056,G20,94216(3.1) MAL39,94216(3.1) MAL39,9,m
SP10056,G21,088951A MI,088951A MI,100,m
SP10056,G22,94216(3.1) MA,94216(3.1) MA,100,m
SP10056,G23,DMSOG23,DMSOG23
SP10056,H02,DMSOH02,DMSOH02
SP10056,H24,DMSOH24,DMSOH24
SP10056,I01,DMSOI01,DMSOI01
SP10056,I03,088909A MAL1,088909A MAL1,9,m
SP10056,I05,088909A MAL2,088909A MAL2,9,m
SP10056,I07,088909A MAL3,088909A MAL3,9,m
SP10056,I09,088909A MAL4,088909A MAL4,9,m
SP10056,I11,088909A MAL5,088909A MAL5,9,m
SP10056,I13,088909A MAL6,088909A MAL6,9,m
SP10056,I15,088909A MAL7,088909A MAL7,9,m
SP10056,I17,088909A MAL8,088909A MAL8,9,m
SP10056,I19,088909A MAL9,088909A MAL9,9,m
SP10056,I21,088909A MAL10,088909A MAL10,9,m
SP10056,I23,DMSOI23,DMSOI23
SP10056,J02,DMSOJ02,DMSOJ02
SP10056,J24,DMSOJ24,DMSOJ24
SP10056,K01,DMSOK01,DMSOK01
SP10056,K03,088909A MAL11,088909A MAL11,9,m
SP10056,K05,088909A MAL12,088909A MAL12,9,m
SP10056,K07,088909A MAL13,088909A MAL13,9,m
SP10056,K09,088909A MAL14,088909A MAL14,9,m
SP10056,K11,088909A MAL15,088909A MAL15,9,m
SP10056,K13,088909A MAL16,088909A MAL16,9,m
SP10056,K15,088909A MAL17,088909A MAL17,9,m
SP10056,K17,088909A MAL18,088909A MAL18,9,m
SP10056,K19,088909A MAL19,088909A MAL19,9,m
SP10056,K21,088909A MAL20,088909A MAL20,9,m
SP10056,K23,DMSOK23,DMSOK23
SP10056,L02,DMSOL02,DMSOL02
SP10056,L24,DMSOL24,DMSOL24
SP10056,M01,DMSOM01,DMSOM01
SP10056,M03,088909A MAL21,088909A MAL21,9,m
SP10056,M05,088909A MAL22,088909A MAL22,9,m
SP10056,M07,088909A MAL23,088909A MAL23,9,m
SP10056,M09,088909A MAL24,088909A MAL24,9,m
SP10056,M11,088909A MAL25,088909A MAL25,9,m
SP10056,M13,088909A MAL26,088909A MAL26,9,m
SP10056,M15,088909A MAL27,088909A MAL27,9,m
SP10056,M17,088909A MAL28,088909A MAL28,9,m
SP10056,M19,088909A MAL29,088909A MAL29,9,m
SP10056,M21,088909A MAL30,088909A MAL30,9,m
SP10056,M23,DMSOM23,DMSOM23
SP10056,N02,DMSON02,DMSON02
SP10056,N24,DMSON24,DMSON24
SP10056,O01,DMSOO01,DMSOO01
SP10056,O03,088909A MAL31,088909A MAL31,9,m
SP10056,O05,088909A MAL32,088909A MAL32,9,m
SP10056,O07,088909A MAL33,088909A MAL33,9,m
SP10056,O09,088909A MAL34,088909A MAL34,9,m
SP10056,O11,088909A MAL35,088909A MAL35,9,m
SP10056,O13,088909A MAL36,088909A MAL36,9,m
SP10056,O15,088909A MAL37,088909A MAL37,9,m
SP10056,O17,088909A MAL38,088909A MAL38,9,m
SP10056,O19,088909A MAL39,088909A MAL39,9,m
SP10056,O21,088909A MA,088909A MA,100,m
SP10056,O23,DMSOO23,DMSOO23
SP10056,P02,DMSOP02,DMSOP02
SP10056,P24,DMSOP24,DMSOP24
