96 plate ID,96 plate number,96 well,384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
110546_H1,Plate 1,A02,AmagataBatch008,SP90103,A03,110546H1_3M,110546H1_3M,-1,m,3,1
Media Study,Plate 2,A02,AmagataBatch008,SP90103,A04,110734S,110734S,-1,m,4,1
110546_H1,Plate 1,A03,AmagataBatch008,SP90103,A05,110546H1_4M,110546H1_4M,-1,m,5,1
Media Study,Plate 2,A03,AmagataBatch008,SP90103,A06,110734A,110734A,-1,m,6,1
110546_H1,Plate 1,A04,AmagataBatch008,SP90103,A07,110546H1_5M,110546H1_5M,-1,m,7,1
Media Study,Plate 2,A04,AmagataBatch008,SP90103,A08,110734C,110734C,-1,m,8,1
110546_H1,Plate 1,A05,AmagataBatch008,SP90103,A09,110546H1_6M,110546H1_6M,-1,m,9,1
Media Study,Plate 2,A05,AmagataBatch008,SP90103,A10,110724S,110724S,-1,m,10,1
110546_H1,Plate 1,A06,AmagataBatch008,SP90103,A11,110546H1_7M,110546H1_7M,-1,m,11,1
Media Study,Plate 2,A06,AmagataBatch008,SP90103,A12,110724A,110724A,-1,m,12,1
110546_H1,Plate 1,A07,AmagataBatch008,SP90103,A13,110546H1_8M,110546H1_8M,-1,m,13,1
Media Study,Plate 2,A07,AmagataBatch008,SP90103,A14,110724C,110724C,-1,m,14,1
110546_H1,Plate 1,A08,AmagataBatch008,SP90103,A15,110546H1_9M,110546H1_9M,-1,m,15,1
Media Study,Plate 2,A08,AmagataBatch008,SP90103,A16,111013S,111013S,-1,m,16,1
110546_H1,Plate 1,A09,AmagataBatch008,SP90103,A17,110546H1_10M,110546H1_10M,-1,m,17,1
Media Study,Plate 2,A09,AmagataBatch008,SP90103,A18,111013A,111013A,-1,m,18,1
110546_H1,Plate 1,A10,AmagataBatch008,SP90103,A19,110546H1_11M,110546H1_11M,-1,m,19,1
Media Study,Plate 2,A10,AmagataBatch008,SP90103,A20,111013C,111013C,-1,m,20,1
110546_H1,Plate 1,A11,AmagataBatch008,SP90103,A21,110546H1_12M,110546H1_12M,-1,m,21,1
Media Study,Plate 2,A11,AmagataBatch008,SP90103,A22,110962S,110962S,-1,m,22,1
110546_H1,Plate 1,B02,AmagataBatch008,SP90103,C03,110546H1_13M,110546H1_13M,-1,m,3,3
Media Study,Plate 2,B02,AmagataBatch008,SP90103,C04,110962A,110962A,-1,m,4,3
110546_H1,Plate 1,B03,AmagataBatch008,SP90103,C05,110546H1_14M,110546H1_14M,-1,m,5,3
Media Study,Plate 2,B03,AmagataBatch008,SP90103,C06,110962C,110962C,-1,m,6,3
110546_H1,Plate 1,B04,AmagataBatch008,SP90103,C07,110546H1_15M,110546H1_15M,-1,m,7,3
Media Study,Plate 2,B04,AmagataBatch008,SP90103,C08,090819S,090819S,-1,m,8,3
110546_H1,Plate 1,B05,AmagataBatch008,SP90103,C09,110546H1_16M,110546H1_16M,-1,m,9,3
Media Study,Plate 2,B05,AmagataBatch008,SP90103,C10,090819A,090819A,-1,m,10,3
110546_H1,Plate 1,B06,AmagataBatch008,SP90103,C11,110546H1_17M,110546H1_17M,-1,m,11,3
Media Study,Plate 2,B06,AmagataBatch008,SP90103,C12,090819C,090819C,-1,m,12,3
110546_H1,Plate 1,B07,AmagataBatch008,SP90103,C13,110546H1_18M,110546H1_18M,-1,m,13,3
110546_H1,Plate 1,B08,AmagataBatch008,SP90103,C15,110546H1_19M,110546H1_19M,-1,m,15,3
110546_H1,Plate 1,B09,AmagataBatch008,SP90103,C17,110546H1_20M,110546H1_20M,-1,m,17,3
110546_H1,Plate 1,B10,AmagataBatch008,SP90103,C19,110546H1_21M,110546H1_21M,-1,m,19,3
110546_H1,Plate 1,B11,AmagataBatch008,SP90103,C21,110546H1_22M,110546H1_22M,-1,m,21,3
SmallScale01,Plate 3,B02,AmagataBatch008,SP90103,D03,110515,110515,-1,m,3,4
SmallScale02,Plate 4,B02,AmagataBatch008,SP90103,D04,91264,91264,-1,m,4,4
SmallScale01,Plate 3,B03,AmagataBatch008,SP90103,D05,91064,91064,-1,m,5,4
SmallScale02,Plate 4,B03,AmagataBatch008,SP90103,D06,110905,110905,-1,m,6,4
SmallScale01,Plate 3,B04,AmagataBatch008,SP90103,D07,91058,91058,-1,m,7,4
SmallScale02,Plate 4,B04,AmagataBatch008,SP90103,D08,110222,110222,-1,m,8,4
SmallScale01,Plate 3,B05,AmagataBatch008,SP90103,D09,111037,111037,-1,m,9,4
SmallScale02,Plate 4,B05,AmagataBatch008,SP90103,D10,110921,110921,-1,m,10,4
SmallScale01,Plate 3,B06,AmagataBatch008,SP90103,D11,91079,91079,-1,m,11,4
SmallScale02,Plate 4,B06,AmagataBatch008,SP90103,D12,102102,102102,-1,m,12,4
SmallScale01,Plate 3,B07,AmagataBatch008,SP90103,D13,110817,110817,-1,m,13,4
SmallScale02,Plate 4,B07,AmagataBatch008,SP90103,D14,110507,110507,-1,m,14,4
SmallScale01,Plate 3,B08,AmagataBatch008,SP90103,D15,110954,110954,-1,m,15,4
SmallScale02,Plate 4,B08,AmagataBatch008,SP90103,D16,110804,110804,-1,m,16,4
SmallScale01,Plate 3,B09,AmagataBatch008,SP90103,D17,110953,110953,-1,m,17,4
SmallScale02,Plate 4,B09,AmagataBatch008,SP90103,D18,110816,110816,-1,m,18,4
SmallScale01,Plate 3,B10,AmagataBatch008,SP90103,D19,110605,110605,-1,m,19,4
SmallScale02,Plate 4,B10,AmagataBatch008,SP90103,D20,110906,110906,-1,m,20,4
SmallScale01,Plate 3,B11,AmagataBatch008,SP90103,D21,91064,91064,-1,m,21,4
SmallScale02,Plate 4,B11,AmagataBatch008,SP90103,D22,110911,110911,-1,m,22,4
110546_H1,Plate 1,C02,AmagataBatch008,SP90103,E03,110546H1_23M,110546H1_23M,-1,m,3,5
110546_H1,Plate 1,C03,AmagataBatch008,SP90103,E05,110546H1_24M,110546H1_24M,-1,m,5,5
SmallScale01,Plate 3,C02,AmagataBatch008,SP90103,F03,110305,110305,-1,m,3,6
