Plate Map,Well,Human Readable Name,MoleculeID,Concentration,unit
SP20196,A01,DMSOA01,DMSOA01
SP20196,A03,1526E,1526E,100,m
SP20196,A04,1530F,1530F,100,m
SP20196,A05,1533D,1533D,100,m
SP20196,A06,1533E,1533E,100,m
SP20196,A07,1535E,1535E,100,m
SP20196,A08,1538E,1538E,100,m
SP20196,A09,1005E,1005E,100,m
SP20196,A10,1011E,1011E,100,m
SP20196,A11,1012E,1012E,100,m
SP20196,A12,1014E,1014E,100,m
SP20196,A13,1021D,1021D,100,m
SP20196,A14,1022D,1022D,100,m
SP20196,A15,1022F,1022F,100,m
SP20196,A16,2008D,2008D,100,m
SP20196,A17,2010D,2010D,100,m
SP20196,A18,2010E,2010E,100,m
SP20196,A19,2020D,2020D,100,m
SP20196,A20,2020E,2020E,100,m
SP20196,A21,2021D,2021D,100,m
SP20196,A22,2030E,2030E,100,m
SP20196,A23,DMSOA23,DMSOA23
SP20196,B02,DMSOB02,DMSOB02
SP20196,B03,1526E,1526E,50,m
SP20196,B04,1530F,1530F,50,m
SP20196,B05,1533D,1533D,50,m
SP20196,B06,1533E,1533E,50,m
SP20196,B07,1535E,1535E,50,m
SP20196,B08,1538E,1538E,50,m
SP20196,B09,1005E,1005E,50,m
SP20196,B10,1011E,1011E,50,m
SP20196,B11,1012E,1012E,50,m
SP20196,B12,1014E,1014E,50,m
SP20196,B13,1021D,1021D,50,m
SP20196,B14,1022D,1022D,50,m
SP20196,B15,1022F,1022F,50,m
SP20196,B16,2008D,2008D,50,m
SP20196,B17,2010D,2010D,50,m
SP20196,B18,2010E,2010E,50,m
SP20196,B19,2020D,2020D,50,m
SP20196,B20,2020E,2020E,50,m
SP20196,B21,2021D,2021D,50,m
SP20196,B22,2030E,2030E,50,m
SP20196,B24,DMSOB24,DMSOB24
SP20196,C01,DMSOC01,DMSOC01
SP20196,C03,1526E,1526E,25,m
SP20196,C04,1530F,1530F,25,m
SP20196,C05,1533D,1533D,25,m
SP20196,C06,1533E,1533E,25,m
SP20196,C07,1535E,1535E,25,m
SP20196,C08,1538E,1538E,25,m
SP20196,C09,1005E,1005E,25,m
SP20196,C10,1011E,1011E,25,m
SP20196,C11,1012E,1012E,25,m
SP20196,C12,1014E,1014E,25,m
SP20196,C13,1021D,1021D,25,m
SP20196,C14,1022D,1022D,25,m
SP20196,C15,1022F,1022F,25,m
SP20196,C16,2008D,2008D,25,m
SP20196,C17,2010D,2010D,25,m
SP20196,C18,2010E,2010E,25,m
SP20196,C19,2020D,2020D,25,m
SP20196,C20,2020E,2020E,25,m
SP20196,C21,2021D,2021D,25,m
SP20196,C22,2030E,2030E,25,m
SP20196,C23,DMSOC23,DMSOC23
SP20196,D02,DMSOD02,DMSOD02
SP20196,D03,1526E,1526E,12.5,m
SP20196,D04,1530F,1530F,12.5,m
SP20196,D05,1533D,1533D,12.5,m
SP20196,D06,1533E,1533E,12.5,m
SP20196,D07,1535E,1535E,12.5,m
SP20196,D08,1538E,1538E,12.5,m
SP20196,D09,1005E,1005E,12.5,m
SP20196,D10,1011E,1011E,12.5,m
SP20196,D11,1012E,1012E,12.5,m
SP20196,D12,1014E,1014E,12.5,m
SP20196,D13,1021D,1021D,12.5,m
SP20196,D14,1022D,1022D,12.5,m
SP20196,D15,1022F,1022F,12.5,m
SP20196,D16,2008D,2008D,12.5,m
SP20196,D17,2010D,2010D,12.5,m
SP20196,D18,2010E,2010E,12.5,m
SP20196,D19,2020D,2020D,12.5,m
SP20196,D20,2020E,2020E,12.5,m
SP20196,D21,2021D,2021D,12.5,m
SP20196,D22,2030E,2030E,12.5,m
SP20196,D24,DMSOD24,DMSOD24
SP20196,E01,DMSOE01,DMSOE01
SP20196,E03,1526E,1526E,6.25,m
SP20196,E04,1530F,1530F,6.25,m
SP20196,E05,1533D,1533D,6.25,m
SP20196,E06,1533E,1533E,6.25,m
SP20196,E07,1535E,1535E,6.25,m
SP20196,E08,1538E,1538E,6.25,m
SP20196,E09,1005E,1005E,6.25,m
SP20196,E10,1011E,1011E,6.25,m
SP20196,E11,1012E,1012E,6.25,m
SP20196,E12,1014E,1014E,6.25,m
SP20196,E13,1021D,1021D,6.25,m
SP20196,E14,1022D,1022D,6.25,m
SP20196,E15,1022F,1022F,6.25,m
SP20196,E16,2008D,2008D,6.25,m
SP20196,E17,2010D,2010D,6.25,m
SP20196,E18,2010E,2010E,6.25,m
SP20196,E19,2020D,2020D,6.25,m
SP20196,E20,2020E,2020E,6.25,m
SP20196,E21,2021D,2021D,6.25,m
SP20196,E22,2030E,2030E,6.25,m
SP20196,E23,DMSOE23,DMSOE23
SP20196,F02,DMSOF02,DMSOF02
SP20196,F03,1526E,1526E,3.125,m
SP20196,F04,1530F,1530F,3.125,m
SP20196,F05,1533D,1533D,3.125,m
SP20196,F06,1533E,1533E,3.125,m
SP20196,F07,1535E,1535E,3.125,m
SP20196,F08,1538E,1538E,3.125,m
SP20196,F09,1005E,1005E,3.125,m
SP20196,F10,1011E,1011E,3.125,m
SP20196,F11,1012E,1012E,3.125,m
SP20196,F12,1014E,1014E,3.125,m
SP20196,F13,1021D,1021D,3.125,m
SP20196,F14,1022D,1022D,3.125,m
SP20196,F15,1022F,1022F,3.125,m
SP20196,F16,2008D,2008D,3.125,m
SP20196,F17,2010D,2010D,3.125,m
SP20196,F18,2010E,2010E,3.125,m
SP20196,F19,2020D,2020D,3.125,m
SP20196,F20,2020E,2020E,3.125,m
SP20196,F21,2021D,2021D,3.125,m
SP20196,F22,2030E,2030E,3.125,m
SP20196,F24,DMSOF24,DMSOF24
SP20196,G01,DMSOG01,DMSOG01
SP20196,G03,1526E,1526E,1.5625,m
SP20196,G04,1530F,1530F,1.5625,m
SP20196,G05,1533D,1533D,1.5625,m
SP20196,G06,1533E,1533E,1.5625,m
SP20196,G07,1535E,1535E,1.5625,m
SP20196,G08,1538E,1538E,1.5625,m
SP20196,G09,1005E,1005E,1.5625,m
SP20196,G10,1011E,1011E,1.5625,m
SP20196,G11,1012E,1012E,1.5625,m
SP20196,G12,1014E,1014E,1.5625,m
SP20196,G13,1021D,1021D,1.5625,m
SP20196,G14,1022D,1022D,1.5625,m
SP20196,G15,1022F,1022F,1.5625,m
SP20196,G16,2008D,2008D,1.5625,m
SP20196,G17,2010D,2010D,1.5625,m
SP20196,G18,2010E,2010E,1.5625,m
SP20196,G19,2020D,2020D,1.5625,m
SP20196,G20,2020E,2020E,1.5625,m
SP20196,G21,2021D,2021D,1.5625,m
SP20196,G22,2030E,2030E,1.5625,m
SP20196,G23,DMSOG23,DMSOG23
SP20196,H02,DMSOH02,DMSOH02
SP20196,H03,1526E,1526E,0.78125,m
SP20196,H04,1530F,1530F,0.78125,m
SP20196,H05,1533D,1533D,0.78125,m
SP20196,H06,1533E,1533E,0.78125,m
SP20196,H07,1535E,1535E,0.78125,m
SP20196,H08,1538E,1538E,0.78125,m
SP20196,H09,1005E,1005E,0.78125,m
SP20196,H10,1011E,1011E,0.78125,m
SP20196,H11,1012E,1012E,0.78125,m
SP20196,H12,1014E,1014E,0.78125,m
SP20196,H13,1021D,1021D,0.78125,m
SP20196,H14,1022D,1022D,0.78125,m
SP20196,H15,1022F,1022F,0.78125,m
SP20196,H16,2008D,2008D,0.78125,m
SP20196,H17,2010D,2010D,0.78125,m
SP20196,H18,2010E,2010E,0.78125,m
SP20196,H19,2020D,2020D,0.78125,m
SP20196,H20,2020E,2020E,0.78125,m
SP20196,H21,2021D,2021D,0.78125,m
SP20196,H22,2030E,2030E,0.78125,m
SP20196,H24,DMSOH24,DMSOH24
SP20196,I01,DMSOI01,DMSOI01
SP20196,I03,1526E,1526E,0.390625,m
SP20196,I04,1530F,1530F,0.390625,m
SP20196,I05,1533D,1533D,0.390625,m
SP20196,I06,1533E,1533E,0.390625,m
SP20196,I07,1535E,1535E,0.390625,m
SP20196,I08,1538E,1538E,0.390625,m
SP20196,I09,1005E,1005E,0.390625,m
SP20196,I10,1011E,1011E,0.390625,m
SP20196,I11,1012E,1012E,0.390625,m
SP20196,I12,1014E,1014E,0.390625,m
SP20196,I13,1021D,1021D,0.390625,m
SP20196,I14,1022D,1022D,0.390625,m
SP20196,I15,1022F,1022F,0.390625,m
SP20196,I16,2008D,2008D,0.390625,m
SP20196,I17,2010D,2010D,0.390625,m
SP20196,I18,2010E,2010E,0.390625,m
SP20196,I19,2020D,2020D,0.390625,m
SP20196,I20,2020E,2020E,0.390625,m
SP20196,I21,2021D,2021D,0.390625,m
SP20196,I22,2030E,2030E,0.390625,m
SP20196,I23,DMSOI23,DMSOI23
SP20196,J02,DMSOJ02,DMSOJ02
SP20196,J03,1526E,1526E,0.1953125,m
SP20196,J04,1530F,1530F,0.1953125,m
SP20196,J05,1533D,1533D,0.1953125,m
SP20196,J06,1533E,1533E,0.1953125,m
SP20196,J07,1535E,1535E,0.1953125,m
SP20196,J08,1538E,1538E,0.1953125,m
SP20196,J09,1005E,1005E,0.1953125,m
SP20196,J10,1011E,1011E,0.1953125,m
SP20196,J11,1012E,1012E,0.1953125,m
SP20196,J12,1014E,1014E,0.1953125,m
SP20196,J13,1021D,1021D,0.1953125,m
SP20196,J14,1022D,1022D,0.1953125,m
SP20196,J15,1022F,1022F,0.1953125,m
SP20196,J16,2008D,2008D,0.1953125,m
SP20196,J17,2010D,2010D,0.1953125,m
SP20196,J18,2010E,2010E,0.1953125,m
SP20196,J19,2020D,2020D,0.1953125,m
SP20196,J20,2020E,2020E,0.1953125,m
SP20196,J21,2021D,2021D,0.1953125,m
SP20196,J22,2030E,2030E,0.1953125,m
SP20196,J24,DMSOJ24,DMSOJ24
SP20196,K01,DMSOK01,DMSOK01
SP20196,K03,1526E,1526E,0.09765625,m
SP20196,K04,1530F,1530F,0.09765625,m
SP20196,K05,1533D,1533D,0.09765625,m
SP20196,K06,1533E,1533E,0.09765625,m
SP20196,K07,1535E,1535E,0.09765625,m
SP20196,K08,1538E,1538E,0.09765625,m
SP20196,K09,1005E,1005E,0.09765625,m
SP20196,K10,1011E,1011E,0.09765625,m
SP20196,K11,1012E,1012E,0.09765625,m
SP20196,K12,1014E,1014E,0.09765625,m
SP20196,K13,1021D,1021D,0.09765625,m
SP20196,K14,1022D,1022D,0.09765625,m
SP20196,K15,1022F,1022F,0.09765625,m
SP20196,K16,2008D,2008D,0.09765625,m
SP20196,K17,2010D,2010D,0.09765625,m
SP20196,K18,2010E,2010E,0.09765625,m
SP20196,K19,2020D,2020D,0.09765625,m
SP20196,K20,2020E,2020E,0.09765625,m
SP20196,K21,2021D,2021D,0.09765625,m
SP20196,K22,2030E,2030E,0.09765625,m
SP20196,K23,DMSOK23,DMSOK23
SP20196,L02,DMSOL02,DMSOL02
SP20196,L03,1526E,1526E,0.048828125,m
SP20196,L04,1530F,1530F,0.048828125,m
SP20196,L05,1533D,1533D,0.048828125,m
SP20196,L06,1533E,1533E,0.048828125,m
SP20196,L07,1535E,1535E,0.048828125,m
SP20196,L08,1538E,1538E,0.048828125,m
SP20196,L09,1005E,1005E,0.048828125,m
SP20196,L10,1011E,1011E,0.048828125,m
SP20196,L11,1012E,1012E,0.048828125,m
SP20196,L12,1014E,1014E,0.048828125,m
SP20196,L13,1021D,1021D,0.048828125,m
SP20196,L14,1022D,1022D,0.048828125,m
SP20196,L15,1022F,1022F,0.048828125,m
SP20196,L16,2008D,2008D,0.048828125,m
SP20196,L17,2010D,2010D,0.048828125,m
SP20196,L18,2010E,2010E,0.048828125,m
SP20196,L19,2020D,2020D,0.048828125,m
SP20196,L20,2020E,2020E,0.048828125,m
SP20196,L21,2021D,2021D,0.048828125,m
SP20196,L22,2030E,2030E,0.048828125,m
SP20196,L24,DMSOL24,DMSOL24
SP20196,M01,DMSOM01,DMSOM01
SP20196,M03,1526E,1526E,0.024414063,m
SP20196,M04,1530F,1530F,0.024414063,m
SP20196,M05,1533D,1533D,0.024414063,m
SP20196,M06,1533E,1533E,0.024414063,m
SP20196,M07,1535E,1535E,0.024414063,m
SP20196,M08,1538E,1538E,0.024414063,m
SP20196,M09,1005E,1005E,0.024414063,m
SP20196,M10,1011E,1011E,0.024414063,m
SP20196,M11,1012E,1012E,0.024414063,m
SP20196,M12,1014E,1014E,0.024414063,m
SP20196,M13,1021D,1021D,0.024414063,m
SP20196,M14,1022D,1022D,0.024414063,m
SP20196,M15,1022F,1022F,0.024414063,m
SP20196,M16,2008D,2008D,0.024414063,m
SP20196,M17,2010D,2010D,0.024414063,m
SP20196,M18,2010E,2010E,0.024414063,m
SP20196,M19,2020D,2020D,0.024414063,m
SP20196,M20,2020E,2020E,0.024414063,m
SP20196,M21,2021D,2021D,0.024414063,m
SP20196,M22,2030E,2030E,0.024414063,m
SP20196,M23,DMSOM23,DMSOM23
SP20196,N02,DMSON02,DMSON02
SP20196,N03,1526E,1526E,0.012207031,m
SP20196,N04,1530F,1530F,0.012207031,m
SP20196,N05,1533D,1533D,0.012207031,m
SP20196,N06,1533E,1533E,0.012207031,m
SP20196,N07,1535E,1535E,0.012207031,m
SP20196,N08,1538E,1538E,0.012207031,m
SP20196,N09,1005E,1005E,0.012207031,m
SP20196,N10,1011E,1011E,0.012207031,m
SP20196,N11,1012E,1012E,0.012207031,m
SP20196,N12,1014E,1014E,0.012207031,m
SP20196,N13,1021D,1021D,0.012207031,m
SP20196,N14,1022D,1022D,0.012207031,m
SP20196,N15,1022F,1022F,0.012207031,m
SP20196,N16,2008D,2008D,0.012207031,m
SP20196,N17,2010D,2010D,0.012207031,m
SP20196,N18,2010E,2010E,0.012207031,m
SP20196,N19,2020D,2020D,0.012207031,m
SP20196,N20,2020E,2020E,0.012207031,m
SP20196,N21,2021D,2021D,0.012207031,m
SP20196,N22,2030E,2030E,0.012207031,m
SP20196,N24,DMSON24,DMSON24
SP20196,O01,DMSOO01,DMSOO01
SP20196,O03,1526E,1526E,0.006103516,m
SP20196,O04,1530F,1530F,0.006103516,m
SP20196,O05,1533D,1533D,0.006103516,m
SP20196,O06,1533E,1533E,0.006103516,m
SP20196,O07,1535E,1535E,0.006103516,m
SP20196,O08,1538E,1538E,0.006103516,m
SP20196,O09,1005E,1005E,0.006103516,m
SP20196,O10,1011E,1011E,0.006103516,m
SP20196,O11,1012E,1012E,0.006103516,m
SP20196,O12,1014E,1014E,0.006103516,m
SP20196,O13,1021D,1021D,0.006103516,m
SP20196,O14,1022D,1022D,0.006103516,m
SP20196,O15,1022F,1022F,0.006103516,m
SP20196,O16,2008D,2008D,0.006103516,m
SP20196,O17,2010D,2010D,0.006103516,m
SP20196,O18,2010E,2010E,0.006103516,m
SP20196,O19,2020D,2020D,0.006103516,m
SP20196,O20,2020E,2020E,0.006103516,m
SP20196,O21,2021D,2021D,0.006103516,m
SP20196,O22,2030E,2030E,0.006103516,m
SP20196,O23,DMSOO23,DMSOO23
SP20196,P02,DMSOP02,DMSOP02
SP20196,P03,1526E,1526E,0.003051758,m
SP20196,P04,1530F,1530F,0.003051758,m
SP20196,P05,1533D,1533D,0.003051758,m
SP20196,P06,1533E,1533E,0.003051758,m
SP20196,P07,1535E,1535E,0.003051758,m
SP20196,P08,1538E,1538E,0.003051758,m
SP20196,P09,1005E,1005E,0.003051758,m
SP20196,P10,1011E,1011E,0.003051758,m
SP20196,P11,1012E,1012E,0.003051758,m
SP20196,P12,1014E,1014E,0.003051758,m
SP20196,P13,1021D,1021D,0.003051758,m
SP20196,P14,1022D,1022D,0.003051758,m
SP20196,P15,1022F,1022F,0.003051758,m
SP20196,P16,2008D,2008D,0.003051758,m
SP20196,P17,2010D,2010D,0.003051758,m
SP20196,P18,2010E,2010E,0.003051758,m
SP20196,P19,2020D,2020D,0.003051758,m
SP20196,P20,2020E,2020E,0.003051758,m
SP20196,P21,2021D,2021D,0.003051758,m
SP20196,P22,2030E,2030E,0.003051758,m
SP20196,P24,DMSOP24,DMSOP24
