384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
ALP0023-L,SP30056,A03,142_2_22,142_2_22,1,m,3,1
ALP0023-L,SP30056,A04,142_2_23,142_2_23,1,m,4,1
ALP0023-L,SP30056,A05,142_2_24,142_2_24,1,m,5,1
ALP0023-L,SP30056,A06,142_2_25,142_2_25,1,m,6,1
ALP0023-L,SP30056,A07,142_2_26,142_2_26,1,m,7,1
ALP0023-L,SP30056,A08,142_2_27,142_2_27,1,m,8,1
ALP0023-L,SP30056,A09,142_2_28,142_2_28,1,m,9,1
ALP0023-L,SP30056,A10,142_2_29,142_2_29,1,m,10,1
ALP0023-L,SP30056,A11,142_2_30,142_2_30,1,m,11,1
ALP0023-L,SP30056,A12,142_2_31,142_2_31,1,m,12,1
ALP0023-L,SP30056,A13,142_2_32,142_2_32,1,m,13,1
ALP0023-L,SP30056,A14,142_2_33,142_2_33,1,m,14,1
ALP0023-L,SP30056,A15,142_2_34,142_2_34,1,m,15,1
ALP0023-L,SP30056,A16,142_2_38,142_2_38,1,m,16,1
ALP0023-L,SP30056,A17,142_2_41,142_2_41,1,m,17,1
ALP0023-L,SP30056,A18,142_2_46,142_2_46,1,m,18,1
ALP0023-L,SP30056,A19,142_2_47,142_2_47,1,m,19,1
ALP0023-L,SP30056,A20,142_2_48,142_2_48,1,m,20,1
ALP0023-L,SP30056,A21,142_3_01,142_3_01,1,m,21,1
ALP0023-L,SP30056,A22,149_2_05,149_2_05,1,m,22,1
ALP0023-L,SP30056,B03,142_2_22,142_2_22,0.5,m,3,2
ALP0023-L,SP30056,B04,142_2_23,142_2_23,0.5,m,4,2
ALP0023-L,SP30056,B05,142_2_24,142_2_24,0.5,m,5,2
ALP0023-L,SP30056,B06,142_2_25,142_2_25,0.5,m,6,2
ALP0023-L,SP30056,B07,142_2_26,142_2_26,0.5,m,7,2
ALP0023-L,SP30056,B08,142_2_27,142_2_27,0.5,m,8,2
ALP0023-L,SP30056,B09,142_2_28,142_2_28,0.5,m,9,2
ALP0023-L,SP30056,B10,142_2_29,142_2_29,0.5,m,10,2
ALP0023-L,SP30056,B11,142_2_30,142_2_30,0.5,m,11,2
ALP0023-L,SP30056,B12,142_2_31,142_2_31,0.5,m,12,2
ALP0023-L,SP30056,B13,142_2_32,142_2_32,0.5,m,13,2
ALP0023-L,SP30056,B14,142_2_33,142_2_33,0.5,m,14,2
ALP0023-L,SP30056,B15,142_2_34,142_2_34,0.5,m,15,2
ALP0023-L,SP30056,B16,142_2_38,142_2_38,0.5,m,16,2
ALP0023-L,SP30056,B17,142_2_41,142_2_41,0.5,m,17,2
ALP0023-L,SP30056,B18,142_2_46,142_2_46,0.5,m,18,2
ALP0023-L,SP30056,B19,142_2_47,142_2_47,0.5,m,19,2
ALP0023-L,SP30056,B20,142_2_48,142_2_48,0.5,m,20,2
ALP0023-L,SP30056,B21,142_3_01,142_3_01,0.5,m,21,2
ALP0023-L,SP30056,B22,149_2_05,149_2_05,0.5,m,22,2
ALP0023-L,SP30056,C03,142_2_22,142_2_22,0.25,m,3,3
ALP0023-L,SP30056,C04,142_2_23,142_2_23,0.25,m,4,3
ALP0023-L,SP30056,C05,142_2_24,142_2_24,0.25,m,5,3
ALP0023-L,SP30056,C06,142_2_25,142_2_25,0.25,m,6,3
ALP0023-L,SP30056,C07,142_2_26,142_2_26,0.25,m,7,3
ALP0023-L,SP30056,C08,142_2_27,142_2_27,0.25,m,8,3
ALP0023-L,SP30056,C09,142_2_28,142_2_28,0.25,m,9,3
ALP0023-L,SP30056,C10,142_2_29,142_2_29,0.25,m,10,3
ALP0023-L,SP30056,C11,142_2_30,142_2_30,0.25,m,11,3
ALP0023-L,SP30056,C12,142_2_31,142_2_31,0.25,m,12,3
ALP0023-L,SP30056,C13,142_2_32,142_2_32,0.25,m,13,3
ALP0023-L,SP30056,C14,142_2_33,142_2_33,0.25,m,14,3
ALP0023-L,SP30056,C15,142_2_34,142_2_34,0.25,m,15,3
ALP0023-L,SP30056,C16,142_2_38,142_2_38,0.25,m,16,3
ALP0023-L,SP30056,C17,142_2_41,142_2_41,0.25,m,17,3
ALP0023-L,SP30056,C18,142_2_46,142_2_46,0.25,m,18,3
ALP0023-L,SP30056,C19,142_2_47,142_2_47,0.25,m,19,3
ALP0023-L,SP30056,C20,142_2_48,142_2_48,0.25,m,20,3
ALP0023-L,SP30056,C21,142_3_01,142_3_01,0.25,m,21,3
ALP0023-L,SP30056,C22,149_2_05,149_2_05,0.25,m,22,3
ALP0023-L,SP30056,D03,142_2_22,142_2_22,0.125,m,3,4
ALP0023-L,SP30056,D04,142_2_23,142_2_23,0.125,m,4,4
ALP0023-L,SP30056,D05,142_2_24,142_2_24,0.125,m,5,4
ALP0023-L,SP30056,D06,142_2_25,142_2_25,0.125,m,6,4
ALP0023-L,SP30056,D07,142_2_26,142_2_26,0.125,m,7,4
ALP0023-L,SP30056,D08,142_2_27,142_2_27,0.125,m,8,4
ALP0023-L,SP30056,D09,142_2_28,142_2_28,0.125,m,9,4
ALP0023-L,SP30056,D10,142_2_29,142_2_29,0.125,m,10,4
ALP0023-L,SP30056,D11,142_2_30,142_2_30,0.125,m,11,4
ALP0023-L,SP30056,D12,142_2_31,142_2_31,0.125,m,12,4
ALP0023-L,SP30056,D13,142_2_32,142_2_32,0.125,m,13,4
ALP0023-L,SP30056,D14,142_2_33,142_2_33,0.125,m,14,4
ALP0023-L,SP30056,D15,142_2_34,142_2_34,0.125,m,15,4
ALP0023-L,SP30056,D16,142_2_38,142_2_38,0.125,m,16,4
ALP0023-L,SP30056,D17,142_2_41,142_2_41,0.125,m,17,4
ALP0023-L,SP30056,D18,142_2_46,142_2_46,0.125,m,18,4
ALP0023-L,SP30056,D19,142_2_47,142_2_47,0.125,m,19,4
ALP0023-L,SP30056,D20,142_2_48,142_2_48,0.125,m,20,4
ALP0023-L,SP30056,D21,142_3_01,142_3_01,0.125,m,21,4
ALP0023-L,SP30056,D22,149_2_05,149_2_05,0.125,m,22,4
ALP0023-L,SP30056,E03,142_2_22,142_2_22,0.0625,m,3,5
ALP0023-L,SP30056,E04,142_2_23,142_2_23,0.0625,m,4,5
ALP0023-L,SP30056,E05,142_2_24,142_2_24,0.0625,m,5,5
ALP0023-L,SP30056,E06,142_2_25,142_2_25,0.0625,m,6,5
ALP0023-L,SP30056,E07,142_2_26,142_2_26,0.0625,m,7,5
ALP0023-L,SP30056,E08,142_2_27,142_2_27,0.0625,m,8,5
ALP0023-L,SP30056,E09,142_2_28,142_2_28,0.0625,m,9,5
ALP0023-L,SP30056,E10,142_2_29,142_2_29,0.0625,m,10,5
ALP0023-L,SP30056,E11,142_2_30,142_2_30,0.0625,m,11,5
ALP0023-L,SP30056,E12,142_2_31,142_2_31,0.0625,m,12,5
ALP0023-L,SP30056,E13,142_2_32,142_2_32,0.0625,m,13,5
ALP0023-L,SP30056,E14,142_2_33,142_2_33,0.0625,m,14,5
ALP0023-L,SP30056,E15,142_2_34,142_2_34,0.0625,m,15,5
ALP0023-L,SP30056,E16,142_2_38,142_2_38,0.0625,m,16,5
