384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
SFU Pure003,SP20260,A03,1-FD-001,1-FD-001,10,m,3,1
SFU Pure003,SP20260,B03,1-FD-001,1-FD-001,5,m,3,2
SFU Pure003,SP20260,C03,1-FD-001,1-FD-001,2.5,m,3,3
SFU Pure003,SP20260,D03,1-FD-001,1-FD-001,1.25,m,3,4
SFU Pure003,SP20260,E03,1-FD-001,1-FD-001,0.625,m,3,5
SFU Pure003,SP20260,F03,1-FD-001,1-FD-001,0.3125,m,3,6
SFU Pure003,SP20260,G03,1-FD-001,1-FD-001,0.15625,m,3,7
SFU Pure003,SP20260,H03,1-FD-001,1-FD-001,0.078125,m,3,8
SFU Pure003,SP20260,I03,1-FD-026,1-FD-026,10,m,3,9
SFU Pure003,SP20260,J03,1-FD-026,1-FD-026,5,m,3,10
SFU Pure003,SP20260,K03,1-FD-026,1-FD-026,2.5,m,3,11
SFU Pure003,SP20260,L03,1-FD-026,1-FD-026,1.25,m,3,12
SFU Pure003,SP20260,M03,1-FD-026,1-FD-026,0.625,m,3,13
SFU Pure003,SP20260,N03,1-FD-026,1-FD-026,0.3125,m,3,14
SFU Pure003,SP20260,O03,1-FD-026,1-FD-026,0.15625,m,3,15
SFU Pure003,SP20260,P03,1-FD-026,1-FD-026,0.078125,m,3,16
SFU Pure003,SP20260,A04,1-FD-002,1-FD-002,10,m,4,1
SFU Pure003,SP20260,B04,1-FD-002,1-FD-002,5,m,4,2
SFU Pure003,SP20260,C04,1-FD-002,1-FD-002,2.5,m,4,3
SFU Pure003,SP20260,D04,1-FD-002,1-FD-002,1.25,m,4,4
SFU Pure003,SP20260,E04,1-FD-002,1-FD-002,0.625,m,4,5
SFU Pure003,SP20260,F04,1-FD-002,1-FD-002,0.3125,m,4,6
SFU Pure003,SP20260,G04,1-FD-002,1-FD-002,0.15625,m,4,7
SFU Pure003,SP20260,H04,1-FD-002,1-FD-002,0.078125,m,4,8
SFU Pure003,SP20260,I04,1-FD-027,1-FD-027,10,m,4,9
SFU Pure003,SP20260,J04,1-FD-027,1-FD-027,5,m,4,10
SFU Pure003,SP20260,K04,1-FD-027,1-FD-027,2.5,m,4,11
SFU Pure003,SP20260,L04,1-FD-027,1-FD-027,1.25,m,4,12
SFU Pure003,SP20260,M04,1-FD-027,1-FD-027,0.625,m,4,13
SFU Pure003,SP20260,N04,1-FD-027,1-FD-027,0.3125,m,4,14
SFU Pure003,SP20260,O04,1-FD-027,1-FD-027,0.15625,m,4,15
SFU Pure003,SP20260,P04,1-FD-027,1-FD-027,0.078125,m,4,16
SFU Pure003,SP20260,A05,1-FD-003,1-FD-003,10,m,5,1
