Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
SP20035,A01,DMSOA01,DMSOA01
SP20035,A03,RLUS-1383A,RLUS-1383A,-1,m
SP20035,A04,RLUS-1396A,RLUS-1396A,-1,m
SP20035,A05,RLUS-1383B,RLUS-1383B,-1,m
SP20035,A06,RLUS-1396B,RLUS-1396B,-1,m
SP20035,A07,RLUS-1383C,RLUS-1383C,-1,m
SP20035,A08,RLUS-1396C,RLUS-1396C,-1,m
SP20035,A09,RLUS-1383D,RLUS-1383D,-1,m
SP20035,A10,RLUS-1396D,RLUS-1396D,-1,m
SP20035,A11,RLUS-1383E,RLUS-1383E,-1,m
SP20035,A12,RLUS-1396E,RLUS-1396E,-1,m
SP20035,A13,RLUS-1383F,RLUS-1383F,-1,m
SP20035,A14,RLUS-1396F,RLUS-1396F,-1,m
SP20035,A15,RLUS-1384A,RLUS-1384A,-1,m
SP20035,A16,RLUS-1397A,RLUS-1397A,-1,m
SP20035,A17,RLUS-1384B,RLUS-1384B,-1,m
SP20035,A18,RLUS-1397B,RLUS-1397B,-1,m
SP20035,A19,RLUS-1384C,RLUS-1384C,-1,m
SP20035,A20,RLUS-1397C,RLUS-1397C,-1,m
SP20035,A21,RLUS-1384D,RLUS-1384D,-1,m
SP20035,A22,RLUS-1397D,RLUS-1397D,-1,m
SP20035,A23,DMSOA23,DMSOA23
SP20035,B02,DMSOB02,DMSOB02
SP20035,B03,RLUS-1409A,RLUS-1409A,-1,m
SP20035,B04,RLUS-1422A,RLUS-1422A,-1,m
SP20035,B05,RLUS-1409B,RLUS-1409B,-1,m
SP20035,B06,RLUS-1422B,RLUS-1422B,-1,m
SP20035,B07,RLUS-1409C,RLUS-1409C,-1,m
SP20035,B08,RLUS-1422C,RLUS-1422C,-1,m
SP20035,B09,RLUS-1409D,RLUS-1409D,-1,m
SP20035,B10,RLUS-1422D,RLUS-1422D,-1,m
SP20035,B11,RLUS-1409E,RLUS-1409E,-1,m
SP20035,B12,RLUS-1422E,RLUS-1422E,-1,m
