384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
BL_I_157_2ndGen,SP20231,E22,BL-I-150,BL-I-150,0.061035156,m
BL_I_157_2ndGen,SP20231,F03,BL-I-130,BL-I-130,3.90625,m
BL_I_157_2ndGen,SP20231,F04,BL-I-131,BL-I-131,3.90625,m
BL_I_157_2ndGen,SP20231,F05,BL-I-132,BL-I-132,3.90625,m
BL_I_157_2ndGen,SP20231,F06,BL-I-152,BL-I-152,1.953125,m
BL_I_157_2ndGen,SP20231,F07,BL-I-155,BL-I-155,3.90625,m
BL_I_157_2ndGen,SP20231,F08,BL-I-108,BL-I-108,3.90625,m
BL_I_157_2ndGen,SP20231,F09,BL-I-136,BL-I-136,3.90625,m
BL_I_157_2ndGen,SP20231,F10,BL-I-142,BL-I-142,3.90625,m
BL_I_157_2ndGen,SP20231,F11,BL-I-151,BL-I-151,3.90625,m
BL_I_157_2ndGen,SP20231,F12,BL-I-148,BL-I-148,3.90625,m
BL_I_157_2ndGen,SP20231,F13,BL_I_171,BL_I_171,0.298828125,m
BL_I_157_2ndGen,SP20231,F14,BL_I_162,BL_I_162,0.030517578,m
BL_I_157_2ndGen,SP20231,F15,BL_I_161,BL_I_161,0.030517578,m
BL_I_157_2ndGen,SP20231,F16,BL_I_160,BL_I_160,0.061035156,m
BL_I_157_2ndGen,SP20231,F17,BL-I-156-483,BL-I-156-483,0.122070313,m
BL_I_157_2ndGen,SP20231,F18,BL-I-156-373,BL-I-156-373,0.122070313,m
BL_I_157_2ndGen,SP20231,F19,BL-I-153,BL-I-153,0.122070313,m
BL_I_157_2ndGen,SP20231,F20,BL-I-145,BL-I-145,0.122070313,m
BL_I_157_2ndGen,SP20231,F21,BL-I-135,BL-I-135,0.122070313,m
BL_I_157_2ndGen,SP20231,F22,BL-I-150,BL-I-150,0.122070313,m
BL_I_157_2ndGen,SP20231,G03,BL-I-130,BL-I-130,1.953125,m
BL_I_157_2ndGen,SP20231,G04,BL-I-131,BL-I-131,1.953125,m
BL_I_157_2ndGen,SP20231,G05,BL-I-132,BL-I-132,1.953125,m
BL_I_157_2ndGen,SP20231,G06,BL-I-152,BL-I-152,0.9765625,m
BL_I_157_2ndGen,SP20231,G07,BL-I-155,BL-I-155,1.953125,m
BL_I_157_2ndGen,SP20231,G08,BL-I-108,BL-I-108,1.953125,m
BL_I_157_2ndGen,SP20231,G09,BL-I-136,BL-I-136,1.953125,m
BL_I_157_2ndGen,SP20231,G10,BL-I-142,BL-I-142,1.953125,m
BL_I_157_2ndGen,SP20231,G11,BL-I-151,BL-I-151,1.953125,m
BL_I_157_2ndGen,SP20231,G12,BL-I-148,BL-I-148,1.953125,m
BL_I_157_2ndGen,SP20231,G13,BL_I_171,BL_I_171,0.149414063,m
BL_I_157_2ndGen,SP20231,G14,BL_I_162,BL_I_162,0.061035156,m
BL_I_157_2ndGen,SP20231,G15,BL_I_161,BL_I_161,0.061035156,m
BL_I_157_2ndGen,SP20231,G16,BL_I_160,BL_I_160,0.122070313,m
BL_I_157_2ndGen,SP20231,G17,BL-I-156-483,BL-I-156-483,0.244140625,m
BL_I_157_2ndGen,SP20231,G18,BL-I-156-373,BL-I-156-373,0.244140625,m
BL_I_157_2ndGen,SP20231,G19,BL-I-153,BL-I-153,0.244140625,m
BL_I_157_2ndGen,SP20231,G20,BL-I-145,BL-I-145,0.244140625,m
BL_I_157_2ndGen,SP20231,G21,BL-I-135,BL-I-135,0.244140625,m
BL_I_157_2ndGen,SP20231,G22,BL-I-150,BL-I-150,0.244140625,m
BL_I_157_2ndGen,SP20231,H03,BL-I-130,BL-I-130,0.9765625,m
BL_I_157_2ndGen,SP20231,H04,BL-I-131,BL-I-131,0.9765625,m
BL_I_157_2ndGen,SP20231,H05,BL-I-132,BL-I-132,0.9765625,m
BL_I_157_2ndGen,SP20231,H06,BL-I-152,BL-I-152,0.48828125,m
BL_I_157_2ndGen,SP20231,H07,BL-I-155,BL-I-155,0.9765625,m
BL_I_157_2ndGen,SP20231,H08,BL-I-108,BL-I-108,0.9765625,m
BL_I_157_2ndGen,SP20231,H09,BL-I-136,BL-I-136,0.9765625,m
BL_I_157_2ndGen,SP20231,H10,BL-I-142,BL-I-142,0.9765625,m
BL_I_157_2ndGen,SP20231,H11,BL-I-151,BL-I-151,0.9765625,m
BL_I_157_2ndGen,SP20231,H12,BL-I-148,BL-I-148,0.9765625,m
BL_I_157_2ndGen,SP20231,H13,BL_I_171,BL_I_171,0.074707031,m
BL_I_157_2ndGen,SP20231,H14,BL_I_162,BL_I_162,0.122070313,m
BL_I_157_2ndGen,SP20231,H15,BL_I_161,BL_I_161,0.122070313,m
