Time, CPU%, Memory Usage
2024-06-17 19:47:12, 72%, 553K
2024-06-17 19:47:13, 73.1%, 574K
2024-06-17 19:47:14, 74.1%, 595K
2024-06-17 19:47:15, 75.1%, 615K
2024-06-17 19:47:17, 74.4%, 635K
2024-06-17 19:47:18, 75.3%, 656K
2024-06-17 19:47:19, 76.2%, 677K
2024-06-17 19:47:20, 77.1%, 696K
2024-06-17 19:47:21, 77.9%, 716K
2024-06-17 19:47:22, 78.7%, 738K
2024-06-17 19:47:24, 77.9%, 759K
2024-06-17 19:47:25, 78.7%, 780K
2024-06-17 19:47:26, 79.4%, 800K
2024-06-17 19:47:27, 80.1%, 822K
2024-06-17 19:47:28, 80.8%, 843K
2024-06-17 19:47:30, 80.1%, 863K
2024-06-17 19:47:31, 80.7%, 884K
2024-06-17 19:47:32, 81.3%, 905K
2024-06-17 19:47:33, 82%, 926K
2024-06-17 19:47:34, 82.5%, 948K
2024-06-17 19:47:35, 83.1%, 966K
2024-06-17 19:47:37, 82.4%, 986K
2024-06-17 19:47:38, 82.9%, 1007K
2024-06-17 19:47:39, 83.5%, 1.1M
2024-06-17 19:47:40, 84%, 1.1M
2024-06-17 19:47:41, 84.5%, 1.1M
2024-06-17 19:47:43, 83.7%, 1.1M
2024-06-17 19:47:44, 84.2%, 1.1M
2024-06-17 19:47:45, 84.7%, 1.2M
2024-06-17 19:47:46, 85.1%, 1.2M
2024-06-17 19:47:47, 85.6%, 1.2M
2024-06-17 19:47:49, 86%, 1.2M
2024-06-17 19:47:50, 85.3%, 1.2M
2024-06-17 19:47:51, 85.7%, 1.3M
2024-06-17 19:47:52, 86.1%, 1.3M
2024-06-17 19:47:53, 86.5%, 1.3M
2024-06-17 19:47:54, 86.9%, 1.3M
2024-06-17 19:47:56, 86.2%, 1.3M
2024-06-17 19:47:57, 86.6%, 1.4M
2024-06-17 19:47:58, 87%, 1.4M
2024-06-17 19:47:59, 87.3%, 1.4M
2024-06-17 19:48:00, 87.7%, 1.4M
2024-06-17 19:48:01, 88%, 1.4M
2024-06-17 19:48:03, 87.4%, 1.5M
2024-06-17 19:48:04, 87.7%, 1.5M
2024-06-17 19:48:05, 88%, 1.5M
2024-06-17 19:48:06, 88.3%, 1.5M
2024-06-17 19:48:07, 88.6%, 1.5M
2024-06-17 19:48:09, 88.9%, 1.6M
2024-06-17 19:48:10, 88.3%, 1.6M
2024-06-17 19:48:11, 88.6%, 1.6M
2024-06-17 19:48:12, 88.9%, 1.6M
2024-06-17 19:48:13, 89.2%, 1.6M
2024-06-17 19:48:14, 89.5%, 1.7M
2024-06-17 19:48:16, 88.9%, 1.7M
2024-06-17 19:48:17, 89.1%, 1.7M
2024-06-17 19:48:18, 89.4%, 1.7M
2024-06-17 19:48:19, 89.7%, 1.7M
2024-06-17 19:48:20, 89.9%, 1.8M
2024-06-17 19:48:21, 90.2%, 1.8M
2024-06-17 19:48:23, 89.6%, 1.8M
2024-06-17 19:48:24, 89.9%, 1.8M
2024-06-17 19:48:25, 90.1%, 1.8M
2024-06-17 19:48:26, 90.4%, 1.9M
2024-06-17 19:48:27, 90.6%, 1.9M
2024-06-17 19:48:29, 90.9%, 1.9M
2024-06-17 19:48:30, 90.3%, 1.9M
2024-06-17 19:48:31, 90.5%, 1.9M
2024-06-17 19:48:32, 90.8%, 2.0M
2024-06-17 19:48:33, 91%, 2.0M
2024-06-17 19:48:34, 91.2%, 2.0M
2024-06-17 19:48:36, 90.6%, 2.0M
2024-06-17 19:48:37, 90.9%, 2.0M
2024-06-17 19:48:38, 91.1%, 2.0M
2024-06-17 19:48:39, 91.2%, 2.0M
2024-06-17 19:48:40, 91.4%, 2.0M
2024-06-17 19:48:41, 91.6%, 2.0M
2024-06-17 19:48:43, 91.1%, 2.0M
2024-06-17 19:48:44, 91.3%, 2.0M
2024-06-17 19:48:45, 91.5%, 2.0M
2024-06-17 19:48:46, 91.7%, 2.0M
2024-06-17 19:48:47, 91.9%, 2.0M
2024-06-17 19:48:48, 92.1%, 2.0M
2024-06-17 19:48:50, 91.6%, 2.0M
2024-06-17 19:48:51, 91.8%, 2.0M
2024-06-17 19:48:52, 92%, 2.0M
2024-06-17 19:48:53, 92.2%, 2.0M
2024-06-17 19:48:54, 92.4%, 2.0M
2024-06-17 19:48:56, 91.9%, 2.0M
2024-06-17 19:48:57, 92.1%, 2.0M
2024-06-17 19:48:58, 92.2%, 592K
2024-06-17 19:48:59, 92.3%, 592K
2024-06-17 19:49:00, 92.5%, 592K
2024-06-17 19:49:01, 92.7%, 592K
2024-06-17 19:49:03, 92.2%, 592K
2024-06-17 19:49:04, 92.4%, 592K
2024-06-17 19:49:05, 92.5%, 592K
2024-06-17 19:49:06, 92.7%, 592K
2024-06-17 19:49:07, 92.8%, 592K
2024-06-17 19:49:08, 93%, 592K
2024-06-17 19:49:10, 92.6%, 592K
2024-06-17 19:49:11, 92.7%, 592K
2024-06-17 19:49:12, 92.9%, 592K
2024-06-17 19:49:13, 93.1%, 592K
2024-06-17 19:49:14, 93.2%, 592K
2024-06-17 19:49:16, 92.8%, 592K
2024-06-17 19:49:17, 92.9%, 592K
2024-06-17 19:49:18, 93.1%, 592K
2024-06-17 19:49:19, 93.2%, 592K
2024-06-17 19:49:20, 93.4%, 592K
2024-06-17 19:49:21, 93.5%, 592K
2024-06-17 19:49:23, 93.1%, 592K
2024-06-17 19:49:24, 93.2%, 592K
2024-06-17 19:49:25, 93.4%, 592K
2024-06-17 19:49:26, 93.5%, 592K
2024-06-17 19:49:27, 93.7%, 592K
2024-06-17 19:49:28, 93.8%, 592K
2024-06-17 19:49:30, 93.4%, 592K
2024-06-17 19:49:31, 93.5%, 1.4K
2024-06-17 19:49:32, 81%, 11K
2024-06-17 19:49:33, 78%, 2.0K
2024-06-17 19:49:34, 97%, 2.2K
2024-06-17 19:49:36, 78%, 2.2K
2024-06-17 19:49:37, 85.8%, 2.2K
2024-06-17 19:49:38, 90.6%, 2.2K
2024-06-17 19:49:39, 94.4%, 2.2K
2024-06-17 19:49:40, 97.5%, 2.2K
2024-06-17 19:49:41, 99.4%, 2.2K
2024-06-17 19:49:43, 92%, 2.2K
2024-06-17 19:49:44, 94.1%, 2.2K
2024-06-17 19:49:45, 95.7%, 2.2K
2024-06-17 19:49:46, 97.1%, 2.2K
2024-06-17 19:49:47, 98.3%, 2.2K
2024-06-17 19:49:48, 99.4%, 2.2K
2024-06-17 19:49:49, 100%, 2.2K
2024-06-17 19:49:51, 95.8%, 2.2K
2024-06-17 19:49:52, 96.9%, 2.2K
2024-06-17 19:49:53, 97.8%, 2.2K
2024-06-17 19:49:54, 98.6%, 2.2K
2024-06-17 19:49:55, 99.3%, 2.2K
2024-06-17 19:49:56, 100%, 2.2K
2024-06-17 19:49:58, 96.8%, 2.2K
2024-06-17 19:49:59, 97.6%, 2.2K
2024-06-17 19:50:00, 98.2%, 2.2K
2024-06-17 19:50:01, 99%, 2.2K
Monitoring finished.
